BANKNIFTY-I,20160401,16200,16320,16088,16253.15,98744,1727640
BANKNIFTY-II,20160401,16225,16344.4,16125,16289.25,3281,125460
BANKNIFTY-III,20160401,16205.05,16345,16151.15,16308.55,85,1140
DJIA-I,20160401,17590,17615,17560,17582.5,295,22950
DJIA-II,20160401,0,0,0,16740,0,0
DJIA-III,20160401,0,0,0,16385,0,30
DJIA-IIII,20160401,0,0,0,16702.5,0,30
DJIA-IIIII,20160401,0,0,0,18835,0,0
DJIA-IIIIII,20160401,0,0,0,18965,0,0
FTSE100-I,20160401,0,0,0,6172,0,75
FTSE100-II,20160401,0,0,0,6091,0,0
FTSE100-III,20160401,0,0,0,7242,0,0
FTSE100-IIII,20160401,0,0,0,6637,0,0
FTSE100-IIIII,20160401,0,0,0,6570,0,0
FTSE100-IIIIII,20160401,0,0,0,6728,0,0
NIFTY-I,20160401,7754.85,7772.6,7704.1,7748.75,182603,18512700
NIFTY-II,20160401,7780.05,7800,7733.7,7776.2,10441,1567200
NIFTY-III,20160401,7775,7815,7750.95,7793.4,917,46950
NIFTYINFRA-I,20160401,0,0,0,2440.95,0,0
NIFTYINFRA-II,20160401,0,0,0,2330.45,0,0
NIFTYINFRA-III,20160401,0,0,0,2600.2,0,0
NIFTYIT-I,20160401,11335.05,11389.4,11200,11252.35,172,11790
NIFTYIT-II,20160401,0,0,0,10620.25,0,0
NIFTYIT-III,20160401,0,0,0,11540.3,0,0
NIFTYMID50-I,20160401,0,0,0,3123.05,0,0
NIFTYMID50-II,20160401,0,0,0,2763.8,0,0
NIFTYMID50-III,20160401,0,0,0,3266,0,0
NIFTYPSE-I,20160401,0,0,0,2974,0,0
NIFTYPSE-II,20160401,0,0,0,2686.4,0,0
NIFTYPSE-III,20160401,0,0,0,2904.75,0,0
S&P500-I,20160401,2050.5,2054,2047,2049.75,129,495500
S&P500-II,20160401,0,0,0,1956,0,0
S&P500-III,20160401,0,0,0,2299,0,0
S&P500-IIII,20160401,0,0,0,2150.5,0,0
S&P500-IIIII,20160401,0,0,0,2198.25,0,0
S&P500-IIIIII,20160401,0,0,0,2213.75,0,0
ABIRLANUVO-I,20160401,827.95,843.3,827.3,836.1,920,1355250
ABIRLANUVO-II,20160401,0,0,0,833.55,0,2250
ABIRLANUVO-III,20160401,0,0,0,839.4,0,0
ACC-I,20160401,1378.05,1419.75,1378.05,1416.15,2384,994875
ACC-II,20160401,1398.55,1423.7,1398.55,1419,11,2625
ACC-III,20160401,0,0,0,1410.15,0,0
ADANIENT-I,20160401,74,77.9,73.05,76.3,1097,13998000
ADANIENT-II,20160401,77.35,77.9,76.75,76.75,6,90000
ADANIENT-III,20160401,0,0,0,75.35,0,0
ADANIPORTS-I,20160401,247.15,248.35,241.25,244.45,2428,33614400
ADANIPORTS-II,20160401,247.2,247.2,244,246,15,30400
ADANIPORTS-III,20160401,0,0,0,252.8,0,0
ADANIPOWER-I,20160401,33.95,35.3,33.75,35.1,950,65680000
ADANIPOWER-II,20160401,34.3,34.55,34.3,34.3,3,300000
ADANIPOWER-III,20160401,0,0,0,35.15,0,0
AJANTPHARM-I,20160401,1405,1420,1389.5,1399.35,503,310400
AJANTPHARM-II,20160401,0,0,0,1410,0,1200
AJANTPHARM-III,20160401,0,0,0,1437.95,0,0
ALBK-I,20160401,55.25,58.5,54.35,58.05,1230,8286000
ALBK-II,20160401,55.95,58.05,55.95,58.05,25,198000
ALBK-III,20160401,55.9,56.35,55.9,56,4,18000
AMARAJABAT-I,20160401,886.5,897.6,886.5,891.45,395,569400
AMARAJABAT-II,20160401,0,0,0,955.1,0,600
AMARAJABAT-III,20160401,0,0,0,895.55,0,0
AMBUJACEM-I,20160401,232.15,237,230.8,236.15,1754,6012300
AMBUJACEM-II,20160401,234.45,237.7,234.45,237.7,4,18900
AMBUJACEM-III,20160401,0,0,0,237.3,0,0
ANDHRABANK-I,20160401,52.45,56.15,52.4,55.85,1257,11472000
ANDHRABANK-II,20160401,53.2,55.65,53.15,55.65,16,72000
ANDHRABANK-III,20160401,0,0,0,53.35,0,0
APOLLOHOSP-I,20160401,1333.4,1358.9,1330.4,1355.45,882,1020400
APOLLOHOSP-II,20160401,1353.15,1353.15,1353.15,1353.15,1,800
APOLLOHOSP-III,20160401,0,0,0,1356.45,0,0
APOLLOTYRE-I,20160401,175.35,177.3,174.05,175.6,1144,7164000
APOLLOTYRE-II,20160401,177.3,177.8,175,176.9,16,48000
APOLLOTYRE-III,20160401,0,0,0,178.5,0,0
ARVIND-I,20160401,273.95,281.25,272.1,275.05,3348,3731500
ARVIND-II,20160401,277.7,281.2,277,277,9,18700
ARVIND-III,20160401,0,0,0,278.95,0,0
ASHOKLEY-I,20160401,108.25,111.05,108.2,110.6,6428,58625000
ASHOKLEY-II,20160401,108.85,111.5,108.85,111.1,95,609000
ASHOKLEY-III,20160401,0,0,0,110.85,0,0
ASIANPAINT-I,20160401,874.3,886,868,873.4,2389,3155400
ASIANPAINT-II,20160401,879.15,887.95,874,878,23,12600
ASIANPAINT-III,20160401,0,0,0,886.15,0,0
AUROPHARMA-I,20160401,730,751,721.35,733.95,9715,12901700
AUROPHARMA-II,20160401,730,750,727,740,32,34300
AUROPHARMA-III,20160401,0,0,0,760.15,0,0
AXISBANK-I,20160401,443.05,452.9,441.75,450.9,17086,31004000
AXISBANK-II,20160401,445.5,455,444,452.7,92,131000
AXISBANK-III,20160401,0,0,0,453.25,0,0
BAJAJ-AUTO-I,20160401,2420.1,2439,2390.15,2432.7,1849,1466000
BAJAJ-AUTO-II,20160401,2430,2450,2427.7,2450,18,1600
BAJAJ-AUTO-III,20160401,0,0,0,2455.1,0,0
BAJFINANCE-I,20160401,6925.05,7048.95,6851,6921.05,783,172375
BAJFINANCE-II,20160401,7009.2,7047.65,6885.8,6945,6,750
BAJFINANCE-III,20160401,0,0,0,7065.6,0,0
BANKBARODA-I,20160401,146.7,153.95,146.5,153.3,10862,45182500
BANKBARODA-II,20160401,147.55,154.05,147.55,153.7,88,204600
BANKBARODA-III,20160401,149.15,153,149,152.5,18,40300
BANKINDIA-I,20160401,97.55,101.4,96.8,100.9,5045,16761000
BANKINDIA-II,20160401,97.9,101.45,97.4,100.95,62,519000
BANKINDIA-III,20160401,97.75,100.85,97.75,100.85,2,6000
BATAINDIA-I,20160401,509.35,517.8,505.05,506.7,609,1337000
BATAINDIA-II,20160401,514.4,514.4,514.4,514.4,1,3000
BATAINDIA-III,20160401,0,0,0,519,0,0
BEL-I,20160401,1182.5,1203,1178.25,1184.25,754,1524600
BEL-II,20160401,1194.8,1194.8,1190,1190,2,2700
BEL-III,20160401,1200,1200,1200,1200,2,900
BEML-I,20160401,1037.8,1052,1032,1035.8,435,589000
BEML-II,20160401,1045,1045,1045,1045,1,1000
BEML-III,20160401,0,0,0,1065.45,0,0
BHARATFORG-I,20160401,872.05,881,860.2,865.05,2769,5616000
BHARATFORG-II,20160401,875,881.4,862,867.25,63,35500
BHARATFORG-III,20160401,0,0,0,890.95,0,0
BHARTIARTL-I,20160401,343.1,348,332.5,335.3,5945,25464000
BHARTIARTL-II,20160401,346.95,346.95,332.5,335.2,268,450000
BHARTIARTL-III,20160401,0,0,0,358,0,0
BHEL-I,20160401,114,121.35,114,117.5,13095,23378000
BHEL-II,20160401,114.9,121.5,114.9,117.5,123,368000
BHEL-III,20160401,0,0,0,116.2,0,0
BIOCON-I,20160401,489.85,497.3,485.1,493.95,1108,2581700
BIOCON-II,20160401,485.35,497,485.35,495.35,11,12100
BIOCON-III,20160401,0,0,0,493.25,0,0
BOSCHLTD-I,20160401,20850,20850,19870,20016.5,1651,86775
BOSCHLTD-II,20160401,0,0,0,16675.4,0,0
BOSCHLTD-III,20160401,0,0,0,21209.05,0,0
BPCL-I,20160401,898.35,901.5,889.25,892.85,3102,4330200
BPCL-II,20160401,895.05,901.5,895,897,8,7200
BPCL-III,20160401,0,0,0,922.8,0,0
BRITANNIA-I,20160401,2682,2735,2676,2695.3,986,1498200
BRITANNIA-II,20160401,0,0,0,2680.4,0,200
BRITANNIA-III,20160401,0,0,0,2741.4,0,0
CADILAHC-I,20160401,318,325.7,314.2,321.6,1148,4083000
CADILAHC-II,20160401,320,320.5,320,320.5,2,13500
CADILAHC-III,20160401,0,0,0,323.4,0,0
CAIRN-I,20160401,154.45,155.6,152.05,154.2,1325,9684000
CAIRN-II,20160401,154.5,155.55,152.6,155.55,6,99000
CAIRN-III,20160401,0,0,0,157,0,0
CANBK-I,20160401,190.15,201,188.85,199.65,5955,11886000
CANBK-II,20160401,190.55,200.75,190,199.8,116,226000
CANBK-III,20160401,194.45,199.45,194.45,199.45,3,6000
CASTROLIND-I,20160401,372.25,378.5,371.5,373.85,295,1621400
CASTROLIND-II,20160401,0,0,0,372,0,5500
CASTROLIND-III,20160401,0,0,0,381.8,0,0
CEATLTD-I,20160401,1077.65,1083,1068.25,1073.75,1302,1068900
CEATLTD-II,20160401,1075.05,1084,1075.05,1084,3,10500
CEATLTD-III,20160401,0,0,0,1108.85,0,0
CENTURYTEX-I,20160401,531.95,553,531.1,543.05,3985,5856800
CENTURYTEX-II,20160401,538.75,552.3,538.75,548.8,4,3200
CENTURYTEX-III,20160401,0,0,0,540.55,0,0
CESC-I,20160401,474.9,479.9,469.65,477.5,652,1794000
CESC-II,20160401,0,0,0,479.4,0,1000
CESC-III,20160401,0,0,0,482.4,0,0
CIPLA-I,20160401,515.6,519.85,513,516.55,2703,11386400
CIPLA-II,20160401,517.7,520,516.35,518.5,15,20000
CIPLA-III,20160401,0,0,0,522.45,0,0
COALINDIA-I,20160401,293.65,294.9,287.35,288.9,5441,15553200
COALINDIA-II,20160401,295.25,295.85,289,290.05,60,116400
COALINDIA-III,20160401,0,0,0,297.95,0,0
COLPAL-I,20160401,821.4,832.75,819.7,829.15,546,2040000
COLPAL-II,20160401,834.2,834.2,834.2,834.2,1,1000
COLPAL-III,20160401,0,0,0,847.85,0,0
CONCOR-I,20160401,1240.05,1275,1231.8,1266.4,312,409200
CONCOR-II,20160401,0,0,0,1188.25,0,0
CONCOR-III,20160401,0,0,0,1268.75,0,0
CROMPGREAV-I,20160401,49.05,50,48.05,48.85,2084,16905000
CROMPGREAV-II,20160401,49.15,49.7,48.25,48.25,6,54000
CROMPGREAV-III,20160401,0,0,0,49.85,0,0
CUMMINSIND-I,20160401,853,898,852.9,867.95,692,255600
CUMMINSIND-II,20160401,0,0,0,858.5,0,0
CUMMINSIND-III,20160401,0,0,0,859,0,0
DABUR-I,20160401,249.55,252.25,249.1,251.6,351,4044000
DABUR-II,20160401,0,0,0,253,0,2000
DABUR-III,20160401,0,0,0,255,0,0
DHFL-I,20160401,198.4,202.5,197.25,200.55,1547,6336000
DHFL-II,20160401,201,202.7,199,201.9,11,17600
DHFL-III,20160401,0,0,0,200.4,0,0
DISHTV-I,20160401,87.2,87.2,84.65,85.95,1191,22140000
DISHTV-II,20160401,86.65,86.65,85.4,86.5,5,50000
DISHTV-III,20160401,0,0,0,88.5,0,0
DIVISLAB-I,20160401,984.95,1013,983.95,1009.9,842,2145600
DIVISLAB-II,20160401,0,0,0,978,0,1800
DIVISLAB-III,20160401,0,0,0,1007.45,0,0
DLF-I,20160401,114.5,122,113.7,121.6,11170,34210000
DLF-II,20160401,114.3,122.45,114.3,122.15,94,350000
DLF-III,20160401,0,0,0,117.1,0,0
DRREDDY-I,20160401,3035.85,3039,2985.3,2998.25,3424,1474800
DRREDDY-II,20160401,3034.75,3034.8,3002,3011,21,7050
DRREDDY-III,20160401,0,0,0,3097.2,0,0
EICHERMOT-I,20160401,19100,19540,19012.3,19310.85,5165,177550
EICHERMOT-II,20160401,0,0,0,19282.25,0,0
EICHERMOT-III,20160401,0,0,0,19572.4,0,0
ENGINERSIN-I,20160401,168.45,175,168.45,171.35,442,3471600
ENGINERSIN-II,20160401,0,0,0,152.4,0,0
ENGINERSIN-III,20160401,0,0,0,173.6,0,0
EXIDEIND-I,20160401,139.6,141.45,138.55,140.35,340,5701800
EXIDEIND-II,20160401,140.75,140.75,140.75,140.75,1,47600
EXIDEIND-III,20160401,0,0,0,142.2,0,0
FEDERALBNK-I,20160401,46.25,47.3,46,47.15,1103,43128000
FEDERALBNK-II,20160401,46.3,47.5,46.3,47.35,16,208000
FEDERALBNK-III,20160401,0,0,0,47.4,0,0
GAIL-I,20160401,356.2,356.95,348.7,349.85,1410,5483800
GAIL-II,20160401,354.65,355.45,350,350,16,23800
GAIL-III,20160401,0,0,0,363.7,0,0
GLENMARK-I,20160401,789.55,800.4,787.5,797.7,891,2793500
GLENMARK-II,20160401,0,0,0,798.15,0,5500
GLENMARK-III,20160401,0,0,0,811.3,0,0
GMRINFRA-I,20160401,11.7,12.15,11.55,12.1,933,195351000
GMRINFRA-II,20160401,12,12.1,11.95,12.1,7,1794000
GMRINFRA-III,20160401,0,0,0,11.85,0,0
GODREJCP-I,20160401,1383.35,1409.8,1370.95,1397.85,161,241600
GODREJCP-II,20160401,0,0,0,1202.25,0,0
GODREJCP-III,20160401,0,0,0,1409,0,0
GODREJIND-I,20160401,342,354,341,352.35,829,1332500
GODREJIND-II,20160401,344.5,348.5,340.85,348.45,21,22100
GODREJIND-III,20160401,0,0,0,362.25,0,0
GRANULES-I,20160401,120,121.75,119.85,120.75,242,4415000
GRANULES-II,20160401,0,0,0,121.65,0,15000
GRANULES-III,20160401,0,0,0,122.4,0,0
GRASIM-I,20160401,3852.05,3912.35,3842.25,3879.1,854,823050
GRASIM-II,20160401,0,0,0,3370.25,0,0
GRASIM-III,20160401,0,0,0,3922.7,0,0
HAVELLS-I,20160401,317.95,318.6,313.15,314.9,1126,2530000
HAVELLS-II,20160401,315.05,315.8,315,315.65,5,8000
HAVELLS-III,20160401,0,0,0,327.95,0,0
HCLTECH-I,20160401,818.15,824.5,809,819.9,3920,6322800
HCLTECH-II,20160401,820,825.85,820,823.25,21,24000
HCLTECH-III,20160401,0,0,0,830.75,0,0
HDFC-I,20160401,1108.3,1122.95,1099.5,1118.9,8256,10371600
HDFC-II,20160401,1110.2,1125,1109.7,1123.4,21,21200
HDFC-III,20160401,0,0,0,1128.2,0,0
HDFCBANK-I,20160401,1079.6,1083.65,1065.1,1072.8,9565,24975500
HDFCBANK-II,20160401,1080.85,1081.75,1067.5,1077,249,113500
HDFCBANK-III,20160401,1075,1076,1071,1076,71,35000
HDIL-I,20160401,73.65,78.4,73.05,77.8,5575,23148000
