BANKNIFTY-I,20180601,26726,26887,26620,26669.25,102617,2711760
BANKNIFTY-II,20180601,26724.95,26892.55,26650,26683.2,1451,42000
BANKNIFTY-III,20180601,26926.65,26926.65,26693.15,26825,48,1520
FTSE100-I,20180601,0,0,0,7982,0,0
FTSE100-II,20180601,0,0,0,7445,0,0
FTSE100-III,20180601,0,0,0,7881,0,0
FTSE100-IIII,20180601,0,0,0,7867,0,0
FTSE100-IIIII,20180601,0,0,0,7947,0,0
FTSE100-IIIIII,20180601,0,0,0,7674,0,0
NIFTY-I,20180601,10725,10744,10669.95,10683.9,109917,19495050
NIFTY-II,20180601,10721.45,10755.5,10685,10698,4287,605175
NIFTY-III,20180601,10764.95,10772.35,10708,10719.15,429,16575
NIFTYCPSE-I,20180601,0,0,0,2463.55,0,0
NIFTYCPSE-II,20180601,0,0,0,2439.95,0,0
NIFTYCPSE-III,20180601,0,0,0,2472.95,0,0
NIFTYINFRA-I,20180601,0,0,0,3389.3,0,0
NIFTYINFRA-II,20180601,0,0,0,3500.75,0,0
NIFTYINFRA-III,20180601,0,0,0,3400.05,0,0
NIFTYIT-I,20180601,13685,13740,13494,13516,292,44750
NIFTYIT-II,20180601,0,0,0,14272,0,0
NIFTYIT-III,20180601,0,0,0,13929,0,0
NIFTYMID50-I,20180601,0,0,0,5065.85,0,591400
NIFTYMID50-II,20180601,0,0,0,5465.7,0,0
NIFTYMID50-III,20180601,0,0,0,5109.2,0,0
NIFTYPSE-I,20180601,0,0,0,3915.3,0,0
NIFTYPSE-II,20180601,0,0,0,3893.55,0,0
NIFTYPSE-III,20180601,0,0,0,3925.45,0,0
ACC-I,20180601,1366.05,1376.05,1322.8,1331.4,6940,3546000
ACC-II,20180601,1377.95,1380,1334.65,1339.35,46,16400
ACC-III,20180601,0,0,0,1380.6,0,0
ADANIENT-I,20180601,121.95,122.8,115.55,119.55,3996,12300000
ADANIENT-II,20180601,120.6,121.1,116.4,119.95,32,76000
ADANIENT-III,20180601,0,0,0,123.35,0,0
ADANIPORTS-I,20180601,395.75,395.75,384.6,388.85,4532,11452500
ADANIPORTS-II,20180601,390.1,391,387,390.35,33,85000
ADANIPORTS-III,20180601,0,0,0,399.7,0,0
ADANIPOWER-I,20180601,20.2,20.3,18.7,19.7,1925,99780000
ADANIPOWER-II,20180601,20.3,20.3,19,19.55,47,3300000
ADANIPOWER-III,20180601,0,0,0,20.55,0,0
AJANTPHARM-I,20180601,960.05,968.4,935,942.65,1189,954500
AJANTPHARM-II,20180601,949.3,953.75,944.2,947.95,10,5500
AJANTPHARM-III,20180601,0,0,0,980.85,0,0
ALBK-I,20180601,41.45,41.75,39.55,40.05,1247,15240000
ALBK-II,20180601,41.6,41.7,39.95,40.05,36,561000
ALBK-III,20180601,0,0,0,42.6,0,0
AMARAJABAT-I,20180601,771.5,775.35,755.25,758.6,1384,1584800
AMARAJABAT-II,20180601,764.7,773.1,746.05,752.1,41,19600
AMARAJABAT-III,20180601,0,0,0,813.8,0,0
AMBUJACEM-I,20180601,205.8,210.15,203.3,203.95,2908,16947500
AMBUJACEM-II,20180601,209.45,209.8,205,205,24,77500
AMBUJACEM-III,20180601,0,0,0,209.35,0,0
ANDHRABANK-I,20180601,36.4,36.7,34.9,35.25,1220,20480000
ANDHRABANK-II,20180601,36.55,36.55,35,35.35,24,247000
ANDHRABANK-III,20180601,0,0,0,37.15,0,0
APOLLOHOSP-I,20180601,953.85,965.5,923.15,931.2,2849,1256000
APOLLOHOSP-II,20180601,955,955,915,925.65,41,8500
APOLLOHOSP-III,20180601,0,0,0,968.6,0,0
APOLLOTYRE-I,20180601,271.7,273.35,263.55,267.1,2675,8811000
APOLLOTYRE-II,20180601,270.5,270.8,262.25,265.55,39,165000
APOLLOTYRE-III,20180601,0,0,0,274.5,0,0
ARVIND-I,20180601,394.3,397.95,382.2,384.05,3366,7718000
ARVIND-II,20180601,392,392,382.8,384.05,13,46000
ARVIND-III,20180601,0,0,0,395.6,0,0
ASHOKLEY-I,20180601,149.2,152.8,149.2,151.55,7999,57267000
ASHOKLEY-II,20180601,148.4,151.05,148.4,150.15,170,1764000
ASHOKLEY-III,20180601,0,0,0,150.9,0,0
ASIANPAINT-I,20180601,1306.8,1318.2,1291,1293.25,1843,5037000
ASIANPAINT-II,20180601,1311.55,1311.55,1298,1300,10,21600
ASIANPAINT-III,20180601,0,0,0,1329.7,0,0
AUROPHARMA-I,20180601,559.15,568.3,532,537.55,9853,23281600
AUROPHARMA-II,20180601,565.5,565.5,535,539.7,254,164000
AUROPHARMA-III,20180601,542.05,543,542.05,543,2,2000
AXISBANK-I,20180601,539.75,544.15,531.1,539.15,7753,43518000
AXISBANK-II,20180601,540,545,535.1,541.4,53,130800
AXISBANK-III,20180601,0,0,0,556.4,0,0
BAJAJ-AUTO-I,20180601,2801,2915.7,2791,2907.75,16002,2424750
BAJAJ-AUTO-II,20180601,2770,2884.15,2755.2,2860.2,128,25750
BAJAJ-AUTO-III,20180601,0,0,0,2803.05,0,0
BAJAJFINSV-I,20180601,5990.15,6009.2,5851.2,5896.7,2160,670125
BAJAJFINSV-II,20180601,0,0,0,5940.9,2,1125
BAJAJFINSV-III,20180601,0,0,0,6158.15,0,0
BAJFINANCE-I,20180601,2122.2,2127.25,2072.9,2083.6,5328,4663500
BAJFINANCE-II,20180601,2123.65,2123.65,2081.65,2087.25,60,20000
BAJFINANCE-III,20180601,0,0,0,2150.4,0,0
BALKRISIND-I,20180601,1143.05,1156,1105.05,1124.6,1111,1058400
BALKRISIND-II,20180601,1112.7,1131.2,1112.7,1130.6,7,12800
BALKRISIND-III,20180601,0,0,0,1156.4,0,0
BALRAMCHIN-I,20180601,72.5,75.65,70.7,73.55,3421,15886500
BALRAMCHIN-II,20180601,73.5,75.25,73.2,73.2,16,70000
BALRAMCHIN-III,20180601,0,0,0,72.85,0,0
BANKBARODA-I,20180601,137.8,139.35,135.35,137.55,6277,54064000
BANKBARODA-II,20180601,138.3,139.6,136.55,138.3,66,328000
BANKBARODA-III,20180601,0,0,0,139.5,0,0
BANKINDIA-I,20180601,99.85,100.4,96.2,97.05,4410,26142000
BANKINDIA-II,20180601,99.8,100.3,97.2,97.2,24,264000
BANKINDIA-III,20180601,0,0,0,100.5,0,0
BATAINDIA-I,20180601,787.95,796.25,761.5,768.4,2297,2275900
BATAINDIA-II,20180601,780.95,780.95,768.15,768.15,5,22000
BATAINDIA-III,20180601,0,0,0,794.45,0,0
BEL-I,20180601,114.5,116.4,110.7,112,2473,33927300
BEL-II,20180601,116.2,116.75,111.5,112.6,47,534600
BEL-III,20180601,0,0,0,116.6,0,0
BEML-I,20180601,932.05,937.4,878.1,882.75,5931,1952400
BEML-II,20180601,906.65,906.65,882.95,886.45,33,10500
BEML-III,20180601,0,0,0,942.9,0,0
BERGEPAINT-I,20180601,293.45,294.85,286.2,287.45,815,2107600
BERGEPAINT-II,20180601,0,0,0,293.5,0,4400
BERGEPAINT-III,20180601,0,0,0,303.95,0,0
BHARATFIN-I,20180601,1181.1,1181.1,1153.1,1156.4,2444,5693000
BHARATFIN-II,20180601,1173.3,1178.65,1159,1160.6,20,18000
BHARATFIN-III,20180601,0,0,0,1191.35,0,0
BHARATFORG-I,20180601,644.6,658.7,643.05,645.95,3143,9176400
BHARATFORG-II,20180601,657.75,658.35,648.75,648.9,19,37200
BHARATFORG-III,20180601,0,0,0,663.2,0,0
BHARTIARTL-I,20180601,381.35,385.4,373.85,384,4716,46379400
BHARTIARTL-II,20180601,376.5,385.05,376.5,385.05,26,134300
BHARTIARTL-III,20180601,0,0,0,380.8,0,0
BHEL-I,20180601,83.15,83.75,80.5,80.75,2791,46732500
BHEL-II,20180601,83.75,84.1,81,81.15,36,742500
BHEL-III,20180601,0,0,0,85.25,0,0
BIOCON-I,20180601,664.1,672,644.45,652.45,5705,9609300
BIOCON-II,20180601,669.5,669.5,646.05,654.8,87,111600
BIOCON-III,20180601,0,0,0,678.2,0,0
BOSCHLTD-I,20180601,18042.1,18465,17922.35,18225.95,608,130900
BOSCHLTD-II,20180601,18250,18250,18237.8,18237.8,2,30
BOSCHLTD-III,20180601,0,0,0,18719.8,0,0
BPCL-I,20180601,402.15,408,400.1,403.6,3750,7961400
BPCL-II,20180601,404.65,406.1,400.5,402.5,39,167400
BPCL-III,20180601,0,0,0,411.7,0,0
BRITANNIA-I,20180601,5959.95,5960,5807.6,5842.5,1395,792400
BRITANNIA-II,20180601,0,0,0,5920,1,2600
BRITANNIA-III,20180601,5913.6,5913.6,5913.6,5913.6,1,200
CADILAHC-I,20180601,364.15,368.9,353.7,354.9,1420,9555200
CADILAHC-II,20180601,370.6,370.6,356.5,357.8,31,76800
CADILAHC-III,20180601,0,0,0,368.25,0,0
CANBK-I,20180601,259.3,264.2,253.1,256.2,8734,13107200
CANBK-II,20180601,259.8,265,255,256.8,53,122000
CANBK-III,20180601,0,0,0,262.1,0,0
CANFINHOME-I,20180601,381.75,385,360.25,363.5,2784,4631250
CANFINHOME-II,20180601,372.05,374,363.25,363.25,11,28750
CANFINHOME-III,20180601,0,0,0,386.15,0,0
CAPF-I,20180601,571.15,581.85,564,566.4,4010,8651200
CAPF-II,20180601,570.9,583.45,566.5,566.5,36,71200
CAPF-III,20180601,0,0,0,581.7,0,0
CASTROLIND-I,20180601,171.65,173.4,170.05,171.4,852,10228400
CASTROLIND-II,20180601,173.1,173.2,171.75,172.1,9,33600
CASTROLIND-III,20180601,0,0,0,174.2,0,0
CEATLTD-I,20180601,1375.2,1384.45,1332.3,1343.4,3398,1541400
CEATLTD-II,20180601,1374,1379,1328.55,1336.85,80,21000
CEATLTD-III,20180601,1371.15,1371.15,1371.15,1371.15,1,350
CENTURYTEX-I,20180601,953.6,961.05,910,918,5976,6373400
CENTURYTEX-II,20180601,956.95,956.95,907,920.5,37,40700
CENTURYTEX-III,20180601,0,0,0,965.35,0,0
CESC-I,20180601,1030.15,1052.9,1020.7,1032.5,3250,5627050
CESC-II,20180601,1038.35,1054.8,1034,1037.65,24,26950
CESC-III,20180601,0,0,0,1038.85,0,0
CGPOWER-I,20180601,63.5,66.8,53.85,59.55,8287,20724000
CGPOWER-II,20180601,65,65,55.15,59.2,38,252000
CGPOWER-III,20180601,0,0,0,62.7,0,0
CHENNPETRO-I,20180601,286.95,288.9,282.35,286.05,441,2995500
CHENNPETRO-II,20180601,283.05,283.05,282.35,282.35,4,13500
CHENNPETRO-III,20180601,0,0,0,288.85,0,0
CHOLAFIN-I,20180601,1548.85,1592.85,1536.75,1587.4,1393,1017000
CHOLAFIN-II,20180601,0,0,0,1545,0,1500
CHOLAFIN-III,20180601,0,0,0,1558.05,0,0
CIPLA-I,20180601,523.05,529.15,521.35,522.35,4702,11556000
CIPLA-II,20180601,527.25,528,522,523.5,20,37000
CIPLA-III,20180601,0,0,0,534.9,0,0
COALINDIA-I,20180601,293,298.75,290.35,293.3,3003,17916800
COALINDIA-II,20180601,292.65,297.25,291.8,293.65,234,545600
COALINDIA-III,20180601,0,0,0,301.95,0,0
COLPAL-I,20180601,1242.35,1255,1238.05,1241.8,754,1811600
COLPAL-II,20180601,0,0,0,1254.7,0,700
COLPAL-III,20180601,0,0,0,1283.9,0,0
CONCOR-I,20180601,1370.05,1371.6,1336.6,1344.05,1074,1479375
CONCOR-II,20180601,0,0,0,1380.55,0,1250
CONCOR-III,20180601,0,0,0,1405.5,0,0
CUMMINSIND-I,20180601,713.9,713.9,681.1,684.1,1076,796800
CUMMINSIND-II,20180601,703.05,707.2,683.25,687.05,7,4200
CUMMINSIND-III,20180601,0,0,0,714.8,0,0
DABUR-I,20180601,385.05,393.45,384.4,387.35,1832,13602500
DABUR-II,20180601,383.65,383.7,383,383,3,55000
DABUR-III,20180601,0,0,0,390.65,0,0
DALMIABHA-I,20180601,2768.95,2778.5,2685.6,2719.05,374,544500
DALMIABHA-II,20180601,0,0,0,3058.15,0,0
DALMIABHA-III,20180601,0,0,0,2778.7,0,0
DCBBANK-I,20180601,186.5,187.75,181.3,182.05,1071,7267500
DCBBANK-II,20180601,187,187,186.25,186.25,2,49500
DCBBANK-III,20180601,0,0,0,188.75,0,0
DHFL-I,20180601,616.9,623.75,605.6,611.05,5499,25621500
DHFL-II,20180601,622,622.95,610.5,614,30,40500
DHFL-III,20180601,617.4,617.4,617.4,617.4,2,3000
DISHTV-I,20180601,73.7,74.65,72.3,74.35,1222,46354000
DISHTV-II,20180601,73.55,74.65,73.05,74.65,11,64000
DISHTV-III,20180601,0,0,0,74.4,0,0
DIVISLAB-I,20180601,1060.25,1067.05,1029.25,1054.3,1903,3174400
DIVISLAB-II,20180601,1045,1056,1031.2,1053.25,12,12000
DIVISLAB-III,20180601,0,0,0,1067.55,0,0
DLF-I,20180601,209.1,211.9,205.5,207.2,7438,33590000
DLF-II,20180601,210.9,212.8,207,208.05,73,190000
DLF-III,20180601,0,0,0,213.95,0,0
DRREDDY-I,20180601,1943.85,1970,1940,1944.7,4818,4443500
DRREDDY-II,20180601,1940,1963.55,1934,1934,55,75250
DRREDDY-III,20180601,0,0,0,1973.75,0,0
EICHERMOT-I,20180601,30645.5,30683.95,29270,29841.25,5491,200050
EICHERMOT-II,20180601,30667,30667,29500,29940,29,475
EICHERMOT-III,20180601,0,0,0,31371,0,0
ENGINERSIN-I,20180601,132.8,135.5,127.4,133.9,2380,9950500
ENGINERSIN-II,20180601,134.05,135.35,128.55,135.15,91,308000
ENGINERSIN-III,20180601,130.7,130.7,130.7,130.7,1,3500
EQUITAS-I,20180601,164.7,170.5,163,166.3,2931,22256000
EQUITAS-II,20180601,166.2,166.25,166.2,166.25,4,36000
EQUITAS-III,20180601,0,0,0,167.15,0,0
ESCORTS-I,20180601,952,962.6,933.4,939.8,7291,4508900
ESCORTS-II,20180601,955.7,965,939.1,943.1,66,42900
ESCORTS-III,20180601,0,0,0,950.35,0,0
EXIDEIND-I,20180601,263.5,263.5,255.9,256.65,1152,7172000
EXIDEIND-II,20180601,257.1,258.55,256.25,256.7,12,60000
EXIDEIND-III,20180601,0,0,0,264.7,0,0
FEDERALBNK-I,20180601,85.2,86.1,82.8,83.35,3368,73881500
FEDERALBNK-II,20180601,85.1,85.9,82.65,83.25,134,2904000
FEDERALBNK-III,20180601,86.45,86.45,83.25,83.25,5,27500
GAIL-I,20180601,347.25,350.05,340.25,342,2726,14212443
GAIL-II,20180601,346.9,346.9,342.3,342.8,15,77343
GAIL-III,20180601,0,0,0,357.65,0,0
GLENMARK-I,20180601,532.6,545,528.35,536.05,1853,4824000
GLENMARK-II,20180601,537,545,534.15,538.65,29,36000
GLENMARK-III,20180601,0,0,0,546.25,0,0
GMRINFRA-I,20180601,17.95,17.95,14.6,16.75,4537,280215000
GMRINFRA-II,20180601,17.85,17.85,15,16.85,102,2655000
GMRINFRA-III,20180601,16.8,16.8,16.4,16.4,3,90000
GODFRYPHLP-I,20180601,768,768,734.9,749.55,219,533000
GODFRYPHLP-II,20180601,0,0,0,877.85,0,1400
GODFRYPHLP-III,20180601,0,0,0,767.75,0,0
GODREJCP-I,20180601,1135.5,1180.35,1135.5,1163.95,1561,2079200
GODREJCP-II,20180601,0,0,0,1137,0,800
GODREJCP-III,20180601,0,0,0,1161,0,0
GODREJIND-I,20180601,593.4,601.5,579.8,599.4,1033,1716000
GODREJIND-II,20180601,0,0,0,589.35,0,9000
GODREJIND-III,20180601,0,0,0,608.15,0,0
GRANULES-I,20180601,79.3,80.25,76.25,76.95,1524,15975000
GRANULES-II,20180601,80.1,80.4,76.9,77.15,19,180000
GRANULES-III,20180601,0,0,0,79.9,0,0
GRASIM-I,20180601,1055.2,1055.2,1025.6,1033.1,1566,5293500
GRASIM-II,20180601,0,0,0,1044,0,2250
GRASIM-III,20180601,0,0,0,1059.75,0,0
GSFC-I,20180601,116.8,119.15,114.1,115.25,1530,16348500
GSFC-II,20180601,0,0,0,118.4,0,72000
GSFC-III,20180601,0,0,0,118.5,0,0
HAVELLS-I,20180601,554,554,533.7,540.8,1811,4396000
