BANKNIFTY-I,20170804,24769,24995,24698.9,24951.15,78785,2202280
BANKNIFTY-II,20170804,24830,25066.55,24781.3,25029,1830,72160
BANKNIFTY-III,20170804,24913.7,25130.7,24850.65,25087,44,4120
DJIA-I,20170804,21970,22010,21970,21997.5,83,23910
DJIA-II,20170804,21950,21950,21947.5,21950,6,1500
DJIA-III,20170804,0,0,0,21945,0,0
DJIA-IIII,20170804,0,0,0,21150,0,0
DJIA-IIIII,20170804,0,0,0,22335,0,0
DJIA-IIIIII,20170804,0,0,0,22790,0,0
FTSE100-I,20170804,0,0,0,7629,0,0
FTSE100-II,20170804,0,0,0,7152,0,0
FTSE100-III,20170804,0,0,0,7550,0,0
FTSE100-IIII,20170804,0,0,0,7457,0,0
FTSE100-IIIII,20170804,0,0,0,7912,0,0
FTSE100-IIIIII,20170804,0,0,0,7982,0,0
NIFTY-I,20170804,10028.45,10124,10018.25,10108.55,104921,21461100
NIFTY-II,20170804,10069.3,10155,10054,10142.25,2814,1178175
NIFTY-III,20170804,10096.25,10183.15,10089.4,10173.15,330,80850
NIFTYCPSE-I,20170804,0,0,0,2635.2,0,0
NIFTYCPSE-II,20170804,0,0,0,2371.45,0,0
NIFTYCPSE-III,20170804,0,0,0,2423.05,0,0
NIFTYINFRA-I,20170804,0,0,0,3264.05,0,0
NIFTYINFRA-II,20170804,0,0,0,3261.55,0,0
NIFTYINFRA-III,20170804,0,0,0,3430.55,0,0
NIFTYIT-I,20170804,10761,10819,10741,10803,135,28750
NIFTYIT-II,20170804,0,0,0,10535,0,150
NIFTYIT-III,20170804,0,0,0,10784,0,0
NIFTYMID50-I,20170804,0,0,0,4493.65,0,0
NIFTYMID50-II,20170804,0,0,0,4573.1,0,0
NIFTYMID50-III,20170804,0,0,0,4822.75,0,0
NIFTYPSE-I,20170804,0,0,0,4094.1,0,0
NIFTYPSE-II,20170804,0,0,0,3825.45,0,0
NIFTYPSE-III,20170804,0,0,0,3997.7,0,0
S&P500-I,20170804,2468.75,2471.25,2468,2470.75,169,811000
S&P500-II,20170804,0,0,0,2300,0,0
S&P500-III,20170804,0,0,0,2511.5,0,0
S&P500-IIII,20170804,0,0,0,2410,0,0
S&P500-IIIII,20170804,0,0,0,2540.5,0,0
S&P500-IIIIII,20170804,0,0,0,2595.25,0,0
ACC-I,20170804,1810.1,1838,1802.5,1823.35,3590,1201200
ACC-II,20170804,1809.85,1835,1809.85,1831.05,19,28800
ACC-III,20170804,0,0,0,1759.9,0,0
ADANIENT-I,20170804,137.65,140,136.85,138.95,1712,24456000
ADANIENT-II,20170804,138.6,139.75,138.6,139.75,12,80000
