BANKNIFTY-I,20180205,26094.95,26317.35,25903.3,26196,80977,1983560
BANKNIFTY-II,20180205,26131.1,26363.3,26040.75,26245.7,1151,60280
BANKNIFTY-III,20180205,26219.85,26407.9,26067.95,26298.15,87,4160
FTSE100-I,20180205,0,0,0,7503,0,0
FTSE100-II,20180205,0,0,0,7912,0,0
FTSE100-III,20180205,0,0,0,7832,0,0
FTSE100-IIII,20180205,0,0,0,7982,0,0
FTSE100-IIIII,20180205,0,0,0,7867,0,0
FTSE100-IIIIII,20180205,0,0,0,7947,0,0
NIFTY-I,20180205,10629,10722,10606,10684.6,178159,21903075
NIFTY-II,20180205,10650,10745,10627.05,10705.7,7825,870750
NIFTY-III,20180205,10595.35,10770,10595.3,10730.2,1208,86850
NIFTYCPSE-I,20180205,0,0,0,2661.05,0,0
NIFTYCPSE-II,20180205,0,0,0,2729.2,0,0
NIFTYCPSE-III,20180205,0,0,0,2827.05,0,0
NIFTYINFRA-I,20180205,0,0,0,3569.3,0,0
NIFTYINFRA-II,20180205,0,0,0,3662.6,0,0
NIFTYINFRA-III,20180205,0,0,0,3716.6,0,0
NIFTYIT-I,20180205,12911,13127,12870,12951,324,36750
NIFTYIT-II,20180205,0,0,0,11682,0,0
NIFTYIT-III,20180205,0,0,0,12916,0,50
NIFTYMID50-I,20180205,4912,4999,4860,4999,26,527400
NIFTYMID50-II,20180205,0,0,0,5588,0,0
NIFTYMID50-III,20180205,0,0,0,5562.4,0,0
NIFTYPSE-I,20180205,0,0,0,4297,0,0
NIFTYPSE-II,20180205,0,0,0,4378.2,0,0
NIFTYPSE-III,20180205,0,0,0,4380.6,0,0
ACC-I,20180205,1648,1660,1617,1650.15,3083,1511600
ACC-II,20180205,1626.85,1655.25,1624.95,1653.65,22,12400
ACC-III,20180205,0,0,0,1750,0,0
ADANIENT-I,20180205,185.5,201.6,184.4,200.45,5938,15720000
ADANIENT-II,20180205,188,202.75,187,202.05,92,324000
ADANIENT-III,20180205,198.3,198.3,198.3,198.3,1,4000
ADANIPORTS-I,20180205,410.35,414.6,407.55,410.15,2473,10972500
ADANIPORTS-II,20180205,410.3,416.05,410.3,412.6,41,197500
ADANIPORTS-III,20180205,0,0,0,434.75,0,2500
ADANIPOWER-I,20180205,31.8,33.55,30.2,32.95,2391,109480000
ADANIPOWER-II,20180205,31.5,33.55,31.5,33.05,93,2120000
ADANIPOWER-III,20180205,33.85,33.85,33.85,33.85,1,80000
AJANTPHARM-I,20180205,1342.05,1356.85,1301,1317.4,1290,905000
AJANTPHARM-II,20180205,1361.35,1361.45,1294.95,1324.3,64,17000
AJANTPHARM-III,20180205,0,0,0,1518.9,0,0
ALBK-I,20180205,60.4,61.75,59.5,60.8,1155,19100000
ALBK-II,20180205,60.7,61.9,59.8,61.15,79,760000
ALBK-III,20180205,0,0,0,63.9,0,20000
AMARAJABAT-I,20180205,752,787.95,738.6,782.1,1289,1722000
AMARAJABAT-II,20180205,770,789,742.05,786.3,39,30100
AMARAJABAT-III,20180205,0,0,0,856.25,0,0
AMBUJACEM-I,20180205,254.3,260.4,251.45,259.6,2628,12012500
AMBUJACEM-II,20180205,253.65,260.85,252.15,259.35,23,77500
AMBUJACEM-III,20180205,0,0,0,267.55,0,0
ANDHRABANK-I,20180205,48.2,49.55,47.5,48.95,1220,26040000
ANDHRABANK-II,20180205,48.2,49.85,47.9,49.3,74,1370000
ANDHRABANK-III,20180205,0,0,0,50.2,0,40000
APOLLOHOSP-I,20180205,1136.7,1154,1112.95,1120.7,934,796000
APOLLOHOSP-II,20180205,1152.1,1152.1,1117,1117.8,4,11000
APOLLOHOSP-III,20180205,0,0,0,1153.15,0,0
APOLLOTYRE-I,20180205,242.4,255.75,237.5,253.2,3156,10485000
APOLLOTYRE-II,20180205,243.6,255.95,243.35,254.7,23,132000
APOLLOTYRE-III,20180205,0,0,0,263.7,0,3000
ARVIND-I,20180205,372,390,367.2,388.1,3594,6362000
ARVIND-II,20180205,372.35,391,372.2,391,36,138000
ARVIND-III,20180205,387,387,387,387,1,6000
ASHOKLEY-I,20180205,119.3,130.3,118.1,129.75,11127,55342000
ASHOKLEY-II,20180205,119.05,130.95,119,130.4,252,1568000
ASHOKLEY-III,20180205,128.05,131.05,128.05,131,14,91000
ASIANPAINT-I,20180205,1128.65,1138,1116,1134.7,1920,3931800
ASIANPAINT-II,20180205,1136,1140,1122.1,1139.85,49,43200
ASIANPAINT-III,20180205,0,0,0,1157.6,0,600
AUROPHARMA-I,20180205,596.65,618.5,586.55,616.05,7657,23712000
AUROPHARMA-II,20180205,598.05,621.25,592.3,619.4,271,305600
AUROPHARMA-III,20180205,607.5,607.5,607.5,607.5,1,4000
AXISBANK-I,20180205,566,570.7,549.95,568.5,11379,47481600
AXISBANK-II,20180205,553.4,572.5,552.4,571.3,473,768000
AXISBANK-III,20180205,564.6,570,564.6,570,2,8400
BAJAJ-AUTO-I,20180205,3188.05,3233.3,3145.05,3175.65,5775,1951000
BAJAJ-AUTO-II,20180205,3187.2,3217.25,3173,3190.1,45,14000
BAJAJ-AUTO-III,20180205,0,0,0,3368.5,0,0
BAJAJFINSV-I,20180205,4900,4993,4781.15,4928.35,1992,776500
BAJAJFINSV-II,20180205,4979.9,4979.9,4890,4964.2,10,5375
BAJAJFINSV-III,20180205,0,0,0,5017.65,0,0
BAJFINANCE-I,20180205,1625.9,1632,1553.55,1611.65,7283,5990500
BAJFINANCE-II,20180205,1575.75,1641.85,1575.75,1620.55,101,63500
BAJFINANCE-III,20180205,0,0,0,1724,0,2500
BALKRISIND-I,20180205,1062.1,1085,1018,1072.85,983,1203200
BALKRISIND-II,20180205,1060,1084,1029.5,1078.95,14,13600
BALKRISIND-III,20180205,0,0,0,1128.2,0,1600
BALRAMCHIN-I,20180205,109,119.5,106.1,116.4,2933,18406500
BALRAMCHIN-II,20180205,109.95,120,109.25,116.65,92,759500
BALRAMCHIN-III,20180205,117,117,117,117,1,115500
BANKBARODA-I,20180205,151,158.9,149.1,157.8,7877,49596000
BANKBARODA-II,20180205,150.4,159.5,150.3,158.4,204,828000
BANKBARODA-III,20180205,151,159.8,151,159.45,5,36000
BANKINDIA-I,20180205,142.25,150.35,141.55,147.95,2858,18600000
BANKINDIA-II,20180205,143.15,150.25,143.15,147.85,28,264000
BANKINDIA-III,20180205,0,0,0,155,0,6000
BATAINDIA-I,20180205,666.2,697.5,663.5,695.85,1687,2402400
BATAINDIA-II,20180205,671.4,691.3,671.4,691.3,12,25300
BATAINDIA-III,20180205,0,0,0,706.9,0,1100
BEL-I,20180205,147.45,150.5,145.2,148.55,4097,29754450
BEL-II,20180205,148.5,151.1,145.05,149.25,180,772200
BEL-III,20180205,146,150.35,144.55,150,7,44550
BEML-I,20180205,1248.8,1286.25,1183.7,1268.3,3827,2139900
BEML-II,20180205,1225.15,1290.85,1195,1274.3,65,19200
BEML-III,20180205,0,0,0,1315,0,600
BERGEPAINT-I,20180205,242.95,243.35,235.2,242.8,348,1601600
BERGEPAINT-II,20180205,0,0,0,243.75,0,4400
BERGEPAINT-III,20180205,0,0,0,257.5,0,0
BHARATFIN-I,20180205,1027.55,1035,1006,1025.25,2060,6952000
BHARATFIN-II,20180205,1032.25,1038.75,1015,1031.15,25,51000
BHARATFIN-III,20180205,0,0,0,1040.55,0,0
BHARATFORG-I,20180205,676.4,721.45,675,717.55,3805,6946800
BHARATFORG-II,20180205,683.15,722.3,682.2,718.85,53,63600
BHARATFORG-III,20180205,0,0,0,733.55,0,0
BHARTIARTL-I,20180205,417,446.9,412.25,440.8,14068,47734300
BHARTIARTL-II,20180205,416.45,448.2,414.85,442.7,667,666400
