BANKNIFTY-I,20161007,19490,19545,19407.05,19487.45,57692,2064960
BANKNIFTY-II,20161007,19588.5,19651,19525,19597.65,924,89400
BANKNIFTY-III,20161007,19716.25,19754.1,19643,19717.45,54,8720
DJIA-I,20161007,18222.5,18240,18190,18237.5,247,9540
DJIA-II,20161007,0,0,0,18915,0,0
DJIA-III,20161007,0,0,0,18835,0,0
DJIA-IIII,20161007,0,0,0,18965,0,0
DJIA-IIIII,20161007,0,0,0,19047.5,0,0
DJIA-IIIIII,20161007,0,0,0,19507.5,0,0
FTSE100-I,20161007,0,0,0,6900,0,0
FTSE100-II,20161007,0,0,0,6980,0,0
FTSE100-III,20161007,0,0,0,6570,0,0
FTSE100-IIII,20161007,0,0,0,6728,0,0
FTSE100-IIIII,20161007,0,0,0,6411,0,0
FTSE100-IIIIII,20161007,0,0,0,7152,0,0
NIFTY-I,20161007,8737.5,8747.75,8691.3,8722.75,119128,21416325
NIFTY-II,20161007,8774.6,8786,8731.5,8763.85,4603,1336650
NIFTY-III,20161007,8836.15,8841,8790,8819.05,824,235500
NIFTYINFRA-I,20161007,0,0,0,3031.6,0,0
NIFTYINFRA-II,20161007,0,0,0,2947.85,0,0
NIFTYINFRA-III,20161007,0,0,0,2828.7,0,0
NIFTYIT-I,20161007,10202,10230,10132,10170,182,27400
NIFTYIT-II,20161007,0,0,0,10852,0,0
NIFTYIT-III,20161007,0,0,0,10436,0,0
NIFTYMID50-I,20161007,0,0,0,4160,0,200
NIFTYMID50-II,20161007,0,0,0,3848.25,0,0
NIFTYMID50-III,20161007,0,0,0,3924.85,0,0
NIFTYPSE-I,20161007,0,0,0,3479.3,0,0
NIFTYPSE-II,20161007,0,0,0,3552.85,0,0
NIFTYPSE-III,20161007,0,0,0,3513.5,0,0
S&P500-I,20161007,2155.75,2158,2153.5,2156.5,190,338250
S&P500-II,20161007,0,0,0,2224.25,0,0
S&P500-III,20161007,0,0,0,2198.25,0,0
S&P500-IIII,20161007,0,0,0,2213.75,0,0
S&P500-IIIII,20161007,0,0,0,2232,0,0
S&P500-IIIIII,20161007,0,0,0,2300,0,0
ABIRLANUVO-I,20161007,1419.75,1447,1415.25,1440.35,2192,4616250
ABIRLANUVO-II,20161007,1432.6,1454.9,1426.9,1448.45,39,28500
ABIRLANUVO-III,20161007,0,0,0,1349.4,0,0
ACC-I,20161007,1630,1638.5,1612.5,1632.95,1413,1395600
ACC-II,20161007,1628,1635.75,1618.6,1635,10,15600
ACC-III,20161007,1638.5,1638.5,1638.5,1638.5,1,2000
ADANIENT-I,20161007,67.1,68.6,66.85,68.2,929,17904000
ADANIENT-II,20161007,67.4,68.7,67.4,68.65,9,304000
ADANIENT-III,20161007,0,0,0,66.05,0,0
ADANIPORTS-I,20161007,267.45,269,263.1,268.05,1944,15120000
ADANIPORTS-II,20161007,265.25,269.75,265.25,269.65,34,95000
ADANIPORTS-III,20161007,0,0,0,269,0,2500
ADANIPOWER-I,20161007,25.75,26.15,25.3,25.9,1317,111860000
ADANIPOWER-II,20161007,25.8,26.25,25.55,26.2,27,1280000
ADANIPOWER-III,20161007,0,0,0,26.45,0,20000
AJANTPHARM-I,20161007,1975.95,1994.5,1959,1976.9,599,477600
AJANTPHARM-II,20161007,1980,1980,1970,1986.95,7,14400
AJANTPHARM-III,20161007,0,0,0,2039.7,0,0
ALBK-I,20161007,78.25,78.75,77.4,78.3,1894,15440000
ALBK-II,20161007,78,79.25,77.65,78.55,16,500000
ALBK-III,20161007,0,0,0,81.25,0,10000
AMARAJABAT-I,20161007,1047.65,1061.4,1038.6,1053.05,949,592800
AMARAJABAT-II,20161007,1054.25,1061.2,1054.25,1057.75,2,8400
AMARAJABAT-III,20161007,0,0,0,1015.75,0,0
AMBUJACEM-I,20161007,252.5,254.9,250.35,254,1445,11490000
AMBUJACEM-II,20161007,251.75,254.45,251.7,254.45,9,55000
AMBUJACEM-III,20161007,248.15,260.5,248.15,260.5,2,0
ANDHRABANK-I,20161007,58.5,59.35,58.05,59.25,1054,19650000
ANDHRABANK-II,20161007,59.05,59.1,59.05,59.1,2,260000
ANDHRABANK-III,20161007,0,0,0,56.55,0,0
APOLLOHOSP-I,20161007,1337.45,1345.85,1320.95,1326.55,429,525200
APOLLOHOSP-II,20161007,0,0,0,1352.15,0,2800
APOLLOHOSP-III,20161007,0,0,0,1359.15,0,0
APOLLOTYRE-I,20161007,230.45,231.5,223,224.4,3259,10341000
APOLLOTYRE-II,20161007,230.8,230.8,224.5,225.85,16,153000
APOLLOTYRE-III,20161007,0,0,0,233,0,12000
ARVIND-I,20161007,360.65,360.65,350.35,353.35,2491,4580000
ARVIND-II,20161007,362,362.1,352.7,354.3,55,58000
ARVIND-III,20161007,0,0,0,339.6,0,0
ASHOKLEY-I,20161007,81.05,81.85,80.9,81.5,2049,81263000
ASHOKLEY-II,20161007,82,82.15,81.6,82.05,40,2296000
ASHOKLEY-III,20161007,0,0,0,83.1,0,7000
ASIANPAINT-I,20161007,1209.85,1214.5,1187.05,1190.55,2781,3730200
ASIANPAINT-II,20161007,1214.5,1215.55,1192.4,1195.25,50,60000
ASIANPAINT-III,20161007,0,0,0,1187.6,0,0
AUROPHARMA-I,20161007,842.5,879.55,837,860.75,22866,11500300
AUROPHARMA-II,20161007,847.35,881.5,847.3,865,222,101500
AUROPHARMA-III,20161007,874.4,876.65,863,863,6,2800
AXISBANK-I,20161007,534.8,542,534.4,536.5,14496,36535200
AXISBANK-II,20161007,537.6,544.75,537.25,539.9,172,428400
AXISBANK-III,20161007,539.7,545,539.7,543.5,3,12000
BAJAJ-AUTO-I,20161007,2877.95,2910,2796.3,2897.45,4002,1553750
BAJAJ-AUTO-II,20161007,2823.05,2921.35,2816,2911.05,38,11750
BAJAJ-AUTO-III,20161007,0,0,0,2895.75,0,0
BAJFINANCE-I,20161007,1090.55,1095,1081.05,1088.8,1612,6428750
BAJFINANCE-II,20161007,1092.5,1098.6,1064,1095.65,48,71250
BAJFINANCE-III,20161007,0,0,0,1090,0,1250
BANKBARODA-I,20161007,165.55,166.65,163.4,164.65,6460,45752000
BANKBARODA-II,20161007,166.05,167.55,164.6,165.25,65,448000
BANKBARODA-III,20161007,166.2,166.2,166.2,166.2,3,31500
BANKINDIA-I,20161007,117.1,118.2,116.05,117.3,2579,23232000
BANKINDIA-II,20161007,116.6,118.25,115.9,117.25,108,1554000
BANKINDIA-III,20161007,117.4,117.4,117.4,117.4,3,66000
BATAINDIA-I,20161007,486.35,495.8,484.5,494.25,1270,3579400
BATAINDIA-II,20161007,487,494.6,486.25,494.6,111,122100
BATAINDIA-III,20161007,0,0,0,491.75,0,0
BEL-I,20161007,1278.2,1280.5,1264.5,1272.25,766,1125900
BEL-II,20161007,1271.5,1278.75,1270.05,1278.75,5,7200
BEL-III,20161007,0,0,0,1253.65,0,0
BEML-I,20161007,912,923.95,905.1,912,601,1002000
BEML-II,20161007,0,0,0,913.7,0,4000
BEML-III,20161007,0,0,0,890.05,0,0
BHARATFIN-I,20161007,893.55,895.8,872.3,887.55,4870,6952000
BHARATFIN-II,20161007,890.3,895.95,878.65,892.75,32,38000
BHARATFIN-III,20161007,0,0,0,847.9,0,0
BHARATFORG-I,20161007,959.5,964.8,941.25,961.05,7099,5112600
BHARATFORG-II,20161007,953,966.05,947.9,964.15,60,41400
BHARATFORG-III,20161007,0,0,0,914,0,0
BHARTIARTL-I,20161007,323,324.8,318.3,320.55,2836,27667500
BHARTIARTL-II,20161007,321.1,321.1,318.25,319.75,40,606000
BHARTIARTL-III,20161007,320.4,320.4,318,319.75,5,141000
BHEL-I,20161007,137.15,137.15,135.05,136,3089,48485000
BHEL-II,20161007,136.9,136.9,135.4,136.35,46,955000
BHEL-III,20161007,136,137.55,136,137.55,2,60000
BIOCON-I,20161007,964.9,968,941.2,949.6,2496,3589300
BIOCON-II,20161007,971,971,948,954.7,26,81400
BIOCON-III,20161007,0,0,0,939.25,0,0
BOSCHLTD-I,20161007,22991.05,23299,22977.95,23168.5,523,107550
BOSCHLTD-II,20161007,0,0,0,23089.85,0,500
BOSCHLTD-III,20161007,0,0,0,23026.4,0,0
BPCL-I,20161007,677.05,681.3,658.1,666.3,4937,14752800
BPCL-II,20161007,681,681,661.3,668.3,65,138000
BPCL-III,20161007,0,0,0,652.3,0,1200
BRITANNIA-I,20161007,3450,3479.4,3399,3405.9,1077,992200
BRITANNIA-II,20161007,3490,3490,3420,3423.5,9,5200
BRITANNIA-III,20161007,0,0,0,3342.5,0,0
CADILAHC-I,20161007,388.95,392,387.7,390.45,226,2424000
CADILAHC-II,20161007,392.15,392.15,392.15,392.15,1,11200
CADILAHC-III,20161007,0,0,0,393.4,0,0
CAIRN-I,20161007,228.95,229,222.6,224.5,2134,15540000
CAIRN-II,20161007,228.55,229,223.75,225.3,20,147000
CAIRN-III,20161007,0,0,0,210.4,0,3500
CANBK-I,20161007,329.65,332.85,325.55,330.35,6368,11703000
CANBK-II,20161007,329.1,332.15,325.5,330.3,58,579000
CANBK-III,20161007,332,332,328,330.2,3,21000
CASTROLIND-I,20161007,482.65,488.5,476,484.45,2830,13808200
CASTROLIND-II,20161007,484.15,486.75,480.65,486.75,12,49000
CASTROLIND-III,20161007,0,0,0,464.2,0,0
CEATLTD-I,20161007,1401.8,1413.75,1369,1378.35,3832,1560300
CEATLTD-II,20161007,1404.65,1405.4,1374.25,1375.2,19,25200
CEATLTD-III,20161007,0,0,0,1390,0,700
CENTURYTEX-I,20161007,966.4,985.7,948.95,980.35,6111,6997100
CENTURYTEX-II,20161007,963.9,990,954.05,985.2,20,26400
CENTURYTEX-III,20161007,984.5,984.5,984.5,984.5,1,1100
CESC-I,20161007,620.6,637.95,620.55,632.85,963,1709400
CESC-II,20161007,639.4,639.4,639.4,639.4,1,3300
CESC-III,20161007,0,0,0,620.1,0,0
CIPLA-I,20161007,583.2,586,569.4,573.45,2532,7122000
CIPLA-II,20161007,584.4,584.45,574.7,576.25,21,80000
CIPLA-III,20161007,582.6,582.6,582.6,582.6,1,4000
COALINDIA-I,20161007,320.65,320.65,316.75,319.85,2069,13443600
COALINDIA-II,20161007,321.25,322,319.5,321.9,7,103700
COALINDIA-III,20161007,0,0,0,333.35,0,0
COLPAL-I,20161007,980,988,965.5,972.8,481,2414300
COLPAL-II,20161007,949.45,949.45,949.45,949.45,1,2100
COLPAL-III,20161007,0,0,0,991.35,0,0
CONCOR-I,20161007,1383.5,1419.9,1380.65,1400.7,245,452500
CONCOR-II,20161007,0,0,0,1407.15,4,1000
CONCOR-III,20161007,0,0,0,1379.75,0,0
CROMPGREAV-I,20161007,76.85,77.7,76.2,77.3,609,11364000
CROMPGREAV-II,20161007,0,0,0,76.7,0,180000
CROMPGREAV-III,20161007,0,0,0,75.85,0,0
CUMMINSIND-I,20161007,920.1,922.65,910.45,912.3,180,502200
CUMMINSIND-II,20161007,0,0,0,901.5,0,600
CUMMINSIND-III,20161007,0,0,0,903.25,0,0
DABUR-I,20161007,286.75,287.4,284.3,285.65,773,5082500
DABUR-II,20161007,285.95,286.8,285.95,286.3,3,40000
DABUR-III,20161007,0,0,0,275.3,0,0
DCBBANK-I,20161007,125.45,127.4,125,125.75,198,1615500
DCBBANK-II,20161007,127.7,127.7,126.35,126.35,3,36000
DCBBANK-III,20161007,0,0,0,123.65,0,0
DHFL-I,20161007,295.95,298.2,290,294.05,2166,11514000
DHFL-II,20161007,297.3,297.3,291.2,294.9,68,471000
DHFL-III,20161007,0,0,0,299,0,3000
DISHTV-I,20161007,97.1,97.1,95.4,96.55,1264,26859000
DISHTV-II,20161007,97.45,97.45,96.05,97.4,8,182000
DISHTV-III,20161007,0,0,0,91.45,0,0
DIVISLAB-I,20161007,1287.15,1287.15,1271.4,1277.9,704,2338200
DIVISLAB-II,20161007,1282.65,1286.1,1280,1280,7,3000
DIVISLAB-III,20161007,0,0,0,1317.5,0,0
DLF-I,20161007,156.4,158,154.8,156.8,5007,44595000
DLF-II,20161007,157.4,158.6,156.25,157.55,56,390000
DLF-III,20161007,0,0,0,146.95,0,10000
DRREDDY-I,20161007,3074.6,3094.85,3051.1,3058.7,1841,1809000
DRREDDY-II,20161007,3090,3090,3030,3079.75,47,24400
DRREDDY-III,20161007,3107.35,3107.35,3107.3,3107.3,2,400
EICHERMOT-I,20161007,26199.95,26325.05,25861.15,25952.35,1186,128400
EICHERMOT-II,20161007,26250,26250,26018.1,26075.5,21,2100
EICHERMOT-III,20161007,0,0,0,25350.1,0,0
ENGINERSIN-I,20161007,260.95,271.5,260.5,268.95,3714,7619500
ENGINERSIN-II,20161007,262.5,271.3,262.5,270.15,62,154000
ENGINERSIN-III,20161007,0,0,0,245.1,0,0
EXIDEIND-I,20161007,194.5,195.85,191.9,194.6,1661,22596000
EXIDEIND-II,20161007,194.4,194.4,192.5,193.95,33,396000
EXIDEIND-III,20161007,0,0,0,184.5,0,0
FEDERALBNK-I,20161007,73.55,73.95,73.05,73.6,984,35915000
FEDERALBNK-II,20161007,73.85,74.05,73.7,74.05,4,363000
FEDERALBNK-III,20161007,0,0,0,75.5,0,11000
GAIL-I,20161007,417.55,420.95,414.15,415.7,3003,7365000
GAIL-II,20161007,419.1,419.15,416.6,417.35,8,91500
GAIL-III,20161007,0,0,0,369.75,0,0
GLENMARK-I,20161007,940.5,940.5,922.2,933.3,1369,2159500
GLENMARK-II,20161007,0,0,0,929,0,9800
GLENMARK-III,20161007,0,0,0,921.45,0,0
GMRINFRA-I,20161007,12.95,13.1,12.8,12.95,316,206100000
GMRINFRA-II,20161007,13.1,13.15,13,13,12,3015000
GMRINFRA-III,20161007,0,0,0,12.6,0,0
GODREJCP-I,20161007,1652.5,1672.15,1632.25,1637.25,482,400800
GODREJCP-II,20161007,0,0,0,1618.45,0,400
GODREJCP-III,20161007,0,0,0,1604.4,0,0
GODREJIND-I,20161007,450,455.35,446.2,450,436,1467000
GODREJIND-II,20161007,453.75,456.45,450.4,450.4,12,34500
GODREJIND-III,20161007,0,0,0,420.55,0,0
GRANULES-I,20161007,120.35,121.35,119,119.45,257,12095000
GRANULES-II,20161007,121,121,120,120.05,4,265000
GRANULES-III,20161007,0,0,0,115.25,0,0
GRASIM-I,20161007,1017.2,1034.3,1006.5,1028.65,3354,10069500
GRASIM-II,20161007,1030.25,1038,1013.65,1033.75,78,87750
GRASIM-III,20161007,0,0,0,4789.2,0,0
HAVELLS-I,20161007,449,454.15,445.95,449.2,1438,2622000
HAVELLS-II,20161007,455.15,455.7,450,450,8,56000
HAVELLS-III,20161007,0,0,0,416.05,0,0
HCLTECH-I,20161007,797.75,807.2,785,803.65,2049,6049400
HCLTECH-II,20161007,799.05,807.3,792.2,806,44,60900
HCLTECH-III,20161007,801,809.9,801,809.9,3,2100
HDFC-I,20161007,1428.1,1428.4,1405,1410.05,4135,10588500
HDFC-II,20161007,1427,1427,1415.25,1418.35,36,83500
HDFC-III,20161007,0,0,0,1425.7,0,0
HDFCBANK-I,20161007,1291.9,1294.95,1285,1287.9,5859,32528000
HDFCBANK-II,20161007,1300.9,1301.95,1295,1296.8,50,494000
HDFCBANK-III,20161007,0,0,0,1308,0,2500
HDIL-I,20161007,82.05,82.7,81,82.2,2448,30656000
HDIL-II,20161007,82.6,82.95,81.65,82.75,20,392000
HDIL-III,20161007,82.8,82.8,82.8,82.8,1,24000
HEROMOTOCO-I,20161007,3484.65,3503.75,3460,3493.9,2526,1139000
HEROMOTOCO-II,20161007,3493.8,3515,3480.05,3511.4,25,11800
HEROMOTOCO-III,20161007,0,0,0,3530,0,400
HEXAWARE-I,20161007,185.95,186.25,183.5,185.05,729,6684000
HEXAWARE-II,20161007,184.2,185.25,184.2,185,10,66000
HEXAWARE-III,20161007,0,0,0,189.65,0,0
HINDALCO-I,20161007,159.1,160.8,157,158.9,4773,31143000
HINDALCO-II,20161007,160,161.55,158.2,159.8,27,371000
HINDALCO-III,20161007,0,0,0,159.35,0,35000
HINDPETRO-I,20161007,457.7,463.8,441.3,446.15,5677,21436800
HINDPETRO-II,20161007,459.95,465.05,445,448.65,101,441000
HINDPETRO-III,20161007,0,0,0,452.9,0,10500
HINDUNILVR-I,20161007,888.9,889.4,872.15,878.75,2804,7273800
HINDUNILVR-II,20161007,886.15,886.15,872,878.3,31,145200
HINDUNILVR-III,20161007,0,0,0,889,0,1200
HINDZINC-I,20161007,253.1,254.1,249.9,253.1,685,5798400
HINDZINC-II,20161007,252.4,254.55,252.4,254.55,3,28800
HINDZINC-III,20161007,0,0,0,233.15,0,0
IBREALEST-I,20161007,89.1,89.75,86.75,87.25,706,37390000
IBREALEST-II,20161007,88.4,89.8,87.6,87.8,21,1130000
IBREALEST-III,20161007,0,0,0,95.35,0,10000
IBULHSGFIN-I,20161007,860.55,870.5,856.25,860.2,1695,6576800
IBULHSGFIN-II,20161007,855.2,864,855.2,860.15,6,25600
IBULHSGFIN-III,20161007,0,0,0,801,0,0
ICICIBANK-I,20161007,251.7,254.8,249.6,252,9300,71227500
ICICIBANK-II,20161007,254.4,256,251.5,253.5,153,827500
ICICIBANK-III,20161007,0,0,0,260.4,0,2500
ICIL-I,20161007,724.1,727.1,706.3,708.65,231,852600
ICIL-II,20161007,718.6,718.6,718.6,718.6,1,3600
ICIL-III,20161007,0,0,0,730.5,0,0
IDBI-I,20161007,72.15,73.9,71.5,72.2,4017,33752000
IDBI-II,20161007,71.55,73.05,71.15,71.5,148,1464000
IDBI-III,20161007,72,72,71,71.35,8,176000
IDEA-I,20161007,80.45,80.75,79.8,80.35,1790,60775000
IDEA-II,20161007,80.5,80.5,79.75,80.2,99,2305000
IDEA-III,20161007,80.3,80.4,79.8,80.2,14,100000
IDFC-I,20161007,68.75,69.8,68.45,69.15,1207,56390400
IDFC-II,20161007,69.35,70,69.15,70,9,554400
IDFC-III,20161007,0,0,0,69.5,0,26400
IDFCBANK-I,20161007,73.95,75.3,73.25,73.9,864,18632000
IDFCBANK-II,20161007,74,75.5,74,74.05,13,368000
IDFCBANK-III,20161007,0,0,0,74.95,0,40000
IFCI-I,20161007,26.8,28.05,26.8,27.3,1903,69190000
IFCI-II,20161007,27.15,28.05,27,27.4,33,968000
IFCI-III,20161007,0,0,0,26.15,0,0
IGL-I,20161007,863.95,866,847.1,855,1773,1552100
IGL-II,20161007,857.4,860.85,851.1,860.15,12,44000
IGL-III,20161007,0,0,0,782.25,0,0
INDIACEM-I,20161007,158.55,162.85,157.7,161.5,3127,23149000
INDIACEM-II,20161007,160,163.85,159.7,161.75,44,497000
INDIACEM-III,20161007,0,0,0,159.3,0,42000
INDUSINDBK-I,20161007,1217.1,1229,1213.3,1223.7,2782,4948200
INDUSINDBK-II,20161007,1228.25,1230.85,1223,1228.65,15,36000
INDUSINDBK-III,20161007,0,0,0,1218.6,0,0
INFRATEL-I,20161007,382.4,382.4,370.55,371.6,868,2949800
INFRATEL-II,20161007,382.4,382.4,373,373,7,11200
INFRATEL-III,20161007,0,0,0,377.8,0,0
INFY-I,20161007,1021.9,1026.9,1005,1007.9,7651,13398000
INFY-II,20161007,1025,1031,1011.45,1013.85,237,186500
INFY-III,20161007,1029.5,1030.05,1018,1020.45,9,2500
IOC-I,20161007,654.85,665.5,637.2,643.2,6277,7962000
IOC-II,20161007,661.25,667,640.4,645.2,46,319500
IOC-III,20161007,0,0,0,658,0,1500
IRB-I,20161007,247.85,252,245.25,250.55,2049,10940000
IRB-II,20161007,248,252.95,246.8,252.95,16,95000
IRB-III,20161007,0,0,0,263,0,5000
ITC-I,20161007,239.25,241.25,238.2,239.7,3988,50640000
ITC-II,20161007,241.75,242.15,239.9,240.95,51,487200
ITC-III,20161007,242.95,242.95,242.95,242.95,1,7200
JETAIRWAYS-I,20161007,476.5,476.95,466.35,469.45,2297,6566000
JETAIRWAYS-II,20161007,474,475.55,468.55,472.05,21,69000
JETAIRWAYS-III,20161007,0,0,0,489.15,0,2000
JINDALSTEL-I,20161007,79.95,80.8,78.75,80.3,441,53370000
JINDALSTEL-II,20161007,80.05,80.05,80.05,80.05,2,819000
JINDALSTEL-III,20161007,0,0,0,75.95,0,0
JISLJALEQS-I,20161007,94.3,96.6,93.25,96.3,993,38520000
JISLJALEQS-II,20161007,95.45,96.55,94.75,96.55,11,711000
JISLJALEQS-III,20161007,0,0,0,96.5,0,9000
JPASSOCIAT-I,20161007,11.6,11.6,11.2,11.4,535,148036000
JPASSOCIAT-II,20161007,11.35,11.5,11.35,11.5,4,2040000
JPASSOCIAT-III,20161007,0,0,0,11.3,0,204000
JSWENERGY-I,20161007,72.8,75.4,72.8,74,650,21704000
JSWENERGY-II,20161007,75.35,75.35,74.55,75.25,5,48000
JSWENERGY-III,20161007,0,0,0,74.2,0,0
JSWSTEEL-I,20161007,1770.05,1786.25,1755.6,1781.5,3375,5547000
JSWSTEEL-II,20161007,1780,1795,1766.65,1792.35,34,36000
JSWSTEEL-III,20161007,0,0,0,1707.45,0,0
JUBLFOOD-I,20161007,1030,1073.35,1026.1,1068.4,6169,2177000
JUBLFOOD-II,20161007,1054.45,1074,1048.9,1072,41,68000
JUBLFOOD-III,20161007,0,0,0,1026,0,1500
JUSTDIAL-I,20161007,433.4,439.8,431.25,435.5,1487,4097600
JUSTDIAL-II,20161007,434,435,431.2,434.75,12,60000
JUSTDIAL-III,20161007,0,0,0,428,0,2400
KOTAKBANK-I,20161007,783.55,788.45,778.75,784.15,3607,10758400
KOTAKBANK-II,20161007,785.85,791.75,785.85,789.35,20,52800
KOTAKBANK-III,20161007,0,0,0,786,0,0
KPIT-I,20161007,132.3,133.4,126.2,129.4,912,6416000
KPIT-II,20161007,130.55,130.65,127.6,130.65,16,124000
KPIT-III,20161007,0,0,0,126.15,0,0
KSCL-I,20161007,419.35,424.3,411.05,418.35,925,2508000
KSCL-II,20161007,415.45,422.55,415.45,422.55,4,7500
KSCL-III,20161007,0,0,0,372,0,0
KTKBANK-I,20161007,151.95,152.6,150.3,151.7,873,13776000
KTKBANK-II,20161007,152.5,153,151.8,152.4,20,654000
KTKBANK-III,20161007,0,0,0,152.65,0,114000
L&TFH-I,20161007,95.35,96,93.9,94.45,1319,37755000
L&TFH-II,20161007,95.6,95.8,95,95.15,19,459000
L&TFH-III,20161007,0,0,0,97.2,0,18000
LICHSGFIN-I,20161007,593.35,604.9,589.7,602.95,4023,6717700
LICHSGFIN-II,20161007,594.35,607.65,594.35,606.1,37,72600
LICHSGFIN-III,20161007,0,0,0,605,0,1100
LT-I,20161007,1454.15,1463.9,1444.1,1459.9,5208,7440000
LT-II,20161007,1461,1470.55,1455,1467.6,62,114000
LT-III,20161007,1474.2,1474.2,1474.2,1474.2,1,2000
LUPIN-I,20161007,1490.3,1507.4,1487.05,1502.5,7926,6445800
LUPIN-II,20161007,1512,1514,1497.8,1509.1,71,57900
LUPIN-III,20161007,1523,1523,1523,1523,1,300
M&M-I,20161007,1382,1393.9,1375.8,1380.6,2999,6409500
M&M-II,20161007,1399.95,1400,1385,1389.4,13,43500
M&M-III,20161007,0,0,0,1385.2,0,1000
M&MFIN-I,20161007,378.15,384.5,378.15,382.7,2146,12132500
M&MFIN-II,20161007,380.5,384.8,380.45,384.8,5,65000
M&MFIN-III,20161007,0,0,0,359.2,0,0
MARICO-I,20161007,284.95,287,279.6,280.85,433,8561800
MARICO-II,20161007,0,0,0,287.9,1,13000
MARICO-III,20161007,0,0,0,290,0,0
MARUTI-I,20161007,5731.9,5739.15,5695.1,5713.5,5303,1821300
MARUTI-II,20161007,5736,5755.05,5724.7,5740.65,55,29700
MARUTI-III,20161007,5766.5,5766.5,5766.5,5766.5,1,3600
MCDOWELL-N-I,20161007,2513.9,2550,2463,2481.8,4176,3186750
MCDOWELL-N-II,20161007,2460.55,2551.9,2460.55,2496.3,13,7750
MCDOWELL-N-III,20161007,0,0,0,2345.55,0,0
MCLEODRUSS-I,20161007,178.65,180.45,177,177.85,493,6072000
MCLEODRUSS-II,20161007,179,179,179,179,1,51000
MCLEODRUSS-III,20161007,0,0,0,172.65,0,0
MINDTREE-I,20161007,494.7,495.95,482.2,493.55,393,2750400
MINDTREE-II,20161007,490.5,491.75,490.05,490.85,6,36000
MINDTREE-III,20161007,0,0,0,489.95,0,0
MOTHERSUMI-I,20161007,334.7,334.85,329.5,331,1178,9220000
MOTHERSUMI-II,20161007,0,0,0,334.15,0,107500
MOTHERSUMI-III,20161007,0,0,0,337,0,2500
MRF-I,20161007,54444,54444,53200,53623.45,2026,50100
MRF-II,20161007,54100,54533.25,53654,53905.25,52,840
MRF-III,20161007,54773.95,55485.95,54773.95,55485.95,2,45
NCC-I,20161007,86.75,88.4,86.05,86.85,1001,22008000
NCC-II,20161007,86.95,87.65,86.95,87.55,6,72000
NCC-III,20161007,0,0,0,80.8,0,0
NHPC-I,20161007,26.05,26.25,25.6,25.8,205,20817000
NHPC-II,20161007,26.3,26.3,25.95,25.95,4,513000
NHPC-III,20161007,0,0,0,24.8,0,0
NIITTECH-I,20161007,420.45,423.05,405.15,408.45,364,991000
NIITTECH-II,20161007,408.05,408.05,408,408,2,3000
NIITTECH-III,20161007,0,0,0,419.75,0,0
NMDC-I,20161007,117.65,118.7,115.8,118.05,1921,13320000
NMDC-II,20161007,118.25,118.75,116.45,118.6,40,534000
NMDC-III,20161007,0,0,0,104.15,0,0
NTPC-I,20161007,149.5,150.5,148.6,149.1,1046,20968000
NTPC-II,20161007,151.2,151.2,150.2,150.2,4,64000
NTPC-III,20161007,0,0,0,152.05,0,0
OFSS-I,20161007,3278.25,3310.95,3262.85,3272.15,80,257250
OFSS-II,20161007,0,0,0,3688.25,0,0
OFSS-III,20161007,0,0,0,3245.4,0,0
OIL-I,20161007,415.75,419.4,415.25,417.35,295,1252900
OIL-II,20161007,0,0,0,426.3,1,5100
OIL-III,20161007,0,0,0,405.4,0,0
ONGC-I,20161007,272,274.7,268.05,268.8,4742,20837500
ONGC-II,20161007,272,273.95,268,268.35,64,487500
ONGC-III,20161007,271,271,271,271,1,17500
ORIENTBANK-I,20161007,129.6,131.6,128.7,130.2,2713,13266000
ORIENTBANK-II,20161007,130,131.95,130,131,36,462000
ORIENTBANK-III,20161007,0,0,0,132.1,0,6000
PAGEIND-I,20161007,15945,15945,15411,15480.65,400,38600
PAGEIND-II,20161007,0,0,0,14509.65,0,0
PAGEIND-III,20161007,15305,15305,15305,15305,1,50
PCJEWELLER-I,20161007,493.95,494,481.5,486.95,281,706500
PCJEWELLER-II,20161007,489,489,482.6,483.3,6,25500
PCJEWELLER-III,20161007,0,0,0,477.5,0,0
PETRONET-I,20161007,374.75,381.75,372.55,374.95,843,4995000
PETRONET-II,20161007,381.3,382.9,375.2,375.6,7,69000
PETRONET-III,20161007,0,0,0,344.15,0,0
PFC-I,20161007,125.15,126,122.5,123.75,1203,21636000
PFC-II,20161007,125.9,125.9,123.5,124.15,6,186000
