BANKNIFTY-I,20161109,18325,19632,18200,19583.5,195876,1887280
BANKNIFTY-II,20161109,18668.65,19735.4,18399.95,19704.65,4755,94760
BANKNIFTY-III,20161109,18678.6,19825,18500,19789.35,763,14680
DJIA-I,20161109,17670,18100,17500,18017.5,555,3810
DJIA-II,20161109,17700,18000,17500,18000,6,1410
DJIA-III,20161109,0,0,0,18462.5,0,0
DJIA-IIII,20161109,0,0,0,18965,0,0
DJIA-IIIII,20161109,0,0,0,19047.5,0,0
DJIA-IIIIII,20161109,0,0,0,19507.5,0,0
FTSE100-I,20161109,0,0,0,6980,0,0
FTSE100-II,20161109,0,0,0,6570,0,0
FTSE100-III,20161109,0,0,0,7142,0,0
FTSE100-IIII,20161109,0,0,0,6728,0,0
FTSE100-IIIII,20161109,0,0,0,6411,0,0
FTSE100-IIIIII,20161109,0,0,0,7152,0,0
NIFTY-I,20161109,8102.25,8493.5,8076,8462.7,457804,16679925
NIFTY-II,20161109,8149.7,8542,8121.05,8515.95,24189,1249350
NIFTY-III,20161109,8208.75,8582.25,8168.6,8553.4,4763,358650
NIFTYINFRA-I,20161109,0,0,0,2947.85,0,0
NIFTYINFRA-II,20161109,0,0,0,2828.7,0,0
NIFTYINFRA-III,20161109,0,0,0,2912.4,0,0
NIFTYIT-I,20161109,9405,9889,9261,9708,697,32300
NIFTYIT-II,20161109,0,0,0,10436,0,0
NIFTYIT-III,20161109,9473,9473,9473,9473,1,50
NIFTYMID50-I,20161109,0,0,0,3848.25,0,0
NIFTYMID50-II,20161109,0,0,0,3924.85,0,0
NIFTYMID50-III,20161109,0,0,0,4122.35,0,0
NIFTYPSE-I,20161109,0,0,0,3552.85,0,0
NIFTYPSE-II,20161109,0,0,0,3513.5,0,0
NIFTYPSE-III,20161109,0,0,0,3763.2,0,0
S&P500-I,20161109,2059.75,2112,2031,2100,898,180500
S&P500-II,20161109,2050,2073,2040,2073,8,2000
S&P500-III,20161109,0,0,0,2176.75,0,0
S&P500-IIII,20161109,0,0,0,2213.75,0,0
S&P500-IIIII,20161109,0,0,0,2232,0,0
S&P500-IIIIII,20161109,0,0,0,2300,0,0
ABIRLANUVO-I,20161109,1210.95,1305,1185,1296.7,1875,4141500
ABIRLANUVO-II,20161109,1230,1269,1230,1263.35,6,13500
ABIRLANUVO-III,20161109,0,0,0,1395.8,0,0
ACC-I,20161109,1444.5,1463.5,1359.05,1453.05,2948,1332400
ACC-II,20161109,1445.1,1469.2,1411.1,1463,14,6800
ACC-III,20161109,0,0,0,1502.9,0,1600
ADANIENT-I,20161109,58.55,62.7,58.55,61.95,819,18312000
ADANIENT-II,20161109,59.95,62.5,59.9,62.5,29,312000
ADANIENT-III,20161109,0,0,0,63.5,0,24000
ADANIPORTS-I,20161109,266,284.3,254.4,283.4,5795,17270000
ADANIPORTS-II,20161109,274.95,285.75,268.45,284.65,108,227500
ADANIPORTS-III,20161109,0,0,0,292.5,0,10000
ADANIPOWER-I,20161109,24.3,24.9,23.2,24.65,1402,116520000
ADANIPOWER-II,20161109,23.65,25.1,23.6,24.9,58,2240000
ADANIPOWER-III,20161109,25.05,25.05,25.05,25.05,1,20000
AJANTPHARM-I,20161109,1810,1917.95,1735.05,1901.95,687,370800
AJANTPHARM-II,20161109,1867.45,1920,1867.45,1910,5,19200
AJANTPHARM-III,20161109,0,0,0,2009.95,0,0
ALBK-I,20161109,65,69.85,63.35,68.65,2379,17450000
ALBK-II,20161109,65,69.65,63.9,69.65,49,500000
ALBK-III,20161109,0,0,0,76.2,0,0
AMARAJABAT-I,20161109,950,1000,916,993.75,1190,594000
AMARAJABAT-II,20161109,960.55,990,960.55,990,4,13800
AMARAJABAT-III,20161109,0,0,0,1015.5,0,0
AMBUJACEM-I,20161109,229.35,238,221.15,231.5,4717,11102500
AMBUJACEM-II,20161109,231.75,236,228.3,233.05,23,107500
AMBUJACEM-III,20161109,0,0,0,247.4,0,0
ANDHRABANK-I,20161109,48.4,53,47.75,52.25,1337,19030000
ANDHRABANK-II,20161109,49.5,53.1,49.45,52.5,41,550000
ANDHRABANK-III,20161109,50.85,50.85,50.85,50.85,1,10000
APOLLOHOSP-I,20161109,1212,1312.85,1210.25,1298.2,588,500800
APOLLOHOSP-II,20161109,1260.75,1276.05,1222.1,1276.05,8,4800
APOLLOHOSP-III,20161109,0,0,0,1353.3,0,0
APOLLOTYRE-I,20161109,181.55,198,178.65,196.5,5341,9933000
APOLLOTYRE-II,20161109,186.3,198.95,182.4,197.75,170,240000
APOLLOTYRE-III,20161109,0,0,0,199.05,0,6000
ARVIND-I,20161109,374.9,394.2,365.4,387.15,5433,5836000
