BANKNIFTY-I,20180511,26115,26429.9,26060.35,26400.35,69654,3254040
BANKNIFTY-II,20180511,26187,26435.5,26072.75,26410.3,1525,69360
BANKNIFTY-III,20180511,26068.7,26440,26068.7,26414.35,94,6640
FTSE100-I,20180511,0,0,0,7364,0,0
FTSE100-II,20180511,0,0,0,7982,0,0
FTSE100-III,20180511,0,0,0,7445,0,0
FTSE100-IIII,20180511,0,0,0,7867,0,0
FTSE100-IIIII,20180511,0,0,0,7947,0,0
FTSE100-IIIIII,20180511,0,0,0,7674,0,0
NIFTY-I,20180511,10752.55,10827.2,10736.75,10820.1,107214,25081200
NIFTY-II,20180511,10756.85,10833.65,10746.55,10827.8,3837,976050
NIFTY-III,20180511,10795,10850,10766.55,10843.55,708,70200
NIFTYCPSE-I,20180511,0,0,0,2627.4,0,0
NIFTYCPSE-II,20180511,0,0,0,2463.55,0,0
NIFTYCPSE-III,20180511,0,0,0,2439.95,0,0
NIFTYINFRA-I,20180511,0,0,0,3441.1,0,0
NIFTYINFRA-II,20180511,0,0,0,3389.3,0,0
NIFTYINFRA-III,20180511,0,0,0,3500.75,0,0
NIFTYIT-I,20180511,13528,13548,13435,13521,283,63600
NIFTYIT-II,20180511,0,0,0,13501,0,350
NIFTYIT-III,20180511,0,0,0,14272,0,0
NIFTYMID50-I,20180511,5128,5288,5128,5288,4,601600
NIFTYMID50-II,20180511,0,0,0,5065.85,0,0
NIFTYMID50-III,20180511,0,0,0,5465.7,0,0
NIFTYPSE-I,20180511,0,0,0,4077.45,0,0
NIFTYPSE-II,20180511,0,0,0,3915.3,0,0
NIFTYPSE-III,20180511,0,0,0,3893.55,0,0
ACC-I,20180511,1484.65,1487.45,1454.4,1459.75,2578,2001200
ACC-II,20180511,1492.45,1492.45,1461.5,1464.35,63,87200
ACC-III,20180511,0,0,0,1570,0,400
ADANIENT-I,20180511,128,130,123.7,128.7,4606,14244000
ADANIENT-II,20180511,127.3,130.45,124.65,129.8,78,240000
ADANIENT-III,20180511,0,0,0,128.7,0,8000
ADANIPORTS-I,20180511,411,414.5,410.95,413,1616,14642500
ADANIPORTS-II,20180511,413.6,415,413.6,414.65,13,82500
