BANKNIFTY-I,20181212,26349.85,26779.45,26297,26758.3,156123,1576680
BANKNIFTY-II,20181212,26435.8,26879,26392.75,26846.7,2464,67180
BANKNIFTY-III,20181212,26596.5,26930,26596.5,26913.25,136,4000
NIFTY-I,20181212,10610,10798.9,10588.5,10783.65,152495,21523050
NIFTY-II,20181212,10645.2,10846.95,10634.55,10831.9,6940,1044900
NIFTY-III,20181212,10661,10875.35,10661,10860.7,1005,126000
NIFTYIT-I,20181212,14797,14815,14589,14799,292,18100
NIFTYIT-II,20181212,14750,14750,14750,14750,1,100
NIFTYIT-III,20181212,0,0,0,14739,0,0
NIFTYMID50-I,20181212,0,0,0,4609.95,0,591690
ACC-I,20181212,1448,1491.95,1436.5,1488.15,2689,1502400
ACC-II,20181212,1455.25,1496,1454.3,1494.8,28,12800
ACC-III,20181212,1457.4,1457.4,1457.4,1457.4,1,1200
ADANIENT-I,20181212,154,157.9,151.45,157,732,23484000
ADANIENT-II,20181212,153,157.5,153,157.45,9,24340000
ADANIENT-III,20181212,0,0,0,155,0,4000
ADANIPORTS-I,20181212,358.5,377.3,356.5,376,4138,18380000
ADANIPORTS-II,20181212,358.2,378.65,358.2,377.65,126,382500
ADANIPORTS-III,20181212,0,0,0,376.8,0,0
ADANIPOWER-I,20181212,52.2,53.4,52.1,53.1,320,157060000
ADANIPOWER-II,20181212,53.2,53.65,53.05,53.4,12,18300000
ADANIPOWER-III,20181212,0,0,0,51.7,0,20000
AJANTPHARM-I,20181212,1079.5,1105.9,1070.55,1100.4,734,564500
AJANTPHARM-II,20181212,1088.95,1089,1079.2,1079.2,9,23000
AJANTPHARM-III,20181212,0,0,0,1043.9,0,3000
ALBK-I,20181212,45,46.9,44.85,46.5,1389,16896000
ALBK-II,20181212,45.2,46.45,45.1,46.45,33,494000
ALBK-III,20181212,0,0,0,48.25,1,13000
AMARAJABAT-I,20181212,722.8,740,719.75,736.4,1324,1194900
AMARAJABAT-II,20181212,710,738.45,710,733.85,6,14000
AMARAJABAT-III,20181212,0,0,0,737.65,0,0
AMBUJACEM-I,20181212,214.35,218.6,213,217.05,3126,16665000
AMBUJACEM-II,20181212,215.15,219,215.15,218.25,52,185000
AMBUJACEM-III,20181212,0,0,0,216.35,0,0
APOLLOHOSP-I,20181212,1189.95,1222.35,1186,1217,1322,1062500
APOLLOHOSP-II,20181212,1207,1207,1207,1207,1,7000
APOLLOHOSP-III,20181212,0,0,0,1269.4,0,0
APOLLOTYRE-I,20181212,233.5,239.8,232.05,238.45,2198,8622000
APOLLOTYRE-II,20181212,234.3,240.5,234.3,239.8,28,165000
APOLLOTYRE-III,20181212,0,0,0,225.95,0,6000
ARVIND-I,20181212,101,105.2,101,102.8,2884,4862000
ARVIND-II,20181212,101.7,105.4,101.7,103.15,107,226000
ARVIND-III,20181212,104.8,105.05,104.4,104.4,3,18000
ASHOKLEY-I,20181212,104.45,107.25,104.3,105.65,7282,58388000
ASHOKLEY-II,20181212,105.05,107.75,105.05,106.2,286,2172000
ASHOKLEY-III,20181212,105.55,108,105.5,105.5,24,472000
ASIANPAINT-I,20181212,1322.65,1344,1317.5,1337.55,2935,4346400
ASIANPAINT-II,20181212,1335,1348,1325.75,1343.75,89,98400
ASIANPAINT-III,20181212,0,0,0,1375.85,0,0
