BANKNIFTY-I,20170913,24780.35,24937,24734.5,24821.85,65622,2388280
BANKNIFTY-II,20170913,24824.3,24988.8,24792.05,24882.55,1203,101000
BANKNIFTY-III,20170913,24870,25041,24863.6,24929.25,76,8600
DJIA-I,20170913,22115,22115,22087.5,22105,124,15390
DJIA-II,20170913,22080,22080,22060,22065,79,4620
DJIA-III,20170913,0,0,0,21150,0,0
DJIA-IIII,20170913,0,0,0,22335,0,0
DJIA-IIIII,20170913,0,0,0,22790,0,0
FTSE100-I,20170913,0,0,0,7152,0,0
FTSE100-II,20170913,0,0,0,7550,0,0
FTSE100-III,20170913,0,0,0,7552,0,0
FTSE100-IIII,20170913,0,0,0,7457,0,0
FTSE100-IIIII,20170913,0,0,0,7912,0,0
FTSE100-IIIIII,20170913,0,0,0,7982,0,0
NIFTY-I,20170913,10105,10144.7,10078,10091.45,94799,20522250
NIFTY-II,20170913,10127.9,10175,10110,10122.8,4840,812625
NIFTY-III,20170913,10169.95,10200.5,10142,10150.3,708,181050
NIFTYCPSE-I,20170913,0,0,0,2371.45,0,0
NIFTYCPSE-II,20170913,0,0,0,2423.05,0,0
NIFTYCPSE-III,20170913,0,0,0,2505.1,0,0
NIFTYINFRA-I,20170913,0,0,0,3261.55,0,0
NIFTYINFRA-II,20170913,0,0,0,3430.55,0,0
NIFTYINFRA-III,20170913,0,0,0,3376.25,0,0
NIFTYIT-I,20170913,10500,10565,10453,10479,296,33300
NIFTYIT-II,20170913,0,0,0,10784,0,0
NIFTYIT-III,20170913,0,0,0,10725,0,0
NIFTYMID50-I,20170913,0,0,0,4573.1,0,0
NIFTYMID50-II,20170913,0,0,0,4822.75,0,0
NIFTYMID50-III,20170913,0,0,0,4782,0,0
NIFTYPSE-I,20170913,0,0,0,3825.45,0,0
NIFTYPSE-II,20170913,0,0,0,3997.7,0,0
NIFTYPSE-III,20170913,0,0,0,4196.35,0,0
S&P500-I,20170913,2495.5,2495.5,2491.75,2492.75,554,501250
S&P500-II,20170913,2491,2491,2486,2486,22,94000
S&P500-III,20170913,0,0,0,2485,0,0
S&P500-IIII,20170913,0,0,0,2540.5,0,0
S&P500-IIIII,20170913,0,0,0,2595.25,0,0
ACC-I,20170913,1846.1,1872.75,1842,1845.05,4247,1607600
ACC-II,20170913,1862,1880,1850.05,1852.55,51,31600
ACC-III,20170913,1877,1877.05,1877,1877.05,2,800
ADANIENT-I,20170913,133.65,134.95,130.8,131.3,1764,25552000
ADANIENT-II,20170913,134.55,135.45,131.6,131.9,24,312000
ADANIENT-III,20170913,0,0,0,134.65,0,0
ADANIPORTS-I,20170913,392,396.4,387.7,390.9,2657,8190000
ADANIPORTS-II,20170913,393.5,398,390,393.25,43,160000
ADANIPORTS-III,20170913,397.9,398.2,393.2,393.2,4,12500
ADANIPOWER-I,20170913,33.2,33.55,31.75,32,1177,97020000
ADANIPOWER-II,20170913,33.2,33.3,32.2,32.2,19,1240000
ADANIPOWER-III,20170913,0,0,0,31.7,0,40000
AJANTPHARM-I,20170913,1198.85,1256.8,1190,1206.65,2636,676800
AJANTPHARM-II,20170913,1225,1261.8,1224.5,1224.5,9,9600
AJANTPHARM-III,20170913,0,0,0,1212.8,0,0
ALBK-I,20170913,69.4,70.7,68.95,69.7,993,11860000
ALBK-II,20170913,69.5,71,69.5,70.15,28,760000
ALBK-III,20170913,0,0,0,70.35,0,0
AMARAJABAT-I,20170913,801.05,805.25,780.4,783.8,1589,1734600
AMARAJABAT-II,20170913,798.05,808.6,786,787.35,24,25800
AMARAJABAT-III,20170913,0,0,0,802,0,3600
