BANKNIFTY-I,20160317,15661,15749,15326.5,15433.95,142361,1866960
BANKNIFTY-II,20160317,15794.7,15817.85,15414.45,15510.55,3744,265830
BANKNIFTY-III,20160317,15779,15849.4,15449.2,15535.5,193,103170
DJIA-I,20160317,17280,17392.5,17280,17307.5,144,20430
DJIA-II,20160317,17320,17327.5,17235,17262.5,110,6030
DJIA-III,20160317,0,0,0,16740,0,0
DJIA-IIII,20160317,0,0,0,16385,0,30
DJIA-IIIII,20160317,0,0,0,16702.5,0,30
DJIA-IIIIII,20160317,0,0,0,18835,0,0
FTSE100-I,20160317,0,0,0,5801,0,300
FTSE100-II,20160317,0,0,0,6026,0,0
FTSE100-III,20160317,0,0,0,6091,0,0
FTSE100-IIII,20160317,0,0,0,7242,0,0
FTSE100-IIIII,20160317,0,0,0,6637,0,0
FTSE100-IIIIII,20160317,0,0,0,6570,0,0
NIFTY-I,20160317,7588,7601.95,7487.1,7512.75,201036,21488700
NIFTY-II,20160317,7637.7,7642.95,7528,7553.15,12528,3568200
NIFTY-III,20160317,7650,7660.5,7545.1,7576.8,5121,912375
NIFTYINFRA-I,20160317,0,0,0,2565,0,150
NIFTYINFRA-II,20160317,0,0,0,2440.95,0,0
NIFTYINFRA-III,20160317,0,0,0,2330.45,0,0
NIFTYIT-I,20160317,10916.35,10966,10879.45,10917.4,178,13410
NIFTYIT-II,20160317,0,0,0,10900,0,90
NIFTYIT-III,20160317,0,0,0,10620.25,0,0
NIFTYMID50-I,20160317,0,0,0,2950,0,150
NIFTYMID50-II,20160317,0,0,0,3123.05,0,0
NIFTYMID50-III,20160317,0,0,0,2763.8,0,0
NIFTYPSE-I,20160317,0,0,0,3190.05,0,0
NIFTYPSE-II,20160317,0,0,0,2974,0,0
NIFTYPSE-III,20160317,0,0,0,2686.4,0,0
S&P500-I,20160317,2030,2037.75,2023.25,2026.25,252,356000
S&P500-II,20160317,2025,2030,2016.5,2019,535,184500
S&P500-III,20160317,0,0,0,1956,0,0
S&P500-IIII,20160317,0,0,0,2299,0,0
S&P500-IIIII,20160317,0,0,0,2150.5,0,0
S&P500-IIIIII,20160317,0,0,0,2198.25,0,0
ABIRLANUVO-I,20160317,782.45,786.55,772.65,775.85,828,1514000
ABIRLANUVO-II,20160317,780,791.25,778,780,12,9250
ABIRLANUVO-III,20160317,0,0,0,711.9,0,0
ACC-I,20160317,1253.85,1289.8,1251.5,1279.75,3577,1402125
ACC-II,20160317,1264,1295.05,1264,1284.35,63,39750
ACC-III,20160317,0,0,0,1224.85,0,0
ADANIENT-I,20160317,66.95,69,66.05,66.95,1309,16878000
ADANIENT-II,20160317,67.25,68.5,67.25,67.8,10,246000
ADANIENT-III,20160317,0,0,0,61.45,0,0
ADANIPORTS-I,20160317,230.5,238.75,230.5,234.6,4583,35144000
