BANKNIFTY-I,20180118,26610.25,26767.95,26385,26499.4,131788,2308440
BANKNIFTY-II,20180118,26820,26820,26423.65,26541.25,8690,390320
BANKNIFTY-III,20180118,26650,26839.95,26465.15,26576.7,213,13800
FTSE100-I,20180118,0,0,0,7652,0,0
FTSE100-II,20180118,0,0,0,7503,0,0
FTSE100-III,20180118,0,0,0,7912,0,0
FTSE100-IIII,20180118,0,0,0,7982,0,0
FTSE100-IIIII,20180118,0,0,0,7867,0,0
FTSE100-IIIIII,20180118,0,0,0,7947,0,0
NIFTY-I,20180118,10865.5,10873.45,10774.05,10810.8,151174,30746250
NIFTY-II,20180118,10899.7,10899.7,10800,10832.65,19341,2675325
NIFTY-III,20180118,10899,10912,10813.2,10843.1,1867,313500
NIFTYCPSE-I,20180118,0,0,0,2752.3,0,0
NIFTYCPSE-II,20180118,0,0,0,2661.05,0,0
NIFTYCPSE-III,20180118,0,0,0,2729.2,0,0
NIFTYINFRA-I,20180118,0,0,0,3636.75,0,0
NIFTYINFRA-II,20180118,0,0,0,3569.3,0,0
NIFTYINFRA-III,20180118,0,0,0,3662.6,0,0
NIFTYIT-I,20180118,12496,12569,12392,12554,310,23150
NIFTYIT-II,20180118,12470,12560,12416,12544,15,1100
NIFTYIT-III,20180118,0,0,0,11682,0,0
NIFTYMID50-I,20180118,5574.45,5724.45,5423,5423.3,66,515400
NIFTYMID50-II,20180118,0,0,0,5289.3,0,0
NIFTYMID50-III,20180118,0,0,0,5588,0,0
NIFTYPSE-I,20180118,0,0,0,4478.55,0,0
NIFTYPSE-II,20180118,0,0,0,4297,0,0
NIFTYPSE-III,20180118,0,0,0,4378.2,0,0
ACC-I,20180118,1847.2,1854.75,1820.75,1832.8,2198,1292000
ACC-II,20180118,1859.25,1860.35,1829.95,1837.95,96,66800
ACC-III,20180118,0,0,0,1776.85,0,0
ADANIENT-I,20180118,206.25,207.6,188.7,195.3,13170,21248000
ADANIENT-II,20180118,208.15,208.7,190,196.3,805,1292000
ADANIENT-III,20180118,198,198,198,198,1,28000
ADANIPORTS-I,20180118,435,438,409,415.7,13959,14942500
ADANIPORTS-II,20180118,437,438.45,410.8,417.95,774,742500
ADANIPORTS-III,20180118,430.05,430.05,414,419.5,4,25000
ADANIPOWER-I,20180118,41.1,41.2,36.3,36.95,6687,116980000
ADANIPOWER-II,20180118,41,41,36.55,37.2,774,15300000
ADANIPOWER-III,20180118,38.55,38.55,38.45,38.45,2,220000
AJANTPHARM-I,20180118,1540,1566.9,1521.75,1537.95,2042,981500
AJANTPHARM-II,20180118,1541.5,1571.75,1535.1,1544.85,114,40500
AJANTPHARM-III,20180118,1568.9,1602.55,1556.95,1556.95,10,5000
ALBK-I,20180118,73.65,73.7,69.35,70.1,1464,17680000
ALBK-II,20180118,74.1,74.1,69.8,70.55,162,2080000
ALBK-III,20180118,0,0,0,69.45,0,20000
AMARAJABAT-I,20180118,853.45,862,824.55,831.6,924,1736700
AMARAJABAT-II,20180118,864.1,864.1,828.65,835.85,158,100800
AMARAJABAT-III,20180118,0,0,0,867.9,0,700
AMBUJACEM-I,20180118,277.4,277.7,272.7,274.85,1505,13682500
AMBUJACEM-II,20180118,276.05,277,274.6,275.3,96,402500
AMBUJACEM-III,20180118,275,275,275,275,1,7500
ANDHRABANK-I,20180118,58.3,58.35,55.05,55.8,1396,22350000
ANDHRABANK-II,20180118,58.25,58.3,55.5,56.05,214,2630000
ANDHRABANK-III,20180118,56.4,56.4,56.05,56.05,2,30000
APOLLOHOSP-I,20180118,1132.5,1135.2,1107.05,1116.45,1019,815500
APOLLOHOSP-II,20180118,1134,1138.4,1114,1121.35,96,40500
APOLLOHOSP-III,20180118,0,0,0,1252.1,0,0
APOLLOTYRE-I,20180118,275.4,275.4,259.55,261.85,3004,11217000
APOLLOTYRE-II,20180118,274.65,274.8,261.2,263.1,271,585000
APOLLOTYRE-III,20180118,0,0,0,275.5,0,3000
ARVIND-I,20180118,460.2,462,445.9,450,2777,5346000
ARVIND-II,20180118,462.85,464.3,450,452.65,179,438000
ARVIND-III,20180118,458.85,458.85,458.85,458.85,1,12000
ASHOKLEY-I,20180118,124.85,125.7,120.25,121.15,3788,48160000
ASHOKLEY-II,20180118,125.5,126.2,120.9,121.8,480,7245000
ASHOKLEY-III,20180118,125.15,125.15,121.9,122.45,13,224000
ASIANPAINT-I,20180118,1195.55,1205,1180.55,1188.05,1951,4177200
ASIANPAINT-II,20180118,1202,1207.4,1185.15,1192.7,154,200400
ASIANPAINT-III,20180118,0,0,0,1162.85,0,0
AUROPHARMA-I,20180118,660.45,666,639.25,646.3,7219,23364800
AUROPHARMA-II,20180118,663.25,669.35,643.05,649.6,1508,2002400
AUROPHARMA-III,20180118,666.15,666.15,646.85,652.35,30,82400
AXISBANK-I,20180118,595.25,597,578.05,584.2,16791,49634400
AXISBANK-II,20180118,598.95,599,581.2,587.05,1557,2394000
AXISBANK-III,20180118,599.1,600.8,584,591.2,17,80400
BAJAJ-AUTO-I,20180118,3202.05,3237.9,3189.15,3196.1,2897,2043500
BAJAJ-AUTO-II,20180118,3230.55,3249.85,3204,3209.75,203,62500
BAJAJ-AUTO-III,20180118,0,0,0,3236.6,0,250
BAJAJFINSV-I,20180118,5006.95,5048.6,4884.1,4917.05,1732,779375
BAJAJFINSV-II,20180118,5036.25,5059.95,4910.15,4935.4,120,29250
BAJAJFINSV-III,20180118,0,0,0,5391.25,0,0
BAJFINANCE-I,20180118,1710,1715.2,1655.4,1661.85,4961,6250000
BAJFINANCE-II,20180118,1720.9,1722.9,1664.95,1670,714,607000
BAJFINANCE-III,20180118,1675,1675,1675,1675,1,2000
BALKRISIND-I,20180118,1153.75,1158.45,1116,1125,432,1476800
BALKRISIND-II,20180118,1155.35,1155.35,1125,1130.45,58,87200
BALKRISIND-III,20180118,0,0,0,1213.7,0,0
