Scrip,Sector,CMP,% Chg - CMP,Cumulative OI,Cumulative OI Change %
APOLLOTYRE,Automotive,191.45,-3.36,10074000,10.15485407980941
CEATLTD,Automotive,992.5,-1.16,885200,5.422503389064618
ASHOKLEY,Automotive,88.45,-2.75,69640000,5.623205054566341
ESCORTS,Automotive,605.1,-1.93,5343800,5.043227665706052
TATAMOTORS,Automotive,172.7,-1.85,58535000,4.993593576492697
AMARAJABAT,Automotive,633.3,-0.97,1573600,4.759786476868327
BALKRISIND,Automotive,791.05,-1.76,2201600,3.234011627906977
M&M,Automotive,656.95,-1.02,20306000,3.1222298827932633
MARUTI,Automotive,6881.1,-0.09,2906100,2.8207907504903478
TVSMOTOR,Automotive,476.95,-1.32,5146400,2.508549665785792
MOTHERSUMI,Automotive,117.2,-1.14,39631800,2.293234221004345
HEROMOTOCO,Automotive,2713.85,-0.72,2385400,1.9787037813364636
BOSCHLTD,Automotive,17548.2,1.43,160230,1.6476315296760906
EXIDEIND,Automotive,213.8,-1.04,9725200,1.0076913585324723
BAJAJ-AUTO,Automotive,2945.0,-0.39,2526750,1.256554862966261
MRF,Automotive,54852.05,-1.23,30370,-0.09878169245966416
EICHERMOT,Automotive,20075.0,0.23,331725,-0.6255181249528977
UJJIVAN,Banking & Financial Services,350.0,2.13,3124800,15.412186379928317
SRTRANSFIN,Banking & Financial Services,1176.1,4.47,3476400,8.974801518812564
UNIONBANK,Banking & Financial Services,76.2,-2.93,35385000,8.902077151335313
REPCOHOME,Banking & Financial Services,409.65,-2.35,455400,8.212560386473431
RELCAPITAL,Banking & Financial Services,122.0,-6.55,11004000,7.688113413304253
PNB,Banking & Financial Services,81.0,-1.22,116578000,6.88723429806653
BANKINDIA,Banking & Financial Services,94.8,-3.51,24558000,5.93696555094063
YESBANK,Banking & Financial Services,148.7,-3.16,130581100,5.52645061191857
CHOLAFIN,Banking & Financial Services,1532.35,0.94,724000,5.041436464088398
RECLTD,Banking & Financial Services,142.05,-1.87,26916000,5.1047703967900135
EQUITAS,Banking & Financial Services,137.45,-0.15,9084000,4.667547335975341
ALBK,Banking & Financial Services,44.7,-3.77,16380000,4.1269841269841265
ORIENTBANK,Banking & Financial Services,99.7,-2.45,8953000,4.065676309616888
KTKBANK,Banking & Financial Services,113.4,-1.05,11181300,3.9512400168137876
CANBK,Banking & Financial Services,268.3,-2.08,10478000,3.8938728765031496
ICICIPRULI,Banking & Financial Services,386.45,-0.27,4744500,3.8570976920644955
SYNDIBANK,Banking & Financial Services,35.15,-2.23,20265000,3.7009622501850483
SBIN,Banking & Financial Services,351.35,-1.22,68280000,3.5588752196836557
BANKBARODA,Banking & Financial Services,132.7,-2.5,53858500,3.5732521329038125
LICHSGFIN,Banking & Financial Services,558.0,-0.17,7130200,3.5482875655661834
BAJFINANCE,Banking & Financial Services,3499.2,-0.01,5378750,3.36509412038113
INDIANB,Banking & Financial Services,275.7,-2.77,4834000,3.061646669424907
DCBBANK,Banking & Financial Services,231.4,-1.3,3334500,2.968960863697706
