BANKNIFTY-I,20171005,24146.05,24236.65,24016,24107.25,54597,2272360
BANKNIFTY-II,20171005,24204.65,24294,24152.15,24174.15,443,53040
BANKNIFTY-III,20171005,24232.65,24353.95,24210.3,24226.1,43,4760
DJIA-I,20171005,22635,22640,22612.5,22622.5,120,22410
DJIA-II,20171005,0,0,0,22687.5,0,690
DJIA-III,20171005,0,0,0,22335,0,0
DJIA-IIII,20171005,0,0,0,22790,0,0
FTSE100-I,20171005,0,0,0,7550,0,0
FTSE100-II,20171005,0,0,0,7552,0,0
FTSE100-III,20171005,0,0,0,7457,0,0
FTSE100-IIII,20171005,0,0,0,7912,0,0
FTSE100-IIIII,20171005,0,0,0,7982,0,0
FTSE100-IIIIII,20171005,0,0,0,7867,0,0
NIFTY-I,20171005,9931,9965,9899.05,9908.7,84589,23367075
NIFTY-II,20171005,9955.9,9994,9930.2,9939.1,5091,1148175
NIFTY-III,20171005,9995.2,10028,9961.15,9971.3,615,91200
NIFTYCPSE-I,20171005,0,0,0,2423.05,0,0
NIFTYCPSE-II,20171005,0,0,0,2505.1,0,0
NIFTYCPSE-III,20171005,0,0,0,2531.5,0,0
NIFTYINFRA-I,20171005,0,0,0,3430.55,0,0
NIFTYINFRA-II,20171005,0,0,0,3376.25,0,0
NIFTYINFRA-III,20171005,0,0,0,3261.55,0,0
NIFTYIT-I,20171005,10588,10600,10539,10547,71,32850
NIFTYIT-II,20171005,0,0,0,10725,0,0
NIFTYIT-III,20171005,0,0,0,10689,0,0
NIFTYMID50-I,20171005,0,0,0,4822.75,0,0
NIFTYMID50-II,20171005,0,0,0,4782,0,0
NIFTYMID50-III,20171005,0,0,0,4732.3,0,0
NIFTYPSE-I,20171005,0,0,0,3997.7,0,0
NIFTYPSE-II,20171005,0,0,0,4196.35,0,0
NIFTYPSE-III,20171005,0,0,0,4060.8,0,0
S&P500-I,20171005,2533.5,2534,2532.25,2533.75,93,334750
S&P500-II,20171005,2559.75,2559.75,2515.25,2515.25,2,250
S&P500-III,20171005,0,0,0,2540.5,0,0
S&P500-IIII,20171005,0,0,0,2595.25,0,0
ACC-I,20171005,1656.7,1707,1656.7,1702.6,4382,2297200
ACC-II,20171005,1675.8,1712.9,1675.75,1711.45,39,20800
ACC-III,20171005,0,0,0,1690.7,0,400
ADANIENT-I,20171005,117.5,123.2,116.6,122.1,4893,28904000
ADANIENT-II,20171005,117.9,123,117.85,122.7,62,232000
ADANIENT-III,20171005,0,0,0,117.15,0,0
ADANIPORTS-I,20171005,389,389.9,385.5,386.85,1186,7930000
ADANIPORTS-II,20171005,391.05,391.8,388.15,388.45,43,192500
ADANIPORTS-III,20171005,0,0,0,392.3,0,2500
ADANIPOWER-I,20171005,29.9,30.8,29.6,30.6,1193,101740000
ADANIPOWER-II,20171005,29.85,30.7,29.85,30.7,10,640000
ADANIPOWER-III,20171005,30.15,30.15,30.1,30.1,3,60000
AJANTPHARM-I,20171005,1161.15,1174.8,1156,1159.65,697,824000
AJANTPHARM-II,20171005,1171.4,1171.4,1171.4,1171.4,1,3600
AJANTPHARM-III,20171005,0,0,0,1159.35,0,0
ALBK-I,20171005,65.9,66.9,65.8,66.55,576,12560000
ALBK-II,20171005,66.7,66.7,66.15,66.7,11,480000
ALBK-III,20171005,0,0,0,67.5,0,0
AMARAJABAT-I,20171005,703.7,714,703.7,708.3,1058,1879800
AMARAJABAT-II,20171005,714.1,715.5,707.55,709.7,16,18600
AMARAJABAT-III,20171005,718.65,718.65,718.65,718.65,2,3600
AMBUJACEM-I,20171005,270.9,275.8,270.1,275.05,1739,12527500
AMBUJACEM-II,20171005,271.85,276.55,271.85,276.55,15,77500
AMBUJACEM-III,20171005,0,0,0,272.3,0,0
ANDHRABANK-I,20171005,57,58.4,56.5,58,1123,21370000
ANDHRABANK-II,20171005,57.15,58.65,57,58.65,7,190000
ANDHRABANK-III,20171005,0,0,0,57.75,0,0
APOLLOHOSP-I,20171005,1052,1095.9,1050.9,1081.3,1983,1369000
APOLLOHOSP-II,20171005,1067.75,1067.75,1067.75,1067.75,1,13000
APOLLOHOSP-III,20171005,0,0,0,1008.1,0,0
APOLLOTYRE-I,20171005,238.2,241.8,236.65,240.7,4086,12909000
APOLLOTYRE-II,20171005,240.3,242.65,238.55,241.95,42,162000
APOLLOTYRE-III,20171005,240.45,242.75,240.45,242.5,3,18000
ARVIND-I,20171005,368.1,385.2,366.8,383.4,6733,7282000
ARVIND-II,20171005,369.95,386.6,369.95,385.15,16,66000
ARVIND-III,20171005,375.35,376.6,375.35,376.6,2,2000
ASHOKLEY-I,20171005,124.45,125.35,122.55,123.15,3095,57568000
ASHOKLEY-II,20171005,125.05,125.4,123.25,123.85,38,987000
ASHOKLEY-III,20171005,124.55,124.55,124.55,124.55,1,70000
ASIANPAINT-I,20171005,1156.45,1163.85,1151,1154.1,1442,3349800
ASIANPAINT-II,20171005,1157.4,1163.15,1154.7,1159.5,11,16800
ASIANPAINT-III,20171005,0,0,0,1147.9,0,0
AUROPHARMA-I,20171005,730.05,754.4,730,744,11959,18095200
AUROPHARMA-II,20171005,737.2,756,734.85,746.95,110,76000
AUROPHARMA-III,20171005,753.85,759.25,753,753,3,1600
AXISBANK-I,20171005,507.85,509.65,499.4,503.55,8446,35636400
AXISBANK-II,20171005,508.5,511.6,502.4,506.05,148,378000
AXISBANK-III,20171005,508.7,509.05,505,505,5,7200
BAJAJ-AUTO-I,20171005,3180.85,3196.2,3136.05,3144.35,1882,1759000
BAJAJ-AUTO-II,20171005,3210.3,3210.3,3154,3157.8,76,40000
BAJAJ-AUTO-III,20171005,0,0,0,3087.5,0,0
BAJAJFINSV-I,20171005,5270,5340,5230,5271.15,1228,689500
BAJAJFINSV-II,20171005,5335.5,5336.15,5296.75,5299.65,6,1000
BAJAJFINSV-III,20171005,0,0,0,5123.5,0,0
BAJFINANCE-I,20171005,1866,1892,1860.05,1873.5,4749,5018500
BAJFINANCE-II,20171005,1888.55,1899.85,1880.05,1882.95,93,62500
BAJFINANCE-III,20171005,0,0,0,1872,0,0
BALKRISIND-I,20171005,1684.25,1689.7,1651.5,1675.05,249,495600
BALKRISIND-II,20171005,1675.05,1675.25,1675.05,1675.25,3,7600
BALKRISIND-III,20171005,1696,1700.35,1680.2,1685.85,41,2400
BALRAMCHIN-I,20171005,158.25,161,157.75,159.5,887,12614000
BALRAMCHIN-II,20171005,159.95,161.1,159,159.2,21,560000
BALRAMCHIN-III,20171005,0,0,0,159.6,0,56000
BANKBARODA-I,20171005,138.8,140.65,137.6,140,5315,58054500
BANKBARODA-II,20171005,139.5,141.2,138.35,140.8,69,423500
BANKBARODA-III,20171005,0,0,0,139.4,0,7000
BANKINDIA-I,20171005,138.5,141.6,137.7,140,2131,17418000
BANKINDIA-II,20171005,139.65,141.9,138.4,140.6,34,204000
BANKINDIA-III,20171005,139.45,139.45,139.45,139.45,1,12000
BATAINDIA-I,20171005,734.05,735.65,722.85,727.4,1660,2074600
BATAINDIA-II,20171005,732.9,732.9,727.5,730,6,31900
BATAINDIA-III,20171005,0,0,0,736.3,0,14300
BEL-I,20171005,165.45,166.15,164.2,164.6,892,14944050
BEL-II,20171005,165.5,165.5,165.5,165.5,1,133650
BEL-III,20171005,0,0,0,166.15,0,0
BEML-I,20171005,1701.2,1755.95,1686,1730.15,10194,2726400
BEML-II,20171005,1715.5,1762.5,1713.75,1738.9,95,34200
BEML-III,20171005,0,0,0,1669.4,0,0
BERGEPAINT-I,20171005,254.8,259.35,254.8,256.4,692,1645600
BERGEPAINT-II,20171005,257.65,257.95,257.55,257.95,5,26400
BERGEPAINT-III,20171005,258.45,259.9,258.45,259.9,7,6600
BHARATFIN-I,20171005,955.95,975.7,947.25,972.35,6753,13089000
BHARATFIN-II,20171005,955.5,979.5,952,976.35,50,84000
BHARATFIN-III,20171005,0,0,0,955.3,0,5000
BHARATFORG-I,20171005,631.65,639,625.8,632.45,2415,7190400
BHARATFORG-II,20171005,636,642.2,629.8,636.1,23,48000
BHARATFORG-III,20171005,0,0,0,608.65,0,0
BHARTIARTL-I,20171005,378.05,382.3,374.55,378.9,2040,25265400
BHARTIARTL-II,20171005,377.1,383.85,377.1,380.15,51,159800
BHARTIARTL-III,20171005,0,0,0,388.1,0,0
BHEL-I,20171005,83.65,84.2,83.4,83.9,969,50220000
BHEL-II,20171005,84.35,84.6,84,84.6,6,982500
BHEL-III,20171005,84.6,84.6,84.6,84.6,1,22500
BIOCON-I,20171005,341.5,349.65,338.2,345.5,1956,8962200
BIOCON-II,20171005,346.95,350.65,340.5,347.55,45,194400
BIOCON-III,20171005,0,0,0,335.6,0,0
BOSCHLTD-I,20171005,20723,20949,20676.95,20788.4,508,113000
BOSCHLTD-II,20171005,20987.05,21001.55,20953,21001.55,6,250
BOSCHLTD-III,20171005,0,0,0,21009.35,0,0
BPCL-I,20171005,484,485.45,474.3,480.45,3351,14490000
BPCL-II,20171005,486.8,486.8,477.4,482.4,50,151200
BPCL-III,20171005,0,0,0,470.2,0,0
BRITANNIA-I,20171005,4359.1,4394.4,4359,4385.7,522,576000
BRITANNIA-II,20171005,4403.3,4403.3,4402.4,4402.4,2,1800
BRITANNIA-III,20171005,0,0,0,4408.3,0,0
CADILAHC-I,20171005,499.5,507,496.05,501.25,2170,3281600
CADILAHC-II,20171005,503.95,508.85,503.05,503.05,9,44800
CADILAHC-III,20171005,0,0,0,475.05,0,0
CANBK-I,20171005,309.7,312.8,307.6,311.55,3695,11996760
CANBK-II,20171005,310.25,313.5,309,312.7,43,160368
CANBK-III,20171005,0,0,0,312.05,0,9252
CANFINHOME-I,20171005,2655,2669,2620,2628.8,488,677000
CANFINHOME-II,20171005,0,0,0,2681.7,0,3750
CANFINHOME-III,20171005,0,0,0,2674.55,0,0
CAPF-I,20171005,746.8,754.2,743.1,746,828,3058400
CAPF-II,20171005,749,756.2,748.5,749.15,12,16000
CAPF-III,20171005,0,0,0,731.15,0,0
CASTROLIND-I,20171005,360.25,360.95,355.05,356.8,570,10176600
CASTROLIND-II,20171005,362.15,362.15,360.8,360.8,3,22400
CASTROLIND-III,20171005,362.4,363.1,362.4,363.1,2,8400
CEATLTD-I,20171005,1708.9,1736,1707.8,1725.9,1678,1563100
CEATLTD-II,20171005,1736.95,1737,1723.6,1730.7,13,10500
CEATLTD-III,20171005,0,0,0,1719.25,0,0
CENTURYTEX-I,20171005,1248.7,1290,1243,1281.3,7080,7316650
CENTURYTEX-II,20171005,1255.95,1293.95,1254.05,1293.95,20,26950
CENTURYTEX-III,20171005,0,0,0,1240.95,0,3300
CESC-I,20171005,1003.75,1013,995,1007.75,1715,5150200
CESC-II,20171005,1006.45,1016.95,1001,1011.35,30,24200
CESC-III,20171005,0,0,0,1014.5,0,6600
CGPOWER-I,20171005,79.15,82,78.65,80.85,762,26448000
CGPOWER-II,20171005,80.35,80.45,80.35,80.45,2,144000
CGPOWER-III,20171005,0,0,0,77.95,0,0
CHENNPETRO-I,20171005,405,408.6,402.9,405.45,258,2463000
CHENNPETRO-II,20171005,409.75,409.75,409.75,409.75,1,18000
CHENNPETRO-III,20171005,0,0,0,397.3,0,0
CHOLAFIN-I,20171005,1103.95,1113.2,1087.4,1095.35,319,430500
CHOLAFIN-II,20171005,0,0,0,1181.2,0,0
CHOLAFIN-III,20171005,0,0,0,1101.35,0,0
CIPLA-I,20171005,581.2,591.9,581.2,586.85,1350,7681000
CIPLA-II,20171005,593.6,593.6,589.3,592.75,80,138000
CIPLA-III,20171005,0,0,0,591.9,0,0
COALINDIA-I,20171005,269.9,273.6,269.5,273.05,2255,21328200
COALINDIA-II,20171005,270.9,274.45,270.9,273.95,65,385900
COALINDIA-III,20171005,0,0,0,272.8,0,20400
COLPAL-I,20171005,1075.95,1097.4,1072.85,1086.5,858,1472800
COLPAL-II,20171005,1091.35,1091.35,1091.3,1091.3,3,4900
COLPAL-III,20171005,0,0,0,1093,0,0
CONCOR-I,20171005,1338.8,1352.95,1319.95,1326.9,651,1384375
