BANKNIFTY-I,20180306,24990,25085,24412,24504.15,121148,1851680
BANKNIFTY-II,20180306,25072.2,25150,24481.1,24605.35,2749,73160
BANKNIFTY-III,20180306,25187.15,25195.7,24515.05,24605.95,102,37240
FTSE100-I,20180306,0,0,0,7912,0,0
FTSE100-II,20180306,0,0,0,7832,0,0
FTSE100-III,20180306,0,0,0,7364,0,0
FTSE100-IIII,20180306,0,0,0,7982,0,0
FTSE100-IIIII,20180306,0,0,0,7867,0,0
FTSE100-IIIIII,20180306,0,0,0,7947,0,0
NIFTY-I,20180306,10404.15,10437,10223,10248.55,186130,24275625
NIFTY-II,20180306,10435.35,10469,10256,10281.55,9065,1277850
NIFTY-III,20180306,10470,10499,10285,10310.4,3407,600075
NIFTYCPSE-I,20180306,0,0,0,2729.2,0,0
NIFTYCPSE-II,20180306,0,0,0,2827.05,0,0
NIFTYCPSE-III,20180306,0,0,0,2627.4,0,0
NIFTYINFRA-I,20180306,0,0,0,3662.6,0,0
NIFTYINFRA-II,20180306,0,0,0,3716.6,0,0
NIFTYINFRA-III,20180306,0,0,0,3441.1,0,0
NIFTYIT-I,20180306,12957,12957,12662,12714,405,40900
NIFTYIT-II,20180306,0,0,0,13018,0,100
NIFTYIT-III,20180306,0,0,0,12980,0,0
NIFTYMID50-I,20180306,0,0,0,5588,0,513600
NIFTYMID50-II,20180306,0,0,0,5562.4,0,0
NIFTYMID50-III,20180306,0,0,0,5152,0,0
NIFTYPSE-I,20180306,0,0,0,4378.2,0,0
NIFTYPSE-II,20180306,0,0,0,4380.6,0,0
NIFTYPSE-III,20180306,0,0,0,4077.45,0,0
ACC-I,20180306,1618,1618,1585.1,1589.7,1676,1270800
ACC-II,20180306,1609.6,1609.6,1597.95,1603.45,16,75200
ACC-III,20180306,0,0,0,1664.35,0,0
ADANIENT-I,20180306,203.05,204,175.3,186.9,7485,16428000
ADANIENT-II,20180306,203.9,204.05,182.25,188.15,214,376000
ADANIENT-III,20180306,200,203.7,197.3,195.75,93,200000
ADANIPORTS-I,20180306,407.5,414.5,395.7,401.75,4270,11997500
ADANIPORTS-II,20180306,409.9,415.4,396.3,404.75,46,122500
ADANIPORTS-III,20180306,0,0,0,411.95,0,0
ADANIPOWER-I,20180306,30.9,31.55,28.8,29.5,1848,101380000
ADANIPOWER-II,20180306,31.25,31.5,29.25,29.9,34,1440000
ADANIPOWER-III,20180306,31.25,31.25,31.25,31.25,1,20000
AJANTPHARM-I,20180306,1362,1377,1323.75,1335,437,676000
AJANTPHARM-II,20180306,1356.7,1356.7,1356.7,1356.7,1,4000
AJANTPHARM-III,20180306,0,0,0,1376.8,0,0
ALBK-I,20180306,50.9,51.45,48.3,48.9,986,17290000
ALBK-II,20180306,51,51,48.65,49.3,33,1230000
ALBK-III,20180306,0,0,0,50.85,0,10000
AMARAJABAT-I,20180306,805.5,813.75,792.15,798.4,766,1290100
AMARAJABAT-II,20180306,813.95,814,800,800.5,6,12600
AMARAJABAT-III,20180306,0,0,0,821,0,1400
AMBUJACEM-I,20180306,248.95,249.7,240.85,241.65,2301,12735000
AMBUJACEM-II,20180306,246.9,246.9,243.35,243.9,17,175000
AMBUJACEM-III,20180306,0,0,0,261.95,0,0
ANDHRABANK-I,20180306,44.85,45.05,42.35,42.85,1189,24420000
ANDHRABANK-II,20180306,45,45,42.65,43.1,27,1130000
ANDHRABANK-III,20180306,0,0,0,46.6,0,10000
APOLLOHOSP-I,20180306,1175.5,1178.75,1138.55,1148.95,752,912000
APOLLOHOSP-II,20180306,1164.1,1164.1,1149.1,1149.1,4,4500
APOLLOHOSP-III,20180306,0,0,0,1270.9,0,0
APOLLOTYRE-I,20180306,261.8,263.75,255.55,258.15,3270,12438000
APOLLOTYRE-II,20180306,263.5,263.5,257,258.6,24,276000
APOLLOTYRE-III,20180306,0,0,0,263.6,0,123000
