BANKNIFTY-I,20171208,25242.35,25389.85,25232.35,25364.5,63367,1920080
BANKNIFTY-II,20171208,25320,25451.4,25314.1,25437,1241,52360
BANKNIFTY-III,20171208,25350,25504,25350,25485.2,55,5240
FTSE100-I,20171208,0,0,0,7457,0,0
FTSE100-II,20171208,0,0,0,7652,0,0
FTSE100-III,20171208,0,0,0,7503,0,0
FTSE100-IIII,20171208,0,0,0,7912,0,0
FTSE100-IIIII,20171208,0,0,0,7982,0,0
FTSE100-IIIIII,20171208,0,0,0,7867,0,0
NIFTY-I,20171208,10220.5,10297.95,10211.25,10291.65,115116,20866800
NIFTY-II,20171208,10250,10330.95,10250,10323.7,3652,704175
NIFTY-III,20171208,10280,10360,10280,10352.15,585,94575
NIFTYCPSE-I,20171208,0,0,0,2531.5,0,0
NIFTYCPSE-II,20171208,0,0,0,2752.3,0,0
NIFTYCPSE-III,20171208,0,0,0,2661.05,0,0
NIFTYINFRA-I,20171208,0,0,0,3261.55,0,0
NIFTYINFRA-II,20171208,0,0,0,3636.75,0,0
NIFTYINFRA-III,20171208,0,0,0,3569.3,0,0
NIFTYIT-I,20171208,11183,11243,11164,11173,60,26900
NIFTYIT-II,20171208,0,0,0,11126,0,550
NIFTYIT-III,20171208,0,0,0,11280,0,0
NIFTYMID50-I,20171208,5165.9,5228.8,5165.9,5228.8,2568,513600
NIFTYMID50-II,20171208,0,0,0,5134.25,0,0
NIFTYMID50-III,20171208,0,0,0,5289.3,0,0
NIFTYPSE-I,20171208,0,0,0,4060.8,0,0
NIFTYPSE-II,20171208,0,0,0,4478.55,0,0
NIFTYPSE-III,20171208,0,0,0,4297,0,0
ACC-I,20171208,1712,1757.8,1708,1751.4,2932,1650400
ACC-II,20171208,1724,1757.25,1724,1753,30,34400
ACC-III,20171208,0,0,0,1694.7,0,800
ADANIENT-I,20171208,149.8,153.5,149.15,152.2,4920,29052000
ADANIENT-II,20171208,151.75,153,150.3,152.55,49,212000
ADANIENT-III,20171208,0,0,0,148.8,0,0
ADANIPORTS-I,20171208,393,398.35,392.45,394.65,1863,10815000
ADANIPORTS-II,20171208,399.65,399.7,395.8,396.75,17,112500
ADANIPORTS-III,20171208,0,0,0,403.9,0,0
ADANIPOWER-I,20171208,35.25,35.6,34.8,35.1,1530,114780000
ADANIPOWER-II,20171208,35.3,35.6,35,35,12,720000
ADANIPOWER-III,20171208,0,0,0,36.05,0,0
AJANTPHARM-I,20171208,1345.2,1458.8,1331.5,1448.25,5009,779600
AJANTPHARM-II,20171208,1402.35,1458.75,1402.35,1452.55,17,6000
AJANTPHARM-III,20171208,0,0,0,1390.4,0,0
ALBK-I,20171208,75.25,75.65,74.5,75,586,13920000
ALBK-II,20171208,75.45,75.7,75.45,75.5,3,400000
ALBK-III,20171208,0,0,0,77.7,0,0
AMARAJABAT-I,20171208,777.35,782.35,774.25,777.35,1337,2187000
AMARAJABAT-II,20171208,781.25,786.1,780.55,784.6,6,10500
AMARAJABAT-III,20171208,0,0,0,810.8,0,0
AMBUJACEM-I,20171208,266.2,270.1,264.25,268.9,1685,11247500
AMBUJACEM-II,20171208,266,270.95,266,269.95,15,117500
AMBUJACEM-III,20171208,268.9,268.9,268.9,268.9,1,12500
ANDHRABANK-I,20171208,61.95,61.95,61.1,61.55,544,20710000
ANDHRABANK-II,20171208,62,62,61.95,61.95,2,530000
ANDHRABANK-III,20171208,0,0,0,63.65,0,0
APOLLOHOSP-I,20171208,1172,1189.15,1172,1186.7,955,1649000
APOLLOHOSP-II,20171208,1174.85,1185,1173.85,1184.4,10,8500
APOLLOHOSP-III,20171208,0,0,0,1145.25,0,2000
APOLLOTYRE-I,20171208,246,250.4,245.25,249.35,2747,10239000
APOLLOTYRE-II,20171208,247.65,251.2,247,251,28,195000
APOLLOTYRE-III,20171208,0,0,0,243.25,0,6000
ARVIND-I,20171208,432.35,437.05,428.55,433.15,1925,5766000
ARVIND-II,20171208,437.95,438,433.5,435.5,6,88000
ARVIND-III,20171208,437,437,437,437,1,2000
ASHOKLEY-I,20171208,118.25,119.7,117.6,118.8,4093,67774000
ASHOKLEY-II,20171208,119.75,120.25,118.95,119.45,64,1400000
ASHOKLEY-III,20171208,119.95,120.3,119.95,120.3,4,35000
ASIANPAINT-I,20171208,1147.8,1155.85,1134.5,1141.9,2451,3445800
ASIANPAINT-II,20171208,1148,1156.35,1140.7,1145.25,43,60000
ASIANPAINT-III,20171208,0,0,0,1163.75,0,0
AUROPHARMA-I,20171208,675.5,680.4,671.3,675.25,3838,21228000
AUROPHARMA-II,20171208,678.15,683.75,675.4,678.4,80,254400
AUROPHARMA-III,20171208,0,0,0,703.1,0,0
AXISBANK-I,20171208,540,546.4,539.05,544.2,8356,44202000
AXISBANK-II,20171208,542.4,548.2,542.4,546.55,125,3781200
AXISBANK-III,20171208,549,550.45,549,549.75,2,3600
BAJAJ-AUTO-I,20171208,3242.65,3247,3213,3218.95,2146,1934000
BAJAJ-AUTO-II,20171208,3243.05,3252.9,3227,3233.9,28,19000
BAJAJ-AUTO-III,20171208,0,0,0,3354.4,0,0
BAJAJFINSV-I,20171208,5121.95,5162,5102.6,5130.75,1224,744125
BAJAJFINSV-II,20171208,0,0,0,5024.95,0,2750
BAJAJFINSV-III,20171208,0,0,0,5291.25,0,0
BAJFINANCE-I,20171208,1694.05,1716,1690,1707.85,4575,6191500
BAJFINANCE-II,20171208,1704.85,1719.05,1704.85,1714,46,38000
BAJFINANCE-III,20171208,0,0,0,1752.1,0,1000
BALKRISIND-I,20171208,2252.05,2417.95,2238.9,2388.65,6019,505600
BALKRISIND-II,20171208,2284.85,2400,2284,2389.65,92,28400
BALKRISIND-III,20171208,2308.4,2344.05,2306.65,2344.05,4,1600
BALRAMCHIN-I,20171208,153.65,155.35,152.5,154.15,1003,16978500
BALRAMCHIN-II,20171208,154.2,155.55,153.45,155.15,18,364000
BALRAMCHIN-III,20171208,0,0,0,156,0,21000
BANKBARODA-I,20171208,169.3,170.8,167.8,168.4,5110,48877500
BANKBARODA-II,20171208,169.3,171.1,168.85,169.5,46,404000
BANKBARODA-III,20171208,0,0,0,169.55,0,8000
BANKINDIA-I,20171208,189.25,189.25,184.95,186,1663,13680000
BANKINDIA-II,20171208,188.15,188.5,185.5,185.5,6,228000
BANKINDIA-III,20171208,0,0,0,185,0,18000
BATAINDIA-I,20171208,733,747.55,733,738.95,2011,1974500
BATAINDIA-II,20171208,740.75,750,740,740,16,49500
BATAINDIA-III,20171208,0,0,0,745.15,0,0
BEL-I,20171208,184.85,185.9,184.2,185.15,752,17344800
BEL-II,20171208,186,186.45,185.1,186,17,217800
BEL-III,20171208,0,0,0,181,0,4950
BEML-I,20171208,1591.75,1608.9,1588.25,1599.55,3623,2030700
BEML-II,20171208,1602,1613.65,1599.75,1609.75,28,16500
BEML-III,20171208,0,0,0,1576,0,300
BERGEPAINT-I,20171208,253.4,255.95,251.65,253.2,259,1663200
BERGEPAINT-II,20171208,0,0,0,250.55,0,19800
BERGEPAINT-III,20171208,0,0,0,262.4,0,0
BHARATFIN-I,20171208,996.15,1012,994.7,1004.45,2365,10542000
BHARATFIN-II,20171208,1001.2,1016,1001.2,1008.6,44,53000
BHARATFIN-III,20171208,0,0,0,994.9,0,0
BHARATFORG-I,20171208,707.1,713.8,705.35,710.85,1951,6932400
BHARATFORG-II,20171208,709.85,716,709.85,713.4,12,121200
BHARATFORG-III,20171208,714,714,714,714,1,6000
BHARTIARTL-I,20171208,516.55,531.6,516.25,525.8,11566,32376500
BHARTIARTL-II,20171208,522.8,534,522,528.4,141,375700
BHARTIARTL-III,20171208,0,0,0,496.7,0,2466700
BHEL-I,20171208,92.95,94.4,92.35,92.7,2934,51337500
BHEL-II,20171208,93.7,94.75,92.8,92.95,26,772500
BHEL-III,20171208,0,0,0,92.3,0,45000
BIOCON-I,20171208,522.5,523.35,516.05,521.05,2936,11469600
BIOCON-II,20171208,520.2,521.6,517,520.8,58,666000
BIOCON-III,20171208,520,520,517.5,517.5,2,7200
BOSCHLTD-I,20171208,19888.35,19972.45,19599.3,19650.8,1121,129200
BOSCHLTD-II,20171208,20034.75,20034.8,19707.9,19717.6,12,850
BOSCHLTD-III,20171208,0,0,0,19400,0,25
BPCL-I,20171208,498.9,515.35,498.15,514.55,3551,11257200
BPCL-II,20171208,499,514.5,499,514,39,120600
BPCL-III,20171208,0,0,0,496.5,0,45000
BRITANNIA-I,20171208,4971.4,4987.45,4860,4877.7,1129,1202000
BRITANNIA-II,20171208,4935,4935,4905,4905,4,1000
BRITANNIA-III,20171208,0,0,0,4886.85,0,0
CADILAHC-I,20171208,418.2,423.65,415.7,419.45,1559,6188800
CADILAHC-II,20171208,420.1,422.6,420.1,421.45,10,64000
CADILAHC-III,20171208,0,0,0,435.1,0,0
CANBK-I,20171208,369.75,370.7,365.2,367.35,2538,11965920
CANBK-II,20171208,370.2,371,367.5,368.2,21,81600
CANBK-III,20171208,0,0,0,378.4,0,0
CANFINHOME-I,20171208,488,491.95,481.5,483.6,1005,4607500
CANFINHOME-II,20171208,492.65,494.65,485.85,486,14,76250
CANFINHOME-III,20171208,0,0,0,490.7,0,0
CAPF-I,20171208,696.2,702.8,692.4,695.25,933,4076000
CAPF-II,20171208,706.2,706.2,698,698,33,39200
CAPF-III,20171208,0,0,0,712.15,0,0
CASTROLIND-I,20171208,395.6,400.6,395.3,398.5,876,11110400
CASTROLIND-II,20171208,397,401,397,399.2,7,82600
CASTROLIND-III,20171208,0,0,0,405.65,0,0
CEATLTD-I,20171208,1736.6,1762.7,1730,1751.05,3518,1369550
CEATLTD-II,20171208,1754.95,1770,1750.5,1762.35,15,14700
CEATLTD-III,20171208,0,0,0,1810.5,0,0
CENTURYTEX-I,20171208,1297.45,1330.9,1297.45,1327.95,4930,7575700
CENTURYTEX-II,20171208,1310,1330,1310,1330,6,15950
CENTURYTEX-III,20171208,0,0,0,1331.3,0,0
CESC-I,20171208,999.1,1023.8,992.95,1014.05,2506,5004450
CESC-II,20171208,1021,1023,1018.9,1019.55,7,60500
CESC-III,20171208,1016.05,1017.85,1016.05,1017.85,4,2200
CGPOWER-I,20171208,85.25,87,84.65,86.55,760,28020000
CGPOWER-II,20171208,86.15,86.7,86,86.7,6,252000
CGPOWER-III,20171208,86.25,86.25,86.25,86.25,1,72000
CHENNPETRO-I,20171208,409.05,416,406.25,412.45,905,2599500
CHENNPETRO-II,20171208,411,415.6,411,415.6,4,25500
CHENNPETRO-III,20171208,0,0,0,431.3,0,0
CHOLAFIN-I,20171208,1301.3,1309.3,1295.2,1303.35,383,474500
CHOLAFIN-II,20171208,0,0,0,1290,0,1500
CHOLAFIN-III,20171208,0,0,0,1297.7,0,0
CIPLA-I,20171208,597.25,608.5,594.3,604.95,1749,7871000
CIPLA-II,20171208,600.95,610.4,600,605.2,16,65000
CIPLA-III,20171208,0,0,0,609.8,0,0
COALINDIA-I,20171208,263.6,265.55,262.2,265.05,1717,21207500
COALINDIA-II,20171208,264.15,265.1,262.15,264.75,71,987800
COALINDIA-III,20171208,260,261.25,260,261.25,12,110000
COLPAL-I,20171208,1062,1074.75,1048.4,1071.55,1159,1218000
COLPAL-II,20171208,0,0,0,1053.2,0,9800
COLPAL-III,20171208,0,0,0,1052,0,0
CONCOR-I,20171208,1307.7,1312.4,1297.5,1305.25,344,1181875
CONCOR-II,20171208,0,0,0,1316,0,5000
CONCOR-III,20171208,0,0,0,1327.35,0,0
CUMMINSIND-I,20171208,871.25,877.1,860.4,863.35,665,742800
CUMMINSIND-II,20171208,875.3,875.3,875.3,875.3,1,600
CUMMINSIND-III,20171208,0,0,0,880.5,0,0
DABUR-I,20171208,348.75,354.1,348.75,352.95,1344,10595000
DABUR-II,20171208,352,355.05,352,354.25,11,30000
DABUR-III,20171208,0,0,0,349.4,0,0
DALMIABHA-I,20171208,3085,3122,3082.7,3115.05,462,699900
DALMIABHA-II,20171208,0,0,0,3384,0,900
DALMIABHA-III,20171208,0,0,0,3199.95,0,0
DCBBANK-I,20171208,187.5,189.4,185.5,188.85,528,5283000
DCBBANK-II,20171208,188,190.3,186.45,190.05,6,72000
DCBBANK-III,20171208,0,0,0,188.1,0,0
DHFL-I,20171208,609.35,613.25,598.25,602.5,5104,29628000
DHFL-II,20171208,614.1,616,602.75,606.4,46,379500
DHFL-III,20171208,0,0,0,625.7,0,0
DISHTV-I,20171208,83.35,84.15,81.75,83.05,1434,29407000
DISHTV-II,20171208,84.05,84.15,82.35,83.55,26,287000
DISHTV-III,20171208,0,0,0,82.8,0,0
DIVISLAB-I,20171208,1028.7,1064,1022.85,1055.75,3084,3629600
DIVISLAB-II,20171208,1030,1068,1030,1064.4,22,40000
DIVISLAB-III,20171208,0,0,0,1056.4,0,0
DLF-I,20171208,241.6,242.65,238.9,239.7,7836,46140000
DLF-II,20171208,240.55,243.3,240.4,241,53,735000
DLF-III,20171208,244.4,244.4,244.4,244.4,1,20000
DRREDDY-I,20171208,2211.3,2214.4,2190.55,2198.35,2829,4324600
DRREDDY-II,20171208,2215,2217.4,2208,2209.6,93,76000
DRREDDY-III,20171208,0,0,0,2224.55,0,500
EICHERMOT-I,20171208,28801.2,29385,28672.65,29114.85,2312,200475
EICHERMOT-II,20171208,28820,29494.95,28820,29271.7,54,2450
