BANKNIFTY-I,20180914,27202,27290,27063.2,27238.65,72660,1497760
BANKNIFTY-II,20180914,27295,27385,27175,27343,1887,92680
BANKNIFTY-III,20180914,27350,27444.75,27250,27408.2,218,7960
FTSE100-I,20180914,0,0,0,7867,0,0
FTSE100-II,20180914,0,0,0,7817,0,0
FTSE100-III,20180914,0,0,0,7639,0,0
FTSE100-IIII,20180914,0,0,0,7947,0,0
FTSE100-IIIII,20180914,0,0,0,7674,0,0
FTSE100-IIIIII,20180914,0,0,0,8315,0,0
NIFTY-I,20180914,11482.5,11559,11466,11547.3,117420,26679750
NIFTY-II,20180914,11531,11597,11507,11584.8,5443,1143075
NIFTY-III,20180914,11619.85,11649.6,11554.9,11634.8,1012,239475
NIFTYCPSE-I,20180914,0,0,0,2187.4,0,0
NIFTYCPSE-II,20180914,0,0,0,2315.55,0,0
NIFTYCPSE-III,20180914,0,0,0,2419.25,0,0
NIFTYINFRA-I,20180914,0,0,0,3108.75,0,0
NIFTYINFRA-II,20180914,0,0,0,3177.55,0,0
NIFTYINFRA-III,20180914,0,0,0,3312.7,0,0
NIFTYIT-I,20180914,16106,16151,15900,16126,539,37450
NIFTYIT-II,20180914,16039,16488,16039,16488,14,1250
NIFTYIT-III,20180914,0,0,0,15819,0,0
NIFTYMID50-I,20180914,5051,5212,5051,5148.05,4,675950
NIFTYMID50-II,20180914,0,0,0,5023.7,0,0
NIFTYMID50-III,20180914,0,0,0,5429.75,0,0
NIFTYPSE-I,20180914,0,0,0,3501.05,0,0
NIFTYPSE-II,20180914,0,0,0,3599.05,0,0
NIFTYPSE-III,20180914,0,0,0,3770.4,0,0
ACC-I,20180914,1571.95,1621.55,1569.55,1605.5,4455,1724400
ACC-II,20180914,1590,1620,1590,1611.1,25,18800
ACC-III,20180914,0,0,0,1556.05,0,800
ADANIENT-I,20180914,150.5,153.7,149.15,151.35,1557,19324000
ADANIENT-II,20180914,152.55,154.5,151.55,152.05,26,6112000
ADANIENT-III,20180914,0,0,0,152.05,0,16920000
ADANIPORTS-I,20180914,379.2,387.8,378.2,382.7,3486,9630000
ADANIPORTS-II,20180914,384,390,380,384.6,118,322500
ADANIPORTS-III,20180914,386.3,386.3,386.3,386.3,1,12500
ADANIPOWER-I,20180914,30.8,31.5,30.2,31.3,807,155940000
ADANIPOWER-II,20180914,31.15,31.7,30.9,31.55,27,1280000
ADANIPOWER-III,20180914,0,0,0,29.8,0,140000
AJANTPHARM-I,20180914,1206.45,1228,1201.25,1220.25,1343,861000
AJANTPHARM-II,20180914,1220.3,1229.85,1211.5,1225.8,16,14500
AJANTPHARM-III,20180914,0,0,0,1291.15,0,1000
ALBK-I,20180914,40.9,41,40.05,40.8,654,16236000
ALBK-II,20180914,40.85,40.95,40.35,40.9,37,990000
ALBK-III,20180914,0,0,0,39.55,0,22000
AMARAJABAT-I,20180914,825,832,801.1,805,1877,1135400
AMARAJABAT-II,20180914,825,836.95,805.55,809.5,43,33600
AMARAJABAT-III,20180914,815.75,815.75,815.75,815.75,1,700
AMBUJACEM-I,20180914,229.5,233.5,227.65,231.05,2295,12510000
AMBUJACEM-II,20180914,230.85,234,228.95,232.65,21,150000
AMBUJACEM-III,20180914,230.95,230.95,230.95,230.95,1,7500
ANDHRABANK-I,20180914,31.5,32.1,31.2,31.95,502,16666000
APOLLOHOSP-I,20180914,1118,1129.15,1111.05,1122.2,1772,1440000
APOLLOHOSP-II,20180914,1117.6,1127.55,1117.6,1123.1,34,59500
APOLLOHOSP-III,20180914,0,0,0,1145.55,0,1500
APOLLOTYRE-I,20180914,234.8,243.3,233.65,242.45,3992,15480000
APOLLOTYRE-II,20180914,237.7,244.3,235.2,243.65,157,408000
APOLLOTYRE-III,20180914,239.2,244,239.05,244,5,33000
ARVIND-I,20180914,392.1,395.1,389.25,393.15,2173,9892000
ARVIND-II,20180914,398.7,398.7,391.5,394.8,80,300000
ARVIND-III,20180914,0,0,0,396,0,22000
ASHOKLEY-I,20180914,129.65,133.8,129.6,132,7995,62324000
ASHOKLEY-II,20180914,131.3,134.3,131.1,132.5,478,2432000
ASHOKLEY-III,20180914,131.4,135,131.4,132.9,14,136000
ASIANPAINT-I,20180914,1299.75,1336.9,1299.3,1334.1,4119,6148200
ASIANPAINT-II,20180914,1261.45,1342.45,1261.45,1341.35,184,90600
ASIANPAINT-III,20180914,1334.5,1338.4,1334.5,1338.4,2,4200
AUROPHARMA-I,20180914,785,814.45,782,803.7,16782,23776000
AUROPHARMA-II,20180914,796.1,818.3,786.8,808.35,611,570000
AUROPHARMA-III,20180914,816,816,816,816,1,16000
AXISBANK-I,20180914,642.65,646.4,634.3,639.65,13703,41684400
AXISBANK-II,20180914,647.05,648,638.15,643.2,898,5326800
AXISBANK-III,20180914,650.15,650.15,641.5,645.65,18,58800
BAJAJ-AUTO-I,20180914,2887.85,2921.95,2875.4,2890.6,3208,3005750
BAJAJ-AUTO-II,20180914,2918.35,2933.85,2888,2903.6,88,46000
BAJAJ-AUTO-III,20180914,2943.9,2943.9,2917.45,2917.45,2,2250
BAJAJFINSV-I,20180914,6475,6800,6475,6729.9,3956,798375
BAJAJFINSV-II,20180914,6518,6825,6510.6,6748.8,74,17750
BAJAJFINSV-III,20180914,6680,6680,6680,6680,1,125
BAJFINANCE-I,20180914,2645,2688,2634.4,2679.55,14030,7396000
BAJFINANCE-II,20180914,2660,2702.5,2650,2694.7,384,234000
BAJFINANCE-III,20180914,2669.65,2710.95,2669.65,2709.75,12,8000
BALKRISIND-I,20180914,1173,1193,1152.9,1168.25,3523,2898400
BALKRISIND-II,20180914,1194,1194,1161,1176.1,52,52000
BALKRISIND-III,20180914,1199.5,1199.5,1175.55,1175.55,3,3200
BALRAMCHIN-I,20180914,79.5,92.7,78.75,89.3,13773,16996000
BANKBARODA-I,20180914,135.8,137.4,134.45,135.1,9561,65764000
BANKBARODA-II,20180914,136.5,137.75,135.25,135.9,504,3284000
BANKBARODA-III,20180914,135.7,138.2,135.7,136.6,8,88000
BANKINDIA-I,20180914,92.2,94.35,92.2,93.7,2051,22122000
BANKINDIA-II,20180914,93.6,94.7,93.45,94.15,34,1560000
BANKINDIA-III,20180914,93.9,94.05,93.9,93.95,5,66000
BATAINDIA-I,20180914,1046.1,1067.65,1040,1045.5,4441,1783100
BATAINDIA-II,20180914,1052,1070,1045,1046.95,48,40700
BATAINDIA-III,20180914,0,0,0,1040,0,1100
BEL-I,20180914,88.7,89.85,88.4,89.2,1815,44183700
BEL-II,20180914,89.45,90.25,89,89.7,145,2658150
BEL-III,20180914,90,90,89.7,90,5,242550
BEML-I,20180914,754.15,767.15,747.85,760.55,2433,2207500
BEML-II,20180914,760,769.85,753.95,763.05,74,75000
BEML-III,20180914,770,770,754.65,754.65,3,2500
BERGEPAINT-I,20180914,307.85,313.85,305.55,312.55,667,1999800
BERGEPAINT-II,20180914,308,312.4,304.55,312,11,41800
BERGEPAINT-III,20180914,0,0,0,309,0,6600
BHARATFIN-I,20180914,1128.65,1155.25,1128.4,1148.6,4263,4578000
BHARATFIN-II,20180914,1143.15,1159.55,1139.45,1158,18,29500
BHARATFIN-III,20180914,0,0,0,1143.05,0,1500
BHARATFORG-I,20180914,668.1,675.9,660,671.9,3105,8916000
BHARATFORG-II,20180914,667.1,678.95,663.1,674.85,66,157200
BHARATFORG-III,20180914,674.65,674.65,667.8,674.2,3,3600
BHARTIARTL-I,20180914,379,389.65,374.2,385.95,5259,49959600
BHARTIARTL-II,20180914,379.05,390.85,376.5,388.1,191,946900
BHARTIARTL-III,20180914,387.8,387.8,387.8,387.8,1,39100
BHEL-I,20180914,75.9,78.3,75.8,77.2,3505,39300000
BHEL-II,20180914,76.85,78.6,76.5,77.6,78,1612500
BHEL-III,20180914,77.4,78.6,77.4,78.55,5,105000
BIOCON-I,20180914,645.3,666,643,664.35,5133,7610400
BIOCON-II,20180914,651.35,669,651.35,668.55,86,296100
BIOCON-III,20180914,666,666,666,666,1,5400
BOSCHLTD-I,20180914,21120.15,21380,20891.45,21177,1030,133230
BOSCHLTD-II,20180914,21433.75,21433.8,21171.85,21272.3,8,1020
BOSCHLTD-III,20180914,0,0,0,22414.75,0,0
BPCL-I,20180914,340.65,357,340,355.2,6970,11651400
BPCL-II,20180914,345.05,358.45,344.35,356.85,155,356400
BPCL-III,20180914,354.95,358.2,354.45,357.2,11,37800
BRITANNIA-I,20180914,6089,6176.95,6015.5,6147.55,2683,1464000
BRITANNIA-II,20180914,6152.8,6202.15,6068,6182.85,102,25200
BRITANNIA-III,20180914,6173.7,6177.2,6173.7,6177.2,2,1800
CADILAHC-I,20180914,420.4,420.5,411.55,413.75,3367,13257600
CADILAHC-II,20180914,416.7,421.4,415,416.3,78,252800
CADILAHC-III,20180914,0,0,0,415.05,0,14400
CANBK-I,20180914,269.1,272.6,268.2,270.65,5468,10274000
CANBK-II,20180914,272.3,274.1,270.1,272.15,74,338000
CANBK-III,20180914,275,275,275,275,2,12000
CANFINHOME-I,20180914,307.4,314.4,305.65,311.7,1092,4128750
CANFINHOME-II,20180914,310.75,316.15,309.2,312.5,40,97500
CANFINHOME-III,20180914,0,0,0,319.65,0,3750
CAPF-I,20180914,592.55,612,592.55,608.4,1220,5475200
CAPF-II,20180914,606.3,615.3,602.75,613.2,21,68000
CAPF-III,20180914,0,0,0,667.5,0,0
CASTROLIND-I,20180914,156,158.45,155.6,156.9,855,10561600
CASTROLIND-II,20180914,158.6,158.9,156.6,157.2,26,240800
CASTROLIND-III,20180914,0,0,0,153.6,0,22400
CEATLTD-I,20180914,1379.5,1401.65,1373.9,1395.5,2064,1139600
CEATLTD-II,20180914,1388.5,1406,1387.6,1404.2,19,18200
CEATLTD-III,20180914,0,0,0,1377.05,0,2100
CENTURYTEX-I,20180914,921.5,939.25,921.5,936.85,3069,6346450
CENTURYTEX-II,20180914,935,943,933.45,942.5,19,25850
CENTURYTEX-III,20180914,0,0,0,911.1,0,2750
CESC-I,20180914,987.95,998.6,981.6,993.65,2344,6179800
CESC-II,20180914,994,1003.3,991,993.6,18,47300
CESC-III,20180914,0,0,0,988.1,0,550
CGPOWER-I,20180914,55.3,55.7,54.8,55.15,316,39840000
CGPOWER-II,20180914,55.5,55.5,55.15,55.3,9,492000
CGPOWER-III,20180914,0,0,0,57,0,36000
CHENNPETRO-I,20180914,290.25,299,287.75,291.55,919,1270500
CHENNPETRO-II,20180914,293.2,298.4,293.2,294,9,49500
CHENNPETRO-III,20180914,0,0,0,317.4,0,0
CHOLAFIN-I,20180914,1328,1364.5,1317.85,1330.85,1659,930000
CHOLAFIN-II,20180914,1335.7,1370,1334.6,1336.95,26,23500
CHOLAFIN-III,20180914,0,0,0,1490,0,0
CIPLA-I,20180914,662,671.1,660.2,666.85,3294,10856000
