BANKNIFTY-I,20180215,25325,25613,25281.2,25419,104449,2238960
BANKNIFTY-II,20180215,25415.45,25679.5,25354.5,25492.3,4377,165800
BANKNIFTY-III,20180215,25447,25710,25419,25545.4,231,12040
FTSE100-I,20180215,0,0,0,7100,0,0
FTSE100-II,20180215,0,0,0,7912,0,0
FTSE100-III,20180215,0,0,0,7832,0,0
FTSE100-IIII,20180215,0,0,0,7982,0,0
FTSE100-IIIII,20180215,0,0,0,7867,0,0
FTSE100-IIIIII,20180215,0,0,0,7947,0,0
NIFTY-I,20180215,10534.65,10630.25,10505.25,10551.2,179299,23035125
NIFTY-II,20180215,10549.75,10651.75,10529,10575.85,13731,3936600
NIFTY-III,20180215,10559.95,10677.5,10559,10599.2,1235,212775
NIFTYCPSE-I,20180215,0,0,0,2661.05,0,0
NIFTYCPSE-II,20180215,0,0,0,2729.2,0,0
NIFTYCPSE-III,20180215,0,0,0,2827.05,0,0
NIFTYINFRA-I,20180215,0,0,0,3569.3,0,0
NIFTYINFRA-II,20180215,0,0,0,3662.6,0,0
NIFTYINFRA-III,20180215,0,0,0,3716.6,0,0
NIFTYIT-I,20180215,12457,12600,12451,12493,299,39000
NIFTYIT-II,20180215,12557,12600,12426,12600,4,200
NIFTYIT-III,20180215,0,0,0,12916,0,50
NIFTYMID50-I,20180215,5290,5318,5218,5218,3,514800
NIFTYMID50-II,20180215,0,0,0,5588,0,0
NIFTYMID50-III,20180215,0,0,0,5562.4,0,0
NIFTYPSE-I,20180215,0,0,0,4297,0,0
NIFTYPSE-II,20180215,0,0,0,4378.2,0,0
NIFTYPSE-III,20180215,0,0,0,4380.6,0,0
ACC-I,20180215,1631,1653.85,1616,1626.05,2893,1762800
ACC-II,20180215,1629.9,1651.55,1613.15,1621.7,483,202000
ACC-III,20180215,1635,1637,1635,1637,2,400
ADANIENT-I,20180215,220.65,222.9,210.9,215.25,4946,16248000
ADANIENT-II,20180215,222.65,223.6,212.2,216.3,233,772000
ADANIENT-III,20180215,0,0,0,201,0,8000
ADANIPORTS-I,20180215,422,423.7,409.6,412.2,3958,11360000
ADANIPORTS-II,20180215,425.15,425.45,412,414.2,206,482500
ADANIPORTS-III,20180215,0,0,0,415.2,0,2500
ADANIPOWER-I,20180215,33.75,33.75,32.4,33.15,930,105660000
ADANIPOWER-II,20180215,33.75,33.85,32.75,33.35,117,4980000
ADANIPOWER-III,20180215,0,0,0,33.75,0,240000
AJANTPHARM-I,20180215,1425.35,1429,1388.05,1410.95,664,785000
AJANTPHARM-II,20180215,1426.95,1426.95,1391.4,1413.6,31,43000
AJANTPHARM-III,20180215,0,0,0,1518.9,0,0
ALBK-I,20180215,54.4,56.45,53.25,54.85,3229,19040000
ALBK-II,20180215,54.9,56.6,53.55,55,374,2850000
ALBK-III,20180215,56.3,57.75,54,54,6,170000
AMARAJABAT-I,20180215,846,854.55,818,825.95,2160,1526700
AMARAJABAT-II,20180215,854.7,857.5,822.55,830.15,133,60900
AMARAJABAT-III,20180215,0,0,0,807.45,0,700
AMBUJACEM-I,20180215,253.5,258.25,252.2,254.25,1779,11737500
AMBUJACEM-II,20180215,253.65,258.25,252.35,254.3,203,997500
AMBUJACEM-III,20180215,0,0,0,259,0,2500
ANDHRABANK-I,20180215,46.6,48.05,46.2,47,1226,24410000
ANDHRABANK-II,20180215,46.9,48.25,46.6,47.3,133,2810000
ANDHRABANK-III,20180215,47.5,47.5,47.3,47.3,2,150000
APOLLOHOSP-I,20180215,1199.65,1216.3,1152.8,1210.15,2069,985500
APOLLOHOSP-II,20180215,1172,1209.15,1150,1200.7,142,26500
APOLLOHOSP-III,20180215,0,0,0,1153.15,0,0
APOLLOTYRE-I,20180215,275.45,279.75,271.15,273.55,3718,10902000
APOLLOTYRE-II,20180215,277.1,280.8,272.55,274.9,447,876000
APOLLOTYRE-III,20180215,280,280,280,280,2,15000
ARVIND-I,20180215,397.4,401.7,394.1,398.45,2379,6502000
ARVIND-II,20180215,401.5,403.6,396.3,400.55,120,340000
ARVIND-III,20180215,0,0,0,406.5,0,214000
ASHOKLEY-I,20180215,138.5,139.25,136.05,137.3,6910,51436000
ASHOKLEY-II,20180215,138.75,139.75,136.9,138.05,645,4284000
ASHOKLEY-III,20180215,139.3,140.8,136.95,136.95,5,182000
ASIANPAINT-I,20180215,1131.05,1142.2,1125.15,1135.4,1868,3977400
ASIANPAINT-II,20180215,1139.15,1147.3,1131.75,1140.75,110,208200
ASIANPAINT-III,20180215,0,0,0,1157.6,0,600
AUROPHARMA-I,20180215,603.2,608.3,590.05,593.15,7077,23132800
AUROPHARMA-II,20180215,607.9,611.2,594,596.25,1704,1644800
AUROPHARMA-III,20180215,608.95,608.95,598,599.65,14,24000
AXISBANK-I,20180215,541.75,555.7,532.2,544,21107,44716800
AXISBANK-II,20180215,536.45,558.25,534.65,546.75,4219,6122400
AXISBANK-III,20180215,543.05,555,542.8,551.45,19,64800
BAJAJ-AUTO-I,20180215,3118.45,3162.9,3092,3140.45,2243,1889250
BAJAJ-AUTO-II,20180215,3123.45,3171,3105,3151.75,231,65750
BAJAJ-AUTO-III,20180215,0,0,0,3368.5,0,0
BAJAJFINSV-I,20180215,5212.15,5288,5120.05,5144.95,1139,763625
BAJAJFINSV-II,20180215,5280,5314.7,5154.6,5173.05,83,15625
BAJAJFINSV-III,20180215,5331.5,5331.5,5210.45,5210.45,2,125
BAJFINANCE-I,20180215,1679.75,1714.85,1591.1,1681.6,8568,5914000
BAJFINANCE-II,20180215,1693.15,1722.9,1600.55,1689.5,769,211000
BAJFINANCE-III,20180215,1674.75,1674.75,1651,1651,6,5000
BALKRISIND-I,20180215,1176,1176.1,1102.35,1156.15,1631,1167200
BALKRISIND-II,20180215,1160.05,1177.95,1125,1159.1,101,52000
BALKRISIND-III,20180215,0,0,0,1128.2,0,1600
BALRAMCHIN-I,20180215,122.15,122.75,118.65,120.95,424,19383000
BALRAMCHIN-II,20180215,122.5,122.9,119.7,121.5,30,1253000
BALRAMCHIN-III,20180215,0,0,0,122.05,0,171500
BANKBARODA-I,20180215,164.85,167.6,157.05,159.45,13476,56052000
BANKBARODA-II,20180215,164.1,168.2,158.05,160.25,1009,2924000
BANKBARODA-III,20180215,160.65,160.65,159.8,159.8,2,28000
BANKINDIA-I,20180215,131.6,135.2,130.75,133.6,5439,20478000
BANKINDIA-II,20180215,131.95,135.25,131.2,134.15,394,2640000
BANKINDIA-III,20180215,135.6,135.6,132,132,8,84000
BATAINDIA-I,20180215,720,729.7,714.75,720,1819,2459600
BATAINDIA-II,20180215,726.65,732.5,718,722.8,103,99000
BATAINDIA-III,20180215,0,0,0,706.9,0,1100
BEL-I,20180215,160.75,161.95,156.25,157.2,1437,22666050
BEL-II,20180215,162.3,162.5,157.2,158.05,224,1905750
BEL-III,20180215,0,0,0,158,0,39600
BEML-I,20180215,1342.65,1358,1297.45,1307.35,3002,1995000
BEML-II,20180215,1356,1363.35,1304.8,1314.45,213,60300
BEML-III,20180215,0,0,0,1266.55,0,900
BERGEPAINT-I,20180215,249.5,250.75,244.05,246.5,311,1577400
BERGEPAINT-II,20180215,246.2,247.25,246.2,247.25,14,50600
BERGEPAINT-III,20180215,0,0,0,257.5,0,0
BHARATFIN-I,20180215,1020.25,1027,1006,1017.2,1352,5795000
BHARATFIN-II,20180215,1021.5,1031.55,1014.5,1024,63,193000
BHARATFIN-III,20180215,0,0,0,1040.55,0,0
BHARATFORG-I,20180215,768.5,775.4,751.5,755,2506,6951600
BHARATFORG-II,20180215,770,771.15,755,757.85,385,584400
BHARATFORG-III,20180215,756.15,756.15,756.15,756.15,1,1200
BHARTIARTL-I,20180215,437.65,438.35,426.45,429.3,7757,48927700
BHARTIARTL-II,20180215,439.8,440.45,429.05,431.75,2204,6443000
BHARTIARTL-III,20180215,435,435,435,435,1,525300
BHEL-I,20180215,97.5,98.15,94.1,94.85,1821,39675000
BHEL-II,20180215,98.25,98.6,94.7,95.35,205,2400000
BHEL-III,20180215,97.6,97.6,95.65,95.7,10,1560000
BIOCON-I,20180215,610.2,616,600.55,603.15,2283,6222600
BIOCON-II,20180215,611.95,613.45,601,602.85,294,979200
BIOCON-III,20180215,603,603,603,603,2,21600
BOSCHLTD-I,20180215,19430,19639.35,19430,19561.25,542,141050
BOSCHLTD-II,20180215,19615,19651.8,19590.3,19628.6,36,2700
BOSCHLTD-III,20180215,0,0,0,19979.25,0,0
BPCL-I,20180215,448.6,460.9,447.45,459.7,5012,9217800
BPCL-II,20180215,447.5,459,447.2,458,687,1341000
BPCL-III,20180215,0,0,0,451.2,0,16200
BRITANNIA-I,20180215,4824.95,4825,4712.9,4770.45,1111,858000
BRITANNIA-II,20180215,4823.45,4823.45,4738,4793.35,70,15200
BRITANNIA-III,20180215,0,0,0,4817,0,0
CADILAHC-I,20180215,420.35,423.1,415.5,417.4,788,6710400
CADILAHC-II,20180215,420,422.55,416.5,418.15,162,361600
CADILAHC-III,20180215,424.7,424.7,424.7,424.7,1,8000
CANBK-I,20180215,308.4,317.75,303.2,311.3,9572,11468800
CANBK-II,20180215,308.55,318,304.65,312.6,501,987200
CANBK-III,20180215,310,310,308,308,9,17600
CANFINHOME-I,20180215,523.75,538.4,510.1,515.4,6356,4176250
CANFINHOME-II,20180215,529.45,541,513.75,518.8,475,550000
CANFINHOME-III,20180215,540,540,521.5,523.15,6,16250
CAPF-I,20180215,703.05,706.75,685.7,690.25,1375,6629600
CAPF-II,20180215,707,709.4,690,694.4,146,288000
CAPF-III,20180215,702,702,693.8,693.8,5,4000
CASTROLIND-I,20180215,197,199.4,195.8,197.8,744,15512000
CASTROLIND-II,20180215,199.7,199.95,197,198.55,65,400400
CASTROLIND-III,20180215,196.5,196.5,196.5,196.5,1,33600
CEATLTD-I,20180215,1627.2,1674,1623.7,1649.7,4370,1056650
CEATLTD-II,20180215,1635,1681.55,1635,1658.95,186,55300
CEATLTD-III,20180215,0,0,0,1551.05,0,9450
CENTURYTEX-I,20180215,1280.2,1289.15,1237,1253.55,7436,4962650
CENTURYTEX-II,20180215,1290.55,1297.35,1245,1259.5,3679,1935450
CENTURYTEX-III,20180215,1290,1290,1290,1290,1,550
CESC-I,20180215,1029.05,1036.1,995.2,1007.85,2489,5599000
CESC-II,20180215,1041.05,1041.1,1001,1012.4,789,839300
CESC-III,20180215,1034.4,1034.4,1034.4,1034.4,1,90750
CGPOWER-I,20180215,88.85,90.5,87.15,87.85,418,22824000
CGPOWER-II,20180215,90.5,90.85,88.05,88.4,43,1956000
CGPOWER-III,20180215,0,0,0,88.5,0,12000
CHENNPETRO-I,20180215,386.95,386.95,376.6,378.6,519,2784000
CHENNPETRO-II,20180215,385.95,386.4,379.3,380.9,36,144000
CHENNPETRO-III,20180215,0,0,0,384.1,0,4500
CHOLAFIN-I,20180215,1399.2,1412.95,1377.5,1385.5,583,586000
CHOLAFIN-II,20180215,1389.2,1389.2,1382.05,1382.05,3,21500
CHOLAFIN-III,20180215,0,0,0,1329.95,0,0
CIPLA-I,20180215,618.4,623.3,604.6,607.75,3480,9924000
CIPLA-II,20180215,619.55,625,607.35,610.4,205,279000
CIPLA-III,20180215,0,0,0,632.05,0,0
COALINDIA-I,20180215,305,310.5,303.25,307.35,2716,17789200
COALINDIA-II,20180215,286.7,290.9,285.65,289.35,314,2664200
COALINDIA-III,20180215,287.95,287.95,287.95,287.95,1,19800
COLPAL-I,20180215,1095.35,1106,1086.2,1092.2,323,1090600
COLPAL-II,20180215,1097,1097.35,1091,1097.25,8,9800
COLPAL-III,20180215,0,0,0,1170.75,0,0
CONCOR-I,20180215,1332.65,1340.3,1325.05,1328.6,331,1031875
CONCOR-II,20180215,1335.2,1344.7,1330.15,1330.15,25,28125
CONCOR-III,20180215,0,0,0,1465.1,0,0
