BANKNIFTY-I,20170119,19163.1,19196.1,19074,19150.95,60006,2639040
BANKNIFTY-II,20170119,19220,19250.2,19138,19215.3,5568,281400
BANKNIFTY-III,20170119,19220,19255.9,19152,19232.3,160,50160
DJIA-I,20170119,19800,19810,19767.5,19785,294,18510
DJIA-II,20170119,19750,19750,19720,19720,69,5160
DJIA-III,20170119,0,0,0,18965,0,0
DJIA-IIII,20170119,0,0,0,19047.5,0,0
DJIA-IIIII,20170119,0,0,0,19507.5,0,0
DJIA-IIIIII,20170119,0,0,0,21150,0,0
FTSE100-I,20170119,0,0,0,7195,0,1000
FTSE100-II,20170119,0,0,0,6902,0,0
FTSE100-III,20170119,0,0,0,6728,0,0
FTSE100-IIII,20170119,0,0,0,6411,0,0
FTSE100-IIIII,20170119,0,0,0,7152,0,0
FTSE100-IIIIII,20170119,0,0,0,7457,0,0
NIFTY-I,20170119,8422,8454,8409,8442.95,79581,20198775
NIFTY-II,20170119,8440.4,8475,8430.55,8466.75,11588,2880600
NIFTY-III,20170119,8460.25,8498,8454.75,8489.8,1252,534225
NIFTYCPSE-I,20170119,2470,2491.8,2465,2488.4,152,32500
NIFTYCPSE-II,20170119,2420,2444.5,2420,2441.05,41,15500
NIFTYCPSE-III,20170119,0,0,0,2372.55,0,0
NIFTYINFRA-I,20170119,0,0,0,2912.4,0,0
NIFTYINFRA-II,20170119,0,0,0,2713.7,0,0
NIFTYINFRA-III,20170119,0,0,0,2732.1,0,0
NIFTYIT-I,20170119,10221,10257,10175,10232,218,39650
NIFTYIT-II,20170119,10209,10219,10180,10187,41,2400
NIFTYIT-III,20170119,0,0,0,10459,0,0
NIFTYMID50-I,20170119,0,0,0,4122.35,0,0
NIFTYMID50-II,20170119,0,0,0,3622.15,0,0
NIFTYMID50-III,20170119,0,0,0,3701.15,0,0
NIFTYPSE-I,20170119,0,0,0,3763.2,0,0
NIFTYPSE-II,20170119,0,0,0,3669.65,0,0
NIFTYPSE-III,20170119,0,0,0,3725.85,0,0
S&P500-I,20170119,2272.75,2272.75,2269,2270,658,184250
S&P500-II,20170119,2266,2267.5,2264.5,2264.5,622,208500
S&P500-III,20170119,0,0,0,2213.75,0,0
S&P500-IIII,20170119,0,0,0,2232,0,0
S&P500-IIIII,20170119,0,0,0,2300,0,0
S&P500-IIIIII,20170119,0,0,0,2410,0,0
ABIRLANUVO-I,20170119,1285.75,1292.35,1275.4,1285.2,2531,3202800
ABIRLANUVO-II,20170119,1289,1296.85,1282,1290.9,996,678800
ABIRLANUVO-III,20170119,0,0,0,1305.85,0,400
ACC-I,20170119,1354.8,1370,1344.95,1365.4,2710,1605200
ACC-II,20170119,1360,1373.65,1351.1,1367.6,283,194800
ACC-III,20170119,1370.25,1370.25,1368,1368.9,5,2000
ADANIENT-I,20170119,79.6,81.2,78.85,80.85,620,14808000
ADANIENT-II,20170119,80.1,81.5,79.1,81.1,53,872000
ADANIENT-III,20170119,0,0,0,74.25,0,0
ADANIPORTS-I,20170119,293,297.5,292.05,295.55,3005,14417500
ADANIPORTS-II,20170119,294,298.6,294,296.55,307,1072500
ADANIPORTS-III,20170119,0,0,0,299.05,0,2500
ADANIPOWER-I,20170119,37.8,39,37.65,38.8,1729,119980000
ADANIPOWER-II,20170119,37.95,39.1,37.95,39,202,5960000
ADANIPOWER-III,20170119,38.4,39,38.4,39,2,320000
AJANTPHARM-I,20170119,1784.85,1795,1775.1,1778.2,244,373600
AJANTPHARM-II,20170119,1792.95,1792.95,1784,1785,11,12000
AJANTPHARM-III,20170119,0,0,0,1805,0,800
ALBK-I,20170119,66.05,66.7,65.4,66.45,819,12570000
ALBK-II,20170119,65.7,66.5,65.25,66.25,113,2540000
ALBK-III,20170119,66.3,66.3,66.3,66.3,1,150000
AMARAJABAT-I,20170119,926.45,942.45,915.65,923.65,1146,555600
AMARAJABAT-II,20170119,933.35,942.5,926.65,929.4,44,20400
AMARAJABAT-III,20170119,0,0,0,887.95,0,0
AMBUJACEM-I,20170119,219.65,222.05,217.1,220.95,3106,13800000
AMBUJACEM-II,20170119,218.55,222,217.35,221.3,448,1042500
AMBUJACEM-III,20170119,0,0,0,215.15,0,2500
ANDHRABANK-I,20170119,49.75,50.35,49.6,50,502,20390000
ANDHRABANK-II,20170119,50.1,50.5,49.85,50.2,118,2930000
ANDHRABANK-III,20170119,0,0,0,50.35,0,180000
APOLLOHOSP-I,20170119,1187.65,1199,1178.1,1183.7,624,747600
APOLLOHOSP-II,20170119,1201,1204.5,1184,1186.3,68,31200
APOLLOHOSP-III,20170119,0,0,0,1179,0,0
APOLLOTYRE-I,20170119,188.8,189.15,184.85,186.2,2074,10176000
APOLLOTYRE-II,20170119,189,189.4,185.75,186.95,245,753000
APOLLOTYRE-III,20170119,0,0,0,187.6,0,6000
ARVIND-I,20170119,368.65,373.3,368.1,371.3,1622,6682000
ARVIND-II,20170119,370.1,374.4,370.1,372.8,119,422000
