BANKNIFTY-I,20160420,16315.1,16415,16169,16385.65,112172,1820490
BANKNIFTY-II,20160420,16360,16480,16234.05,16449.9,3824,128820
BANKNIFTY-III,20160420,16338.8,16490,16279.25,16460.95,165,9210
DJIA-I,20160420,17920,17960,17900,17952.5,403,22560
DJIA-II,20160420,0,0,0,16385,0,30
DJIA-III,20160420,0,0,0,18037.5,0,0
DJIA-IIII,20160420,0,0,0,16702.5,0,30
DJIA-IIIII,20160420,0,0,0,18835,0,0
DJIA-IIIIII,20160420,0,0,0,18965,0,0
FTSE100-I,20160420,0,0,0,6091,0,0
FTSE100-II,20160420,0,0,0,7242,0,0
FTSE100-III,20160420,0,0,0,6316,0,0
FTSE100-IIII,20160420,0,0,0,6637,0,0
FTSE100-IIIII,20160420,0,0,0,6570,0,0
FTSE100-IIIIII,20160420,0,0,0,6728,0,0
NIFTY-I,20160420,7945.1,7959.75,7891.95,7929.85,180999,16377450
NIFTY-II,20160420,7985,7996.5,7930.15,7969.9,15318,2898900
NIFTY-III,20160420,7987.55,8008.45,7942.9,7982.4,2479,501900
NIFTYINFRA-I,20160420,0,0,0,2440.95,0,0
NIFTYINFRA-II,20160420,0,0,0,2330.45,0,0
NIFTYINFRA-III,20160420,0,0,0,2600.2,0,0
NIFTYIT-I,20160420,11653.85,11653.85,11539.95,11578.7,212,19170
NIFTYIT-II,20160420,11650,11650,11650,11650,1,90
NIFTYIT-III,20160420,0,0,0,10780.15,0,45
NIFTYMID50-I,20160420,0,0,0,3123.05,0,0
NIFTYMID50-II,20160420,0,0,0,2763.8,0,0
NIFTYMID50-III,20160420,0,0,0,3266,0,0
NIFTYPSE-I,20160420,0,0,0,2974,0,0
NIFTYPSE-II,20160420,0,0,0,2686.4,0,0
NIFTYPSE-III,20160420,0,0,0,2904.75,0,0
S&P500-I,20160420,2087.5,2092.5,2084.25,2091.25,469,478500
S&P500-II,20160420,0,0,0,2299,0,0
S&P500-III,20160420,0,0,0,2098.25,0,0
S&P500-IIII,20160420,0,0,0,2150.5,0,0
S&P500-IIIII,20160420,0,0,0,2198.25,0,0
S&P500-IIIIII,20160420,0,0,0,2213.75,0,0
ABIRLANUVO-I,20160420,860.95,867,851,861.15,1759,1347500
ABIRLANUVO-II,20160420,864.45,871.6,857.65,865.9,330,97500
ABIRLANUVO-III,20160420,0,0,0,839.4,0,0
ACC-I,20160420,1467.15,1486,1462.5,1472.3,2335,925875
