BANKNIFTY-I,20180823,28336.4,28336.4,28016,28099.05,80534,2030640
BANKNIFTY-II,20180823,28390,28401.1,28113.45,28191.6,4540,198640
BANKNIFTY-III,20180823,28430.05,28430.05,28184.95,28254.9,149,14040
FTSE100-I,20180823,0,0,0,7867,0,0
FTSE100-II,20180823,0,0,0,7817,0,0
FTSE100-III,20180823,0,0,0,7639,0,0
FTSE100-IIII,20180823,0,0,0,7947,0,0
FTSE100-IIIII,20180823,0,0,0,7674,0,0
FTSE100-IIIIII,20180823,0,0,0,8315,0,0
NIFTY-I,20180823,11614.95,11622,11553.3,11595.4,87310,30267300
NIFTY-II,20180823,11634.35,11652.5,11593,11634.8,19969,3866700
NIFTY-III,20180823,11669.7,11679.75,11616.9,11659.7,1226,338925
NIFTYCPSE-I,20180823,0,0,0,2472.95,0,0
NIFTYCPSE-II,20180823,0,0,0,2187.4,0,0
NIFTYCPSE-III,20180823,0,0,0,2315.55,0,0
NIFTYINFRA-I,20180823,0,0,0,3400.05,0,0
NIFTYINFRA-II,20180823,0,0,0,3108.75,0,0
NIFTYINFRA-III,20180823,0,0,0,3177.55,0,0
NIFTYIT-I,20180823,15180,15381,15180,15353,204,21750
NIFTYIT-II,20180823,15255,15379,15255,15369,15,1400
NIFTYIT-III,20180823,0,0,0,14734,0,0
NIFTYMID50-I,20180823,5271.5,5271.5,5271.5,5271.5,1,592240
NIFTYMID50-II,20180823,0,0,0,4843.05,0,0
NIFTYMID50-III,20180823,0,0,0,5023.7,0,0
NIFTYPSE-I,20180823,0,0,0,3925.45,0,0
NIFTYPSE-II,20180823,0,0,0,3501.05,0,0
NIFTYPSE-III,20180823,0,0,0,3599.05,0,0
ACC-I,20180823,1649.55,1649.55,1605.1,1635.45,4037,1650800
ACC-II,20180823,1648.85,1652.8,1611,1642.5,315,104000
ACC-III,20180823,1638.05,1638.05,1638.05,1638.05,1,1200
ADANIENT-I,20180823,212.65,215.3,204.15,211.3,5403,17044000
ADANIENT-II,20180823,214.35,215.8,205.2,211.85,412,13148000
ADANIENT-III,20180823,212.7,212.7,211.7,211.7,2,32000
ADANIPORTS-I,20180823,375.65,386.55,373.85,385.15,3061,9007500
ADANIPORTS-II,20180823,378.1,388.35,375.75,387,224,572500
ADANIPORTS-III,20180823,380,380,380,380,1,2500
ADANIPOWER-I,20180823,33.3,33.35,31.55,32,1365,108120000
ADANIPOWER-II,20180823,33.25,33.25,31.85,32.2,468,38060000
ADANIPOWER-III,20180823,32.75,32.75,32.75,32.75,1,40000
AJANTPHARM-I,20180823,1242.95,1259.9,1226.4,1246.55,3122,869000
AJANTPHARM-II,20180823,1239.85,1263.45,1230,1250.85,140,42500
AJANTPHARM-III,20180823,1266.45,1266.45,1266.45,1266.45,1,500
ALBK-I,20180823,40.8,41,39.85,40.4,1100,16819000
ALBK-II,20180823,41,41.15,40.1,40.6,363,6347000
ALBK-III,20180823,41.35,41.35,40.3,40.7,5,55000
AMARAJABAT-I,20180823,861.55,889.85,851,877.25,3574,1349600
AMARAJABAT-II,20180823,872.4,892,855.35,878.9,167,76300
AMARAJABAT-III,20180823,0,0,0,807.3,0,0
AMBUJACEM-I,20180823,239.9,240.95,235.3,237.5,2135,14405000
AMBUJACEM-II,20180823,241.75,241.75,237,238.35,183,377500
AMBUJACEM-III,20180823,238.95,240.6,238.95,240.6,2,5000
ANDHRABANK-I,20180823,32.85,33.3,32.4,33,794,16380000
ANDHRABANK-II,20180823,33.05,33.3,32.7,33.2,356,4225000
APOLLOHOSP-I,20180823,1180.15,1201,1145,1150.95,3821,1402500
APOLLOHOSP-II,20180823,1185.6,1200,1146,1150.65,320,151500
APOLLOHOSP-III,20180823,1157,1157,1157,1157,1,1000
APOLLOTYRE-I,20180823,262.6,263.3,256.5,259.75,3203,11715000
APOLLOTYRE-II,20180823,262.95,263.95,257.85,261.1,364,1125000
APOLLOTYRE-III,20180823,259.9,262.55,259.9,261.35,4,18000
ARVIND-I,20180823,408.15,413.7,407.5,411.4,3863,9106000
ARVIND-II,20180823,411,415.5,409.5,413.3,317,668000
ARVIND-III,20180823,415,415,415,415,1,4000
ASHOKLEY-I,20180823,129.95,132.75,127.7,132.25,11244,62456000
ASHOKLEY-II,20180823,129.8,133.45,128.5,132.95,1407,6152000
ASHOKLEY-III,20180823,129.95,133.4,129.15,133.4,21,204000
ASIANPAINT-I,20180823,1413.95,1414,1393.05,1399.8,2972,5634000
ASIANPAINT-II,20180823,1414.2,1419.05,1400.9,1406.6,324,346200
ASIANPAINT-III,20180823,0,0,0,1420,0,2400
AUROPHARMA-I,20180823,667.4,688.9,666.65,683.1,13054,17727000
AUROPHARMA-II,20180823,672,692,672,686.75,2621,2643000
AUROPHARMA-III,20180823,677.75,693.4,677.75,689.2,6,21000
AXISBANK-I,20180823,639.9,644.5,630.35,633,22802,43940400
AXISBANK-II,20180823,645,647.8,634,636.15,3314,8439600
AXISBANK-III,20180823,649,650,638.2,638.2,21,108000
BAJAJ-AUTO-I,20180823,2673.7,2734.65,2673.7,2686.25,3864,3112000
BAJAJ-AUTO-II,20180823,2745,2749.3,2692.9,2699.85,830,330000
BAJAJ-AUTO-III,20180823,2740.75,2740.75,2706,2709.1,7,8250
BAJAJFINSV-I,20180823,7151,7194.9,7090.3,7099.8,2733,722625
BAJAJFINSV-II,20180823,7190,7239.1,7126,7133.25,207,48625
BAJAJFINSV-III,20180823,7190,7195.4,7190,7195.4,2,2000
BAJFINANCE-I,20180823,2895,2914.3,2876.3,2900.35,9748,6041000
BAJFINANCE-II,20180823,2910.2,2927.7,2892,2916.3,976,505500
BAJFINANCE-III,20180823,2909.9,2936.95,2909.9,2918.2,25,16000
BALKRISIND-I,20180823,1348.3,1360.95,1302.5,1336.65,3317,1497600
BALKRISIND-II,20180823,1366.1,1366.15,1308.75,1340.85,226,118400
BALKRISIND-III,20180823,0,0,0,1386.05,0,800
BALRAMCHIN-I,20180823,71.85,72.3,70.7,71.05,740,13629000
BALRAMCHIN-II,20180823,72.1,72.4,71.15,71.45,87,707000
BANKBARODA-I,20180823,151.25,151.95,148.7,150.1,5977,60164000
BANKBARODA-II,20180823,152.15,152.7,149.5,150.95,897,9044000
BANKBARODA-III,20180823,150.65,151.5,150.6,151.5,5,96000
BANKINDIA-I,20180823,97,97,92.1,94.05,4156,21930000
BANKINDIA-II,20180823,96.35,96.4,92.65,94.4,632,4272000
BANKINDIA-III,20180823,96.05,96.3,93.5,94.4,48,330000
BATAINDIA-I,20180823,1035.05,1076.25,1031.3,1069.65,6408,2470600
BATAINDIA-II,20180823,1036.95,1076.9,1036.9,1072.3,686,498300
BATAINDIA-III,20180823,1055,1077,1055,1075,4,6600
BEL-I,20180823,118.65,118.85,115.8,116.5,1823,24957900
BEL-II,20180823,119,119.35,116.6,117.15,471,2514600
BEL-III,20180823,117.15,118.1,117.15,117.85,5,74250
BEML-I,20180823,834.3,839.55,813.45,826.6,2366,1633000
BEML-II,20180823,831.5,836.6,812.35,823.1,464,331000
BEML-III,20180823,0,0,0,820,0,2000
BERGEPAINT-I,20180823,332.8,335.5,329.45,333.8,896,1377200
BERGEPAINT-II,20180823,333.95,335.95,330.5,334.8,73,189200
BERGEPAINT-III,20180823,328.6,328.6,328.6,328.6,1,2200
BHARATFIN-I,20180823,1206.95,1209.9,1197,1200.7,1165,4157000
BHARATFIN-II,20180823,1211.05,1214,1204,1207.1,400,262000
BHARATFIN-III,20180823,0,0,0,1212.5,0,0
