BANKNIFTY-I,20170725,24575,24575,24443.65,24523.55,52536,2267760
BANKNIFTY-II,20170725,24579.8,24614.9,24515,24600.05,14984,1207680
BANKNIFTY-III,20170725,24608.8,24650,24593.25,24645.7,214,29200
DJIA-I,20170725,21495,21535,21495,21527.5,35,15540
DJIA-II,20170725,0,0,0,19507.5,0,0
DJIA-III,20170725,0,0,0,21945,0,0
DJIA-IIII,20170725,0,0,0,21150,0,0
DJIA-IIIII,20170725,0,0,0,22335,0,0
DJIA-IIIIII,20170725,0,0,0,22790,0,0
FTSE100-I,20170725,0,0,0,7629,0,0
FTSE100-II,20170725,0,0,0,7152,0,0
FTSE100-III,20170725,0,0,0,7550,0,0
FTSE100-IIII,20170725,0,0,0,7457,0,0
FTSE100-IIIII,20170725,0,0,0,7912,0,0
FTSE100-IIIIII,20170725,0,0,0,7982,0,0
NIFTY-I,20170725,9985.4,9994.85,9950.85,9973.8,102677,14541525
NIFTY-II,20170725,10022.15,10034.65,9990,10013.8,48336,8552550
NIFTY-III,20170725,10048,10051.75,10020,10042.4,1108,402675
NIFTYCPSE-I,20170725,0,0,0,2420,0,1250
NIFTYCPSE-II,20170725,0,0,0,2635.2,0,0
NIFTYCPSE-III,20170725,0,0,0,2371.45,0,0
NIFTYINFRA-I,20170725,0,0,0,3318.85,0,0
NIFTYINFRA-II,20170725,0,0,0,3264.05,0,0
NIFTYINFRA-III,20170725,0,0,0,3261.55,0,0
NIFTYIT-I,20170725,10809,10815,10730,10803,325,18450
NIFTYIT-II,20170725,10858,10867,10776,10852,130,10900
NIFTYIT-III,20170725,0,0,0,10292,0,0
NIFTYMID50-I,20170725,0,0,0,4683.3,0,0
NIFTYMID50-II,20170725,0,0,0,4493.65,0,0
NIFTYMID50-III,20170725,0,0,0,4573.1,0,0
NIFTYPSE-I,20170725,0,0,0,4261.55,0,0
NIFTYPSE-II,20170725,0,0,0,4094.1,0,0
NIFTYPSE-III,20170725,0,0,0,3825.45,0,0
S&P500-I,20170725,2464,2465,2463.5,2465,27,815250
S&P500-II,20170725,0,0,0,2300,0,0
S&P500-III,20170725,0,0,0,2511.5,0,0
S&P500-IIII,20170725,0,0,0,2410,0,0
S&P500-IIIII,20170725,0,0,0,2540.5,0,0
S&P500-IIIIII,20170725,0,0,0,2595.25,0,0
ACC-I,20170725,1736.95,1736.95,1711.65,1724.6,2048,1070800
ACC-II,20170725,1753.75,1753.75,1722,1735.15,712,369600
ACC-III,20170725,1736.4,1744.5,1736.4,1741.4,4,1600
ADANIENT-I,20170725,140.5,141,138.55,139.45,1882,18560000
ADANIENT-II,20170725,141,141.65,139.15,140.05,785,6704000
ADANIENT-III,20170725,0,0,0,135.45,0,0
ADANIPORTS-I,20170725,389.5,393.1,385.4,390.6,3091,5367500
ADANIPORTS-II,20170725,390.45,394.05,386.05,391.55,906,1785000
ADANIPORTS-III,20170725,390,390,390,390,1,72500
ADANIPOWER-I,20170725,33.35,33.65,33,33.25,1947,91120000
ADANIPOWER-II,20170725,33.55,33.9,33.25,33.5,1337,43780000
ADANIPOWER-III,20170725,33.85,33.85,33.85,33.85,1,100000
AJANTPHARM-I,20170725,1441.4,1457.75,1422.1,1452.85,844,563600
AJANTPHARM-II,20170725,1445.05,1466,1431.5,1462.05,388,173200
AJANTPHARM-III,20170725,0,0,0,1572.6,0,0
ALBK-I,20170725,76.65,77.15,75.65,76.7,2136,12050000
ALBK-II,20170725,77.3,77.5,76.2,77.15,828,6160000
ALBK-III,20170725,76.75,77.45,76.65,77.45,17,280000
AMARAJABAT-I,20170725,847.05,847.5,842.35,845.65,1164,1457400
AMARAJABAT-II,20170725,846.15,848.65,843.1,846.95,680,576000
AMARAJABAT-III,20170725,0,0,0,861,0,600
AMBUJACEM-I,20170725,273.25,275.45,265.05,266.85,5138,7407500
AMBUJACEM-II,20170725,270,274,265,266.6,2234,3512500
AMBUJACEM-III,20170725,268.1,269,268.1,269,2,27500
ANDHRABANK-I,20170725,58.75,59.3,58.45,59,1192,15350000
