BANKNIFTY-I,20181126,26075,26385.95,26025.05,26363.75,168801,1349840
BANKNIFTY-II,20181126,26199.9,26500,26117.4,26465.45,19185,396820
BANKNIFTY-III,20181126,26290,26572.85,26195.85,26540.9,294,11220
NIFTY-I,20181126,10573.1,10650,10492.4,10639.2,179552,22241250
NIFTY-II,20181126,10644.9,10690,10532,10678,49675,4195275
NIFTY-III,20181126,10625,10729.95,10575.25,10719.7,1294,174975
NIFTYIT-I,20181126,13751,14086,13600,14037,523,18350
NIFTYIT-II,20181126,13770,14138,13679,14112,164,4300
NIFTYIT-III,20181126,0,0,0,14357,0,0
NIFTYMID50-I,20181126,4831.5,4831.5,4659,4659,2,694870
NIFTYMID50-II,20181126,0,0,0,4819.75,0,0
ACC-I,20181126,1464.2,1469.55,1433.35,1443.5,3550,1225200
ACC-II,20181126,1469.15,1472.65,1438,1447.85,955,323200
ACC-III,20181126,0,0,0,1360.2,0,400
ADANIENT-I,20181126,158.5,160.3,156.3,158.2,1656,15040000
ADANIENT-II,20181126,157.95,160.5,157.8,159.35,1174,11308000
ADANIENT-III,20181126,159.85,159.85,159.85,160.45,66,17448000
ADANIPORTS-I,20181126,366.85,370.55,356.6,369.55,5125,14870000
ADANIPORTS-II,20181126,367.55,372,358.2,371.05,1792,4260000
ADANIPORTS-III,20181126,364.5,364.7,364.5,364.7,2,12500
ADANIPOWER-I,20181126,48.6,51,48.6,50.6,2203,66800000
ADANIPOWER-II,20181126,50.25,51.35,50,50.85,1783,102160000
ADANIPOWER-III,20181126,0,0,0,50,0,0
AJANTPHARM-I,20181126,1109.95,1122.9,1094.1,1112.3,820,612500
AJANTPHARM-II,20181126,1120.75,1128.65,1100,1117.15,392,201000
AJANTPHARM-III,20181126,0,0,0,1135,0,2500
ALBK-I,20181126,45.65,46.2,44.3,45.65,1127,12848000
ALBK-II,20181126,45.05,45.8,44,45.35,437,8591000
ALBK-III,20181126,45,45,45,45,1,52000
AMARAJABAT-I,20181126,718.05,726,706.95,724.05,1357,1194900
AMARAJABAT-II,20181126,716,721.9,704,719.7,611,371000
AMARAJABAT-III,20181126,0,0,0,725.15,0,2100
AMBUJACEM-I,20181126,215.1,216.95,212.1,216.25,2046,13837500
AMBUJACEM-II,20181126,216,217.65,213.2,217.15,675,1382500
AMBUJACEM-III,20181126,0,0,0,212.3,0,2500
APOLLOHOSP-I,20181126,1227.55,1255,1216.5,1250.6,2171,1334000
APOLLOHOSP-II,20181126,1229,1257.3,1219.1,1252.65,481,185500
APOLLOHOSP-III,20181126,1227,1238.7,1227,1238.7,3,1000
APOLLOTYRE-I,20181126,221,225.35,218.8,224.6,4264,10011000
APOLLOTYRE-II,20181126,220.7,226.25,219.75,225.55,1288,2958000
APOLLOTYRE-III,20181126,223.9,223.9,221.6,223.5,7,15000
ARVIND-I,20181126,321.9,324.55,307.15,308.1,4168,6724000
ARVIND-II,20181126,322.7,324,307.25,308.3,1190,1656000
ARVIND-III,20181126,323,323,309,309,5,40000
ASHOKLEY-I,20181126,110.1,110.6,106.8,109.2,8226,49828000
ASHOKLEY-II,20181126,110.65,111,107.3,109.55,3487,16564000
ASHOKLEY-III,20181126,110.75,110.8,108,110.1,70,768000
ASIANPAINT-I,20181126,1322.95,1355,1322.7,1347.5,6651,5123400
ASIANPAINT-II,20181126,1337.15,1360.9,1331.3,1353.7,1306,556800
ASIANPAINT-III,20181126,1364.95,1365,1364.95,1365,3,2400
AUROPHARMA-I,20181126,790.1,798.75,781.55,795.5,6419,14379000
AUROPHARMA-II,20181126,793.45,802,785.4,799.35,3144,2977000
AUROPHARMA-III,20181126,791.1,804.2,791.1,800.7,15,24000
AXISBANK-I,20181126,620,635,617.4,632.05,16667,30603600
AXISBANK-II,20181126,620,637.75,620,634.5,3534,5731200
AXISBANK-III,20181126,632,640,626.75,637.85,32,75600
