BANKNIFTY-I,20170531,23255,23342.3,23180,23321.75,61043,3205280
BANKNIFTY-II,20170531,23259.7,23365.1,23205,23344.85,847,58880
BANKNIFTY-III,20170531,23285.85,23370,23250,23357.5,35,4000
DJIA-I,20170531,21035,21047.5,21010,21030,81,15180
DJIA-II,20170531,0,0,0,20910,0,0
DJIA-III,20170531,0,0,0,20997.5,0,0
DJIA-IIII,20170531,0,0,0,19507.5,0,0
DJIA-IIIII,20170531,0,0,0,21150,0,0
DJIA-IIIIII,20170531,0,0,0,22335,0,0
FTSE100-I,20170531,0,0,0,6411,0,0
FTSE100-II,20170531,0,0,0,7233,0,0
FTSE100-III,20170531,0,0,0,7629,0,0
FTSE100-IIII,20170531,0,0,0,7152,0,0
FTSE100-IIIII,20170531,0,0,0,7457,0,0
FTSE100-IIIIII,20170531,0,0,0,7912,0,0
NIFTY-I,20170531,9616.6,9641.7,9607.2,9626.05,88163,21872025
NIFTY-II,20170531,9642.7,9659.4,9630,9644.4,1970,1072500
NIFTY-III,20170531,9660,9682.45,9640.75,9666,501,115350
NIFTYCPSE-I,20170531,0,0,0,2555.7,0,0
NIFTYCPSE-II,20170531,0,0,0,2719,0,0
NIFTYCPSE-III,20170531,0,0,0,2635.2,0,0
NIFTYINFRA-I,20170531,0,0,0,3134.3,0,0
NIFTYINFRA-II,20170531,0,0,0,3318.85,0,0
NIFTYINFRA-III,20170531,0,0,0,3264.05,0,0
NIFTYIT-I,20170531,10546,10595,10503,10525,76,25050
NIFTYIT-II,20170531,0,0,0,10036,0,100
NIFTYIT-III,20170531,0,0,0,10930,0,0
NIFTYMID50-I,20170531,0,0,0,4437.85,0,0
NIFTYMID50-II,20170531,0,0,0,4683.3,0,0
NIFTYMID50-III,20170531,0,0,0,4493.65,0,0
NIFTYPSE-I,20170531,0,0,0,4033.05,0,0
NIFTYPSE-II,20170531,0,0,0,4261.55,0,0
NIFTYPSE-III,20170531,0,0,0,4094.1,0,0
S&P500-I,20170531,2412.75,2412.75,2406,2407,55,657000
S&P500-II,20170531,0,0,0,2392,0,6750
S&P500-III,20170531,0,0,0,2404,0,0
